-x:-270.00,y:-254.20,z:31.60,t:33833
x:78.20,y:152.60,z:-137.40,t:33838
x:-157.20,y:-67.80,z:-44.00,t:33842
x:-44.20,y:367.00,z:-226.00,t:33846
x:-46.60,y:-44.40,z:-45.60,t:33850
x:-194.60,y:399.20,z:-288.40,t:33853
x:41.40,y:15.20,z:32.00,t:33857
x:-220.40,y:308.20,z:-298.60,t:33861
x:189.00,y:154.60,z:-17.60,t:33865
x:-200.20,y:349.60,z:-373.80,t:33869
x:107.00,y:87.00,z:61.40,t:33873
x:-127.00,y:13.80,z:-121.60,t:33876
x:111.20,y:11.40,z:114.60,t:33881
x:-51.60,y:-190.40,z:0.60,t:33885
x:79.80,y:95.60,z:71.80,t:33889
x:1.80,y:-559.80,z:94.80,t:33892
x:64.60,y:108.20,z:65.20,t:33896
x:34.20,y:-479.60,z:153.20,t:33900
x:8.60,y:6.00,z:26.40,t:33903
x:120.20,y:-30.00,z:203.20,t:33907
x:-224.20,y:-181.00,z:-75.60,t:33911
x:100.40,y:229.80,z:85.60,t:33915
x:-110.80,y:-150.80,z:-42.40,t:33920
x:131.60,y:226.00,z:-5.60,t:33924
x:128.20,y:-292.60,z:-15.00,t:33927
x:-24.60,y:80.00,z:100.60,t:33931
x:137.00,y:-366.20,z:80.80,t:33935
x:-468.80,y:-29.80,z:98.80,t:33939
x:3.80,y:483.80,z:-113.60,t:33943
x:-275.60,y:28.80,z:-120.60,t:33946
x:68.40,y:682.80,z:-115.80,t:33950
x:-113.60,y:81.00,z:74.80,t:33954
x:603.20,y:387.00,z:-103.00,t:33958
x:112.20,y:-292.40,z:5.00,t:33963
x:600.80,y:29.00,z:105.80,t:33966
x:196.80,y:-684.80,z:138.60,t:33970
x:101.80,y:-77.80,z:283.40,t:33974
x:192.00,y:-772.40,z:360.80,t:33978
x:-436.80,y:-204.60,z:237.60,t:33982
x:153.80,y:-437.20,z:307.00,t:33986
x:-634.60,y:-249.60,z:-1.80,t:33990
x:131.80,y:20.20,z:2.60,t:33993
x:-186.40,y:211.00,z:-59.20,t:33997
x:66.20,y:772.40,z:-336.80,t:34001
x:-63.20,y:157.80,z:-28.20,t:34006
x:380.60,y:339.80,z:-228.40,t:34010
x:150.20,y:-107.00,z:31.00,t:34013
x:308.60,y:-76.60,z:8.40,t:34017
