-x:-499.40,y:-787.00,z:552.80,t:59333
x:-566.80,y:-1626.80,z:236.80,t:59337
x:-367.20,y:-1609.80,z:337.80,t:59341
x:-117.00,y:-646.40,z:43.40,t:59345
x:191.80,y:-110.20,z:124.20,t:59350
x:679.60,y:162.40,z:229.40,t:59354
x:571.60,y:745.00,z:-13.00,t:59358
x:6.60,y:945.40,z:-205.40,t:59362
x:-537.80,y:302.80,z:-786.20,t:59365
x:-587.80,y:334.60,z:-1082.60,t:59369
x:-357.00,y:404.80,z:-528.00,t:59373
x:112.40,y:30.20,z:640.40,t:59377
x:567.60,y:-1050.20,z:1157.60,t:59381
x:546.60,y:-1533.20,z:1161.60,t:59385
x:219.80,y:-1066.00,z:600.60,t:59389
x:376.60,y:230.80,z:-477.00,t:59394
x:748.60,y:1969.60,z:-1149.20,t:59398
x:662.00,y:2078.40,z:-1149.60,t:59402
x:-24.00,y:864.20,z:-214.20,t:59406
x:-586.20,y:-229.20,z:662.80,t:59410
x:-1149.20,y:-1509.60,z:599.20,t:59414
x:-768.00,y:-1866.60,z:213.80,t:59418
x:-334.20,y:-1086.80,z:141.80,t:59422
x:327.20,y:-636.20,z:240.60,t:59426
x:573.00,y:127.60,z:10.40,t:59430
x:288.60,y:1301.40,z:-67.60,t:59433
x:-334.60,y:1406.20,z:-829.20,t:59438
x:-468.60,y:1215.20,z:-1257.20,t:59442
x:-413.80,y:820.40,z:-913.80,t:59446
x:-394.00,y:940.00,z:-1348.20,t:59450
x:-413.80,y:1049.00,z:-1138.60,t:59454
x:-305.20,y:413.20,z:249.40,t:59458
x:-59.40,y:-410.20,z:1130.60,t:59462
x:299.20,y:-1071.80,z:1055.20,t:59466
x:107.80,y:-1593.20,z:699.20,t:59470
x:-115.00,y:-608.60,z:142.40,t:59474
x:303.80,y:701.20,z:-523.20,t:59479
x:845.20,y:1002.80,z:-549.80,t:59483
x:289.80,y:523.00,z:228.60,t:59487
x:-44.60,y:-227.40,z:405.20,t:59491
x:-373.20,y:-803.60,z:388.20,t:59495
x:-714.40,y:-845.60,z:-5.80,t:59498
x:-813.40,y:-920.20,z:42.80,t:59502
x:-226.60,y:-928.80,z:143.80,t:59506
x:525.80,y:-834.60,z:439.80,t:59510
x:826.20,y:-143.80,z:456.60,t:59514
x:191.00,y:466.60,z:-6.00,t:59518
x:-363.40,y:770.60,z:-626.00,t:59523
x:-483.80,y:954.20,z:-1146.60,t:59527
x:-506.40,y:1070.00,z:-1225.60,t:59531
x:-463.20,y:532.80,z:69.20,t:59534
x:-139.80,y:-438.20,z:1146.40,t:59538
x:124.80,y:-1008.00,z:1026.00,t:59542
x:251.80,y:-1519.40,z:608.80,t:59546
x:320.80,y:-699.20,z:208.60,t:59550
x:486.80,y:811.40,z:-547.80,t:59554
x:792.80,y:1541.20,z:-824.60,t:59558
x:344.80,y:788.80,z:-58.00,t:59563
x:28.60,y:-74.60,z:383.40,t:59567
x:-331.80,y:-984.40,z:563.80,t:59571
x:-586.80,y:-1197.60,z:160.60,t:59575
x:-694.20,y:-934.00,z:97.80,t:59579
x:-285.40,y:-745.80,z:93.40,t:59582
x:396.40,y:-683.60,z:432.40,t:59586
x:791.60,y:105.20,z:332.80,t:59590
x:211.00,y:807.00,z:17.60,t:59594
x:-162.60,y:819.80,z:-359.60,t:59598
x:-309.40,y:480.00,z:-951.40,t:59602
x:-563.80,y:815.40,z:-1323.40,t:59607
x:-446.00,y:743.00,z:-494.60,t:59611
x:35.40,y:48.80,z:931.40,t:59614
x:298.20,y:-923.00,z:1212.20,t:59618
x:192.40,y:-1494.60,z:950.20,t:59622
x:25.20,y:-1416.60,z:520.00,t:59626
x:557.00,y:343.40,z:-369.20,t:59630
x:1004.60,y:1854.00,z:-1019.80,t:59634
x:190.40,y:1538.00,z:-557.60,t:59638
x:-37.20,y:664.40,z:198.40,t:59642
x:-373.20,y:-412.40,z:753.00,t:59646
x:-656.80,y:-1412.80,z:355.60,t:59651
x:-837.20,y:-1362.60,z:129.00,t:59655
x:-488.20,y:-1412.40,z:259.20,t:59659
x:50.60,y:-922.00,z:289.40,t:59663
x:613.80,y:-220.20,z:291.40,t:59667
x:347.00,y:576.20,z:-96.60,t:59670
x:-197.20,y:736.20,z:-524.00,t:59674
x:-357.40,y:1123.40,z:-1334.60,t:59678
x:-528.80,y:981.20,z:-1163.40,t:59682
x:-305.20,y:896.00,z:-1222.80,t:59686
x:-429.20,y:1280.00,z:-1327.80,t:59691
x:-400.20,y:669.80,z:138.80,t:59695
x:-238.60,y:-128.40,z:936.20,t:59699
x:-214.20,y:-883.60,z:843.40,t:59703
x:-302.00,y:-1512.00,z:590.80,t:59707
x:-98.40,y:-842.20,z:269.40,t:59711
x:654.80,y:937.40,z:-563.80,t:59715
x:829.80,y:1750.60,z:-662.40,t:59719
x:540.00,y:1108.60,z:-151.00,t:59723
x:187.20,y:515.60,z:324.80,t:59727
x:-451.20,y:-32.40,z:347.60,t:59730
x:-825.60,y:-348.40,z:-86.40,t:59735
x:-704.20,y:-595.40,z:161.00,t:59739
x:-119.80,y:-924.80,z:275.60,t:59743
x:301.80,y:-1412.40,z:623.40,t:59747
x:655.00,y:-1400.60,z:605.80,t:59751
x:509.80,y:-254.20,z:307.80,t:59755
x:-91.80,y:654.40,z:-308.40,t:59759
x:237.60,y:711.40,z:-738.20,t:59763
x:-255.20,y:1215.80,z:-1297.80,t:59767
x:-359.00,y:995.60,z:-922.20,t:59771
x:-432.20,y:164.80,z:230.60,t:59774
x:-791.20,y:-1045.20,z:1235.80,t:59780
x:-823.20,y:-2455.00,z:1318.60,t:59784
x:-253.40,y:-2344.00,z:770.40,t:59788
x:652.80,y:91.60,z:-274.60,t:59791
x:829.80,y:2248.80,z:-990.20,t:59795
x:462.60,y:1870.40,z:-1017.60,t:59799
x:524.40,y:994.60,z:-370.20,t:59803
x:628.40,y:1089.80,z:-254.60,t:59807
x:-4.00,y:1372.20,z:-509.60,t:59811
x:-300.80,y:1274.80,z:-1143.40,t:59815
x:-269.00,y:574.00,z:-613.00,t:59820
x:-262.40,y:120.80,z:204.40,t:59824
x:-102.40,y:-729.80,z:929.60,t:59828
x:626.60,y:-1034.80,z:944.40,t:59832
x:740.20,y:-841.60,z:562.80,t:59836
x:223.60,y:-711.00,z:337.40,t:59840
x:-75.00,y:351.40,z:-395.60,t:59843
x:178.80,y:1435.00,z:-1116.20,t:59847
x:450.20,y:1761.20,z:-1288.00,t:59852
x:154.60,y:987.60,z:-441.60,t:59855
x:-301.40,y:237.40,z:327.40,t:59859
x:-1052.20,y:-757.20,z:337.40,t:59864
x:-1183.40,y:-1788.40,z:311.40,t:59868
x:-314.40,y:-1019.20,z:194.20,t:59872
