-x:-275.40,y:-531.20,z:364.20,t:101526
x:290.20,y:918.40,z:-313.20,t:101530
x:262.20,y:16.20,z:-340.80,t:101534
x:-486.20,y:-1148.00,z:953.40,t:101538
x:213.80,y:290.80,z:119.40,t:101541
x:240.20,y:697.00,z:-802.60,t:101545
x:-585.00,y:-49.20,z:158.40,t:101550
x:382.80,y:-133.00,z:224.60,t:101554
x:450.20,y:-754.80,z:33.80,t:101558
x:-578.60,y:-159.60,z:11.00,t:101562
x:-72.60,y:570.00,z:-49.20,t:101566
x:198.00,y:-246.80,z:66.20,t:101570
x:-278.60,y:-618.60,z:138.20,t:101574
x:-36.60,y:449.80,z:3.60,t:101577
x:-19.20,y:473.80,z:-417.60,t:101581
x:101.80,y:-588.20,z:62.60,t:101585
x:-229.00,y:-346.20,z:436.60,t:101590
x:221.20,y:960.60,z:-319.80,t:101594
x:173.60,y:-171.40,z:-272.60,t:101598
x:-552.20,y:-536.60,z:636.80,t:101602
x:27.60,y:971.40,z:-145.20,t:101606
x:439.60,y:473.20,z:-851.80,t:101610
x:-457.00,y:-751.00,z:506.80,t:101614
x:174.40,y:-209.00,z:600.60,t:101618
x:393.00,y:267.00,z:-491.00,t:101622
x:-521.80,y:425.00,z:-157.20,t:101626
x:62.00,y:389.80,z:-14.60,t:101629
x:590.80,y:-256.20,z:24.60,t:101634
x:-362.60,y:-567.60,z:91.00,t:101638
x:-88.00,y:597.20,z:-89.40,t:101642
x:132.60,y:281.00,z:-284.60,t:101646
x:-88.80,y:-766.60,z:337.60,t:101650
x:-107.00,y:-42.00,z:56.20,t:101654
x:484.80,y:620.20,z:-287.40,t:101657
x:-192.20,y:-387.40,z:85.20,t:101661
x:-631.40,y:-1054.20,z:581.00,t:101665
x:624.40,y:624.20,z:-256.60,t:101669
x:281.60,y:371.20,z:-533.00,t:101673
x:-757.60,y:-1538.80,z:770.80,t:101678
x:93.20,y:17.20,z:182.00,t:101682
x:506.40,y:549.00,z:-848.80,t:101686
x:-620.60,y:-187.20,z:283.00,t:101690
x:288.80,y:-123.40,z:161.20,t:101694
x:505.80,y:-586.80,z:0.60,t:101698
x:-524.60,y:-216.80,z:-30.40,t:101702
x:-245.60,y:651.00,z:-76.80,t:101705
x:469.20,y:14.40,z:-43.20,t:101709
x:-103.20,y:-683.20,z:261.00,t:101713
x:-69.80,y:222.80,z:96.00,t:101718
x:115.00,y:616.80,z:-261.20,t:101722
x:37.40,y:-629.00,z:227.80,t:101726
x:-364.40,y:-365.60,z:439.40,t:101730
x:338.60,y:894.60,z:-455.80,t:101734
x:164.80,y:-268.40,z:-325.60,t:101738
x:-522.40,y:-871.20,z:760.00,t:101742
x:193.20,y:903.80,z:-216.80,t:101746
x:436.20,y:511.40,z:-919.80,t:101750
x:-389.40,y:-495.20,z:607.80,t:101753
x:136.40,y:-211.60,z:487.20,t:101757
x:339.00,y:160.40,z:-444.40,t:101762
x:-619.60,y:403.40,z:17.60,t:101766
x:-103.80,y:336.60,z:62.60,t:101770
x:535.20,y:-436.80,z:69.40,t:101774
x:-275.60,y:-552.40,z:150.00,t:101778
x:17.40,y:608.80,z:-60.60,t:101782
x:211.40,y:107.20,z:-145.60,t:101786
x:-161.00,y:-478.80,z:406.60,t:101790
x:97.20,y:88.20,z:-176.40,t:101793
x:113.60,y:873.60,z:-426.00,t:101797
x:102.00,y:-497.80,z:-41.40,t:101801
x:-254.60,y:-641.40,z:549.60,t:101806
x:73.40,y:1022.40,z:-210.20,t:101810
x:595.40,y:171.60,z:-286.00,t:101814
x:-390.00,y:-938.20,z:923.00,t:101818
x:-67.20,y:46.80,z:291.80,t:101822
x:465.40,y:434.80,z:-756.00,t:101826
