x:-406.40,y:-568.00,z:-618.00,t:288922
x:446.60,y:327.60,z:-69.00,t:288926
x:-391.60,y:-503.20,z:523.20,t:288930
x:355.20,y:-199.60,z:-486.80,t:288934
x:-8.80,y:181.60,z:784.60,t:288939
x:-308.60,y:-253.40,z:171.80,t:288942
x:344.40,y:463.20,z:-494.60,t:288946
x:-109.80,y:-51.20,z:484.00,t:288950
x:-43.00,y:-348.40,z:-433.60,t:288954
x:334.00,y:578.20,z:-205.80,t:288958
x:-267.40,y:-460.20,z:226.60,t:288962
x:133.80,y:56.40,z:-535.40,t:288966
x:200.00,y:522.00,z:53.00,t:288970
x:-287.80,y:-657.60,z:128.00,t:288974
x:965.20,y:689.60,z:-263.00,t:288978
x:-581.20,y:175.40,z:335.40,t:288983
x:-44.80,y:-721.20,z:-138.20,t:288986
x:273.00,y:734.00,z:-172.20,t:288990
x:-673.80,y:-523.00,z:250.40,t:288994
x:-603.80,y:-461.40,z:270.60,t:288998
x:273.60,y:-454.00,z:-116.40,t:289002
x:376.60,y:572.40,z:100.00,t:289006
x:-199.60,y:-500.40,z:49.40,t:289010
x:181.80,y:495.00,z:-350.00,t:289014
x:-327.40,y:220.00,z:415.00,t:289018
x:-144.00,y:-501.60,z:-222.60,t:289022
x:460.60,y:405.80,z:55.40,t:289027
x:-210.80,y:-289.40,z:410.40,t:289031
x:-66.00,y:-342.80,z:-439.60,t:289035
x:187.60,y:585.00,z:-21.80,t:289038
x:-281.60,y:-395.60,z:201.00,t:289042
x:223.20,y:191.60,z:-474.80,t:289046
x:-57.00,y:555.40,z:246.40,t:289050
x:-270.60,y:-502.80,z:141.20,t:289054
x:477.20,y:275.00,z:-330.80,t:289058
x:-86.20,y:324.40,z:479.40,t:289062
x:-226.40,y:-403.00,z:-116.80,t:289067
x:303.60,y:672.40,z:-411.40,t:289071
x:-319.60,y:-139.60,z:406.20,t:289075
x:-80.00,y:-65.20,z:-468.80,t:289079
x:49.40,y:733.20,z:81.80,t:289082
x:-424.80,y:-323.80,z:425.60,t:289086
x:235.80,y:-87.60,z:-364.80,t:289090
x:187.20,y:301.40,z:248.40,t:289094
x:-289.00,y:-283.80,z:-101.60,t:289098
x:184.60,y:548.60,z:-543.60,t:289102
x:-148.40,y:334.60,z:252.20,t:289106
x:-230.60,y:-543.80,z:-4.80,t:289111
x:494.60,y:350.20,z:-107.40,t:289115
x:-239.40,y:-75.60,z:420.00,t:289119
x:-194.40,y:-533.00,z:-293.20,t:289123
x:314.40,y:623.80,z:-70.00,t:289127
x:-211.60,y:-37.80,z:118.20,t:289130
x:227.20,y:-63.40,z:-321.00,t:289134
x:-126.60,y:377.40,z:248.80,t:289138
x:-550.20,y:-595.80,z:-33.80,t:289142
x:649.00,y:-124.00,z:-226.60,t:289146
x:-17.40,y:-106.00,z:174.20,t:289150
x:-168.00,y:-728.20,z:-79.80,t:289155
x:261.40,y:423.60,z:-188.00,t:289159
x:-273.60,y:-230.80,z:542.80,t:289163
x:84.20,y:-268.60,z:-385.40,t:289167
x:196.80,y:451.00,z:157.20,t:289171
x:-439.40,y:-731.40,z:460.00,t:289175
x:308.00,y:-67.80,z:-621.80,t:289178
x:134.80,y:244.20,z:392.00,t:289182
x:-346.40,y:-594.80,z:47.40,t:289186
x:337.00,y:419.20,z:-331.80,t:289190
x:-321.00,y:86.20,z:449.20,t:289195
x:85.80,y:-247.80,z:-133.00,t:289199
x:374.40,y:565.40,z:38.40,t:289203
x:-435.00,y:-284.40,z:263.60,t:289207
x:61.80,y:-67.80,z:-335.00,t:289211
x:-116.20,y:517.80,z:261.60,t:289215
x:-230.20,y:-570.20,z:-20.40,t:289218
x:558.80,y:248.00,z:-237.80,t:289222
x:-22.60,y:83.80,z:405.60,t:289226
x:43.60,y:-791.60,z:197.60,t:289230
x:285.80,y:437.80,z:-271.40,t:289234
x:-474.20,y:-558.80,z:567.60,t:289239
x:202.60,y:-292.60,z:-767.20,t:289243
x:36.60,y:-73.80,z:564.60,t:289247
x:-389.00,y:-665.00,z:37.00,t:289251
x:591.20,y:57.20,z:-271.20,t:289254
