-x:489.80,y:1793.20,z:-1034.40,t:13734
x:-989.80,y:-1243.00,z:1058.60,t:13739
x:-23.60,y:-1664.20,z:432.00,t:13743
x:988.20,y:2690.60,z:-1584.80,t:13747
x:-1252.80,y:-792.00,z:1141.60,t:13751
x:374.80,y:-2781.00,z:716.20,t:13755
x:1310.40,y:2545.40,z:-1092.00,t:13759
x:-18.20,y:2727.60,z:-1184.80,t:13763
x:-1317.80,y:-1562.00,z:859.80,t:13767
x:991.60,y:-1429.20,z:465.40,t:13771
x:570.40,y:1938.00,z:-495.80,t:13775
x:-1639.80,y:75.60,z:134.40,t:13779
x:270.80,y:-1512.80,z:414.40,t:13784
x:1185.60,y:585.80,z:221.00,t:13788
x:-1089.60,y:741.60,z:-141.60,t:13792
x:-261.40,y:-1008.20,z:-103.00,t:13796
x:1000.80,y:-67.80,z:242.40,t:13800
x:-480.80,y:825.80,z:-161.40,t:13804
x:-707.80,y:-618.00,z:-36.60,t:13808
x:1117.00,y:-160.20,z:245.40,t:13812
x:-490.40,y:694.60,z:232.00,t:13816
x:-770.00,y:-78.80,z:-557.00,t:13819
x:1156.20,y:-526.80,z:354.20,t:13824
x:-150.20,y:-15.00,z:315.00,t:13828
x:-377.60,y:1164.80,z:-844.00,t:13832
x:356.80,y:-181.00,z:-196.40,t:13836
x:-295.40,y:-1758.20,z:835.60,t:13840
x:839.20,y:1229.20,z:-562.00,t:13844
x:-165.60,y:942.60,z:-288.60,t:13848
x:-577.80,y:-2517.40,z:971.80,t:13852
x:1345.00,y:1147.20,z:-426.80,t:13856
x:1084.60,y:3282.20,z:-1671.80,t:13860
x:-1176.80,y:-588.20,z:651.60,t:13864
x:9.80,y:-3038.60,z:747.20,t:13869
x:1171.80,y:2194.80,z:-812.80,t:13873
x:-877.20,y:1063.20,z:-453.80,t:13877
x:-256.60,y:-2426.60,z:736.40,t:13881
x:1467.80,y:322.00,z:-114.20,t:13885
x:-724.60,y:1748.40,z:-647.00,t:13889
x:-790.60,y:-1119.60,z:58.40,t:13893
x:1286.40,y:-615.60,z:194.00,t:13897
x:-211.20,y:1265.40,z:-280.20,t:13901
x:-1248.80,y:-43.00,z:-339.60,t:13905
x:665.80,y:-876.80,z:378.60,t:13908
x:123.00,y:753.00,z:63.20,t:13913
x:-987.40,y:265.20,z:-349.60,t:13917
x:773.00,y:-763.20,z:171.40,t:13921
x:257.80,y:300.20,z:288.00,t:13925
x:-981.80,y:341.20,z:-463.40,t:13929
x:329.40,y:-663.20,z:34.00,t:13933
x:615.80,y:230.60,z:408.80,t:13937
x:-687.40,y:467.00,z:-241.40,t:13940
x:-307.00,y:-394.40,z:-196.80,t:13944
x:477.60,y:-648.80,z:684.00,t:13948
x:-157.80,y:-46.40,z:182.60,t:13953
x:142.60,y:1583.00,z:-1049.60,t:13957
x:-785.20,y:-794.00,z:856.20,t:13961
x:-252.60,y:-1148.20,z:318.60,t:13965
x:1087.40,y:2541.80,z:-1536.20,t:13969
x:-364.80,y:2000.20,z:-871.40,t:13973
x:-1206.80,y:-2758.20,z:1026.40,t:13977
x:912.20,y:168.60,z:138.00,t:13981
x:-68.00,y:2754.00,z:-1165.20,t:13985
x:-1487.60,y:-1633.60,z:850.80,t:13989
x:833.20,y:-1338.20,z:169.00,t:13993
x:584.80,y:1909.60,z:-460.20,t:13998
x:-1577.60,y:182.80,z:76.20,t:14002
x:344.80,y:-1295.60,z:227.40,t:14006
x:1272.40,y:731.40,z:78.60,t:14010
x:-1078.60,y:875.80,z:-35.80,t:14014
x:-279.60,y:-812.00,z:-19.20,t:14018
x:1298.40,y:-99.60,z:237.20,t:14021
x:-686.60,y:758.60,z:14.80,t:14025
x:-807.20,y:-383.80,z:-377.00,t:14029
x:1042.20,y:-84.80,z:116.00,t:14033
x:-374.20,y:644.80,z:64.40,t:14038
x:-786.20,y:119.40,z:-557.20,t:14042
x:1159.80,y:-182.00,z:93.60,t:14046
x:-227.60,y:310.40,z:222.40,t:14050
x:-829.20,y:358.00,z:-768.40,t:14053
x:446.20,y:-470.20,z:-244.00,t:14057
x:-142.20,y:-883.00,z:916.20,t:14061
x:504.40,y:956.80,z:-444.00,t:14065
x:33.40,y:1023.60,z:-678.20,t:14069
x:-829.40,y:-1962.80,z:1110.80,t:14073
x:910.60,y:243.00,z:4.80,t:14077
x:153.40,y:2516.40,z:-1335.60,t:14082
x:-1302.60,y:-2532.60,z:1371.40,t:14086
x:819.80,y:-154.00,z:175.40,t:14090
x:75.60,y:2945.20,z:-1419.60,t:14094
x:-945.60,y:1332.60,z:-534.00,t:14098
x:-350.60,y:-2651.80,z:650.80,t:14102
