-x:-168.40,y:-815.80,z:278.20,t:65078
x:-693.80,y:94.60,z:-148.20,t:65082
x:-461.60,y:913.60,z:-379.80,t:65085
x:215.40,y:833.20,z:-403.80,t:65089
x:783.40,y:-138.40,z:194.20,t:65093
x:380.60,y:-1158.00,z:767.60,t:65097
x:-363.20,y:-871.00,z:321.00,t:65101
x:-513.40,y:354.20,z:-399.40,t:65105
x:33.20,y:1325.60,z:-937.60,t:65110
x:337.00,y:501.40,z:-404.00,t:65114
x:-262.00,y:-384.00,z:737.60,t:65118
x:-208.20,y:-275.80,z:646.40,t:65122
x:509.60,y:-30.00,z:-143.80,t:65125
x:550.80,y:-587.80,z:-4.00,t:65129
x:-86.40,y:-641.40,z:1.80,t:65133
x:-703.00,y:99.00,z:-96.80,t:65137
x:-540.20,y:-490.60,z:77.40,t:65141
x:-546.40,y:610.20,z:-270.00,t:65144
x:143.20,y:929.80,z:-651.80,t:65148
x:778.40,y:216.80,z:-70.40,t:65153
x:510.60,y:-740.40,z:787.60,t:65157
x:-343.80,y:-1155.00,z:614.00,t:65161
x:-564.20,y:-330.40,z:163.60,t:65165
x:-396.20,y:746.00,z:-559.60,t:65169
x:75.80,y:1119.80,z:-883.80,t:65173
x:386.60,y:261.00,z:-21.40,t:65177
x:-292.20,y:-570.60,z:896.00,t:65181
x:-54.40,y:-398.20,z:307.80,t:65184
x:669.20,y:-274.20,z:-204.40,t:65188
x:269.00,y:-463.40,z:-242.60,t:65192
x:-404.80,y:-155.60,z:-261.80,t:65197
x:-689.40,y:540.80,z:-57.80,t:65201
x:-92.80,y:819.20,z:-294.20,t:65205
x:637.40,y:219.40,z:21.20,t:65209
x:405.00,y:-544.80,z:600.20,t:65212
x:-383.60,y:-740.60,z:462.60,t:65216
x:-605.80,y:86.80,z:-230.80,t:65220
x:-440.60,y:918.00,z:-696.00,t:65224
x:150.00,y:834.20,z:-619.80,t:65228
x:687.00,y:-61.40,z:64.20,t:65232
x:-13.40,y:-1081.40,z:910.40,t:65236
x:-314.00,y:-611.80,z:736.40,t:65241
x:217.60,y:284.40,z:-586.40,t:65245
x:218.20,y:181.20,z:-737.40,t:65248
x:-469.20,y:24.40,z:-204.20,t:65252
x:-750.00,y:439.40,z:227.20,t:65256
x:-200.80,y:790.20,z:-104.80,t:65260
x:674.80,y:192.60,z:13.00,t:65264
x:440.80,y:-759.80,z:531.80,t:65268
x:-469.40,y:-729.20,z:361.80,t:65272
x:-537.40,y:166.80,z:-218.60,t:65276
x:-279.40,y:900.00,z:-666.40,t:65280
x:333.80,y:876.60,z:-629.00,t:65284
x:823.80,y:-184.60,z:273.20,t:65288
x:190.00,y:-1120.40,z:780.40,t:65292
x:-440.60,y:-977.20,z:523.80,t:65296
x:-369.20,y:106.60,z:-377.80,t:65300
x:79.20,y:756.60,z:-943.40,t:65304
x:129.40,y:286.00,z:-207.80,t:65308
x:-499.60,y:-97.80,z:695.00,t:65312
x:-56.40,y:147.40,z:237.40,t:65315
x:653.40,y:-226.40,z:68.20,t:65319
x:691.40,y:-634.60,z:103.40,t:65324
x:-175.80,y:-813.20,z:175.80,t:65328
x:-644.40,y:10.60,z:-36.80,t:65332
x:-478.60,y:-274.40,z:117.00,t:65336
x:-556.20,y:595.20,z:-451.20,t:65340
x:38.80,y:844.80,z:-648.20,t:65343
x:628.00,y:405.60,z:-154.80,t:65347
x:653.60,y:-789.80,z:625.20,t:65351
x:-178.20,y:-1077.60,z:805.60,t:65355
x:-517.40,y:-489.60,z:217.40,t:65359
x:-118.00,y:778.40,z:-687.60,t:65363
x:224.40,y:602.20,z:-831.60,t:65368
x:10.60,y:56.80,z:375.00,t:65372
x:-370.60,y:60.80,z:714.20,t:65376
x:206.40,y:-61.80,z:61.00,t:65379
x:712.80,y:-568.20,z:24.20,t:65383
x:374.00,y:-829.60,z:88.60,t:65387
x:-486.40,y:-507.00,z:6.40,t:65391
x:-561.80,y:517.80,z:-263.80,t:65395
x:-1.20,y:776.40,z:-491.00,t:65398
x:754.40,y:125.20,z:8.20,t:65402
x:442.20,y:-909.20,z:753.40,t:65406
x:-213.20,y:-997.80,z:527.80,t:65411
x:-639.40,y:-165.20,z:-49.60,t:65415
x:-500.00,y:-809.60,z:490.00,t:65419
x:-590.20,y:228.60,z:-271.60,t:65423
x:-77.20,y:1082.20,z:-920.00,t:65427
x:337.60,y:591.80,z:-503.40,t:65430
x:-86.40,y:-260.40,z:379.60,t:65434
x:-151.20,y:-147.20,z:593.20,t:65438
x:509.60,y:-170.40,z:55.20,t:65442
x:733.40,y:-642.00,z:20.80,t:65446
x:-52.00,y:-647.60,z:35.60,t:65451
x:-733.00,y:12.00,z:-64.60,t:65454
x:-293.60,y:794.80,z:-456.80,t:65458
x:378.60,y:620.60,z:-292.60,t:65462
x:762.00,y:-283.80,z:382.20,t:65466
x:170.60,y:-842.20,z:621.20,t:65470
x:-544.60,y:-766.60,z:401.60,t:65474
x:-570.60,y:224.00,z:-316.00,t:65478
x:-257.20,y:1189.80,z:-674.00,t:65482
x:418.60,y:896.00,z:-475.60,t:65486
x:398.80,y:-331.40,z:485.80,t:65490
x:-262.80,y:-914.20,z:1010.60,t:65494
x:-29.40,y:-381.20,z:29.00,t:65498
x:376.40,y:18.80,z:-639.20,t:65502
x:-6.40,y:151.80,z:-602.00,t:65506
x:-642.60,y:334.00,z:-59.00,t:65510
x:-524.00,y:675.80,z:118.80,t:65514
x:112.60,y:705.20,z:-182.20,t:65517
x:793.20,y:-163.80,z:226.80,t:65521
x:47.40,y:-822.80,z:527.40,t:65525
x:-547.00,y:-356.40,z:131.60,t:65529
x:-626.80,y:633.20,z:-468.80,t:65533
x:-56.80,y:915.80,z:-674.40,t:65538
x:729.80,y:336.20,z:-16.60,t:65542
x:519.40,y:-706.00,z:608.40,t:65546
x:-141.00,y:-1065.80,z:780.20,t:65550
x:-366.20,y:-312.80,z:234.60,t:65553
x:81.20,y:554.80,z:-771.40,t:65557
x:214.40,y:415.20,z:-713.60,t:65561
x:-324.60,y:53.00,z:334.00,t:65565
x:-424.20,y:443.60,z:503.00,t:65569
x:-744.20,y:431.00,z:208.40,t:65573
x:-367.20,y:730.00,z:86.40,t:65577
x:507.20,y:359.40,z:-137.60,t:65581
x:590.40,y:-721.20,z:475.20,t:65585
x:-333.40,y:-773.80,z:402.60,t:65589
x:-529.80,y:100.00,z:-125.60,t:65593
x:-201.00,y:888.80,z:-635.20,t:65597
x:342.00,y:795.00,z:-482.60,t:65601
x:868.80,y:-100.20,z:188.20,t:65605
x:188.80,y:-1150.20,z:895.80,t:65609
x:-361.20,y:-944.60,z:585.40,t:65613
x:-469.80,y:331.40,z:-245.20,t:65617
x:187.20,y:694.20,z:-1012.20,t:65622
x:-276.40,y:-302.20,z:831.00,t:65626
x:155.60,y:-81.20,z:164.20,t:65629
x:-211.40,y:136.80,z:415.80,t:65633
x:530.00,y:-34.40,z:-169.40,t:65637
x:747.00,y:-613.20,z:97.60,t:65641
x:-74.20,y:-815.20,z:146.80,t:65645
x:-648.00,y:16.80,z:-85.20,t:65649
x:-410.80,y:924.20,z:-548.20,t:65652
x:375.00,y:654.20,z:-406.00,t:65656
x:765.20,y:-186.00,z:313.00,t:65660
x:117.20,y:-989.20,z:798.00,t:65665
x:-500.80,y:-733.00,z:309.40,t:65669
x:-535.00,y:281.40,z:-346.80,t:65673
x:-177.80,y:908.80,z:-750.60,t:65677
x:460.20,y:771.60,z:-452.80,t:65681
x:102.60,y:-315.00,z:529.00,t:65685
x:-223.20,y:-683.80,z:851.20,t:65688
x:327.00,y:-93.00,z:-132.00,t:65692
x:607.80,y:-263.20,z:-398.40,t:65696
x:-97.00,y:-351.80,z:-295.80,t:65700
x:-666.80,y:68.60,z:-42.80,t:65704
x:-513.00,y:734.00,z:-196.40,t:65709
x:88.20,y:636.20,z:-246.80,t:65713
x:762.80,y:-245.60,z:274.60,t:65717
x:281.40,y:-847.20,z:484.20,t:65720
x:-429.60,y:-499.60,z:131.20,t:65724
x:-640.60,y:660.60,z:-491.80,t:65728
x:-380.80,y:1309.40,z:-742.40,t:65732
x:328.20,y:865.80,z:-456.80,t:65736
x:525.20,y:-596.60,z:423.60,t:65740
x:-264.00,y:-1048.20,z:1008.40,t:65744
x:-157.20,y:-215.60,z:194.80,t:65748
x:252.00,y:290.00,z:-807.40,t:65753
x:4.20,y:107.40,z:-513.80,t:65757
x:-592.40,y:276.60,z:212.80,t:65760
x:-590.80,y:622.60,z:310.20,t:65764
x:159.80,y:577.60,z:-166.80,t:65768
x:901.00,y:-235.00,z:199.40,t:65772
x:127.60,y:-946.20,z:465.60,t:65776
x:-555.00,y:-322.80,z:138.40,t:65780
x:-504.60,y:553.40,z:-391.60,t:65784
x:88.40,y:1062.20,z:-740.20,t:65788
