-x:-536.20,y:591.20,z:-824.40,t:87046
x:-648.60,y:164.20,z:-616.60,t:87050
x:-424.00,y:-177.00,z:52.20,t:87054
x:42.60,y:-601.40,z:614.60,t:87058
x:423.00,y:-1206.20,z:1127.60,t:87062
x:664.60,y:-1377.00,z:1032.40,t:87066
x:574.40,y:-674.60,z:862.00,t:87070
x:140.00,y:11.80,z:-12.60,t:87073
x:-8.60,y:694.60,z:-873.00,t:87077
x:147.20,y:1689.60,z:-1469.80,t:87081
x:155.60,y:2277.20,z:-1543.00,t:87086
x:341.60,y:1762.20,z:-896.20,t:87090
x:94.80,y:570.20,z:108.20,t:87094
x:-185.60,y:-519.00,z:932.20,t:87098
x:-485.20,y:-1423.20,z:895.40,t:87102
x:-546.20,y:-1987.40,z:482.40,t:87106
x:-515.40,y:-1607.20,z:301.60,t:87110
x:-417.80,y:-837.00,z:33.80,t:87114
x:-189.20,y:-526.00,z:124.60,t:87117
x:438.80,y:-279.60,z:167.40,t:87121
x:682.00,y:406.80,z:259.60,t:87126
x:523.40,y:813.60,z:-88.00,t:87130
x:10.60,y:1134.20,z:-582.20,t:87134
x:-264.60,y:1234.40,z:-1139.20,t:87138
x:-250.00,y:1089.40,z:-969.80,t:87142
x:-361.80,y:520.80,z:-74.20,t:87146
x:-587.20,y:-373.80,z:713.20,t:87150
x:-129.40,y:-956.80,z:928.00,t:87154
x:329.60,y:-1084.80,z:834.40,t:87158
x:494.40,y:-1195.00,z:784.80,t:87162
x:313.80,y:-1116.80,z:576.40,t:87166
x:194.80,y:-656.60,z:78.80,t:87170
x:238.00,y:351.80,z:-284.60,t:87174
x:297.40,y:1635.40,z:-916.00,t:87178
x:295.40,y:1874.60,z:-1194.00,t:87182
x:166.60,y:1148.20,z:-816.00,t:87186
x:328.40,y:1471.60,z:-832.40,t:87190
x:576.60,y:1172.20,z:-334.80,t:87194
x:600.20,y:730.80,z:135.60,t:87198
x:324.40,y:797.80,z:40.80,t:87202
x:-269.00,y:527.40,z:-97.40,t:87206
x:-631.20,y:42.80,z:-274.40,t:87211
x:-475.40,y:-100.20,z:-3.40,t:87214
x:214.00,y:-1279.00,z:561.60,t:87218
x:-189.00,y:-1220.00,z:786.40,t:87222
x:339.40,y:-1639.40,z:803.60,t:87226
x:763.60,y:-1143.60,z:573.60,t:87230
x:566.60,y:-506.20,z:334.80,t:87234
x:128.60,y:92.20,z:9.60,t:87238
x:-82.00,y:707.80,z:-569.20,t:87242
x:-429.80,y:896.20,z:-400.40,t:87246
x:-334.20,y:237.20,z:213.80,t:87249
x:-203.00,y:-258.20,z:712.60,t:87254
x:-215.80,y:-893.00,z:749.80,t:87258
x:-258.20,y:-1282.20,z:614.60,t:87262
x:-346.80,y:-1461.20,z:595.80,t:87266
x:-128.00,y:-1759.60,z:489.80,t:87270
x:-114.80,y:-935.60,z:149.00,t:87274
x:-164.60,y:144.00,z:-308.20,t:87278
x:-5.60,y:208.40,z:-239.80,t:87282
x:402.20,y:86.60,z:104.80,t:87286
x:367.60,y:821.00,z:-44.20,t:87289
x:-154.80,y:662.40,z:-336.40,t:87293
x:-553.80,y:428.40,z:-496.00,t:87298
x:-544.80,y:110.80,z:-477.20,t:87302
x:-327.00,y:-261.60,z:189.00,t:87306
x:-244.60,y:-757.80,z:875.00,t:87310
x:211.80,y:-1270.40,z:967.00,t:87314
x:605.80,y:-1746.40,z:1061.80,t:87318
x:252.20,y:-1305.20,z:1112.60,t:87322
x:253.20,y:-1192.00,z:1167.60,t:87326
x:-41.40,y:-536.80,z:687.00,t:87330
x:-117.00,y:-390.60,z:297.00,t:87334
x:18.20,y:92.60,z:-292.20,t:87339
x:465.80,y:1229.40,z:-957.20,t:87342
x:701.20,y:1784.80,z:-1159.00,t:87347
x:436.60,y:1586.20,z:-530.60,t:87350
x:158.40,y:572.00,z:105.40,t:87354
x:-82.40,y:-108.00,z:627.00,t:87358
x:-318.40,y:-912.20,z:701.60,t:87362
x:-491.60,y:-1102.40,z:209.40,t:87366
x:-761.60,y:-786.20,z:-4.40,t:87370
x:-800.40,y:-684.40,z:-0.60,t:87374
x:-303.20,y:-968.80,z:277.20,t:87378
x:376.20,y:-1046.40,z:526.40,t:87383
x:702.20,y:-534.80,z:476.60,t:87386
x:418.60,y:-15.40,z:205.00,t:87390
x:3.60,y:671.00,z:-334.80,t:87394
x:-83.00,y:1200.40,z:-910.00,t:87398
x:-239.80,y:1614.40,z:-1553.20,t:87402
x:-452.80,y:1230.40,z:-1218.80,t:87406
x:-450.60,y:353.00,z:-62.60,t:87410
x:-211.80,y:-276.00,z:785.60,t:87414
x:-379.60,y:-773.40,z:950.40,t:87418
x:-188.60,y:-1468.40,z:1102.20,t:87422
x:172.40,y:-1849.80,z:849.40,t:87427
x:-97.80,y:-1213.60,z:549.40,t:87431
x:-291.20,y:-199.40,z:154.00,t:87434
x:166.20,y:1357.40,z:-544.60,t:87438
x:576.00,y:1578.80,z:-762.00,t:87442
x:476.20,y:1304.40,z:-387.40,t:87446
x:383.40,y:606.20,z:346.00,t:87450
x:348.80,y:101.00,z:392.20,t:87454
x:-49.80,y:339.20,z:-41.60,t:87458
x:-568.20,y:305.80,z:-304.20,t:87462
x:-714.40,y:-49.80,z:-298.20,t:87467
x:-386.40,y:-362.00,z:71.80,t:87471
x:-216.80,y:-939.80,z:650.80,t:87474
x:217.00,y:-1679.40,z:682.60,t:87478
x:581.60,y:-1429.20,z:683.00,t:87482
x:715.60,y:-724.20,z:321.20,t:87486
x:322.80,y:-49.20,z:178.40,t:87490
x:45.80,y:524.00,z:-38.00,t:87494
x:-89.20,y:913.00,z:-857.00,t:87498
x:-90.80,y:1418.40,z:-1395.60,t:87502
x:-141.60,y:1519.40,z:-1139.60,t:87506
x:-247.40,y:728.00,z:-278.20,t:87511
x:-312.40,y:-309.20,z:645.60,t:87514
x:-473.00,y:-1289.40,z:978.60,t:87518
x:-642.40,y:-2044.00,z:962.60,t:87522
x:-366.60,y:-1916.00,z:498.40,t:87526
x:-207.60,y:-1065.40,z:295.60,t:87530
x:-233.00,y:339.40,z:-257.60,t:87534
x:169.80,y:879.40,z:-496.80,t:87538
x:684.20,y:766.00,z:-3.00,t:87542
x:853.20,y:567.20,z:183.80,t:87546
x:413.40,y:967.40,z:-207.00,t:87550
x:-150.60,y:840.20,z:-448.80,t:87555
x:-402.80,y:828.80,z:-949.00,t:87559
x:-330.00,y:647.80,z:-406.00,t:87562
x:-494.60,y:50.40,z:298.20,t:87566
x:-304.00,y:-832.60,z:859.60,t:87570
x:-179.00,y:-1310.80,z:962.60,t:87574
x:178.00,y:-1361.80,z:828.60,t:87578
x:403.40,y:-1174.60,z:529.40,t:87582
x:253.00,y:-840.80,z:422.00,t:87586
x:249.60,y:-244.20,z:73.40,t:87590
x:181.40,y:584.80,z:-447.80,t:87595
x:527.80,y:2032.80,z:-1182.80,t:87599
x:272.40,y:2072.20,z:-1206.40,t:87603
x:411.40,y:1849.20,z:-977.80,t:87607
x:395.00,y:1711.40,z:-943.00,t:87611
x:390.20,y:1095.80,z:-240.60,t:87615
x:413.20,y:579.00,z:253.20,t:87619
x:191.20,y:506.80,z:68.80,t:87622
x:-361.40,y:354.40,z:-174.20,t:87626
x:-724.60,y:-20.60,z:-203.40,t:87630
x:-410.40,y:-354.40,z:166.00,t:87634
x:-239.00,y:-771.40,z:614.20,t:87639
x:-74.80,y:-1322.20,z:718.40,t:87643
x:520.40,y:-1337.60,z:686.60,t:87647
x:735.60,y:-914.40,z:464.40,t:87651
x:615.40,y:-739.40,z:501.80,t:87655
x:103.40,y:-391.60,z:275.60,t:87659
x:-172.60,y:232.40,z:-334.00,t:87662
x:12.60,y:871.80,z:-927.20,t:87666
x:-50.40,y:1568.00,z:-1055.80,t:87670
x:-342.60,y:1106.60,z:-521.40,t:87674
x:-277.00,y:4.60,z:242.80,t:87678
x:-231.80,y:-970.20,z:680.00,t:87683
x:-229.60,y:-1023.40,z:427.60,t:87687
x:-293.60,y:-970.40,z:85.20,t:87691
x:-381.00,y:-602.80,z:83.20,t:87694
x:-448.80,y:-175.40,z:-209.00,t:87698
x:21.20,y:175.20,z:-77.20,t:87702
x:602.20,y:-23.40,z:202.40,t:87706
x:700.40,y:33.60,z:358.60,t:87710
x:-304.40,y:819.40,z:-399.20,t:87714
x:-481.40,y:699.80,z:-779.20,t:87718
x:-492.40,y:397.20,z:-696.80,t:87723
x:-354.80,y:-264.40,z:228.60,t:87726
x:110.20,y:-790.60,z:651.80,t:87730
x:242.00,y:-1342.20,z:1098.00,t:87734
x:-36.80,y:-725.40,z:640.80,t:87738
x:356.40,y:-1253.60,z:1194.20,t:87742
x:230.60,y:-1323.60,z:1346.00,t:87746
x:325.20,y:-1298.80,z:912.80,t:87750
x:397.40,y:-1082.40,z:540.80,t:87754
x:224.20,y:338.60,z:-239.00,t:87758
x:79.60,y:1429.00,z:-905.00,t:87762
x:356.00,y:1808.40,z:-1537.80,t:87767
x:646.80,y:1451.00,z:-608.80,t:87771
x:371.20,y:705.60,z:218.60,t:87775
x:-102.00,y:-198.60,z:571.60,t:87779
x:-280.60,y:-1027.80,z:744.80,t:87783
x:-392.80,y:-872.40,z:175.20,t:87787
x:-842.80,y:-596.60,z:-202.80,t:87791
x:-661.60,y:-1006.40,z:192.80,t:87795
