-x:-559.40,y:-189.80,z:438.60,t:118738
x:-166.80,y:217.60,z:-159.20,t:118743
x:-414.40,y:36.60,z:-98.60,t:118746
x:45.20,y:-74.60,z:510.40,t:118750
x:197.60,y:-155.80,z:409.60,t:118754
x:316.00,y:-136.20,z:297.00,t:118758
x:278.40,y:-231.80,z:369.40,t:118762
x:-445.00,y:-255.20,z:-125.80,t:118766
x:-408.60,y:-300.00,z:70.00,t:118770
x:-276.60,y:-381.40,z:123.00,t:118774
x:-102.00,y:-597.20,z:106.60,t:118778
x:85.20,y:-633.60,z:6.80,t:118782
x:363.40,y:-280.80,z:-295.00,t:118787
x:398.60,y:-117.00,z:-263.60,t:118791
x:183.00,y:-130.60,z:-166.40,t:118794
x:126.40,y:-66.60,z:-451.00,t:118798
x:236.20,y:62.60,z:-545.00,t:118802
x:74.00,y:-87.20,z:-388.00,t:118806
x:-108.00,y:-209.00,z:-270.00,t:118810
x:336.80,y:68.40,z:-23.00,t:118814
x:463.40,y:284.00,z:206.40,t:118818
x:448.60,y:231.00,z:172.00,t:118822
x:361.20,y:221.60,z:109.80,t:118827
x:442.20,y:326.40,z:166.80,t:118830
x:614.20,y:393.40,z:42.60,t:118834
x:394.00,y:692.20,z:-8.60,t:118838
x:-231.80,y:59.20,z:-249.20,t:118842
x:-59.20,y:-4.60,z:-159.40,t:118846
x:-189.00,y:46.00,z:-114.40,t:118850
x:-145.00,y:226.40,z:-196.60,t:118854
x:-81.60,y:116.00,z:123.00,t:118858
x:-49.60,y:125.00,z:345.60,t:118861
x:-166.00,y:57.60,z:554.80,t:118865
x:-97.60,y:-146.40,z:519.80,t:118870
x:-322.40,y:-345.40,z:639.80,t:118874
x:-589.80,y:-369.80,z:622.80,t:118878
x:-452.60,y:-162.80,z:463.40,t:118882
x:-335.80,y:-22.60,z:352.00,t:118886
x:-235.20,y:-136.60,z:243.60,t:118890
x:-140.20,y:-169.20,z:314.40,t:118894
x:41.60,y:-91.20,z:298.20,t:118898
x:89.00,y:-168.20,z:301.40,t:118901
x:141.80,y:-380.20,z:273.40,t:118905
x:-58.20,y:-520.60,z:385.80,t:118909
x:-81.00,y:-555.20,z:267.80,t:118914
x:-78.60,y:-561.60,z:276.80,t:118918
x:61.20,y:-474.80,z:153.20,t:118922
x:94.00,y:-274.40,z:-18.80,t:118926
x:138.00,y:-299.60,z:-170.40,t:118930
x:111.40,y:-359.60,z:-93.60,t:118934
x:69.80,y:-188.80,z:-125.40,t:118937
x:-22.00,y:272.40,z:-345.60,t:118941
x:-21.00,y:461.60,z:-469.20,t:118945
x:375.40,y:521.80,z:-407.20,t:118949
