-x:-581.40,y:-292.60,z:-267.00,t:34834
x:75.40,y:140.00,z:-570.60,t:34837
x:22.20,y:399.60,z:278.00,t:34841
x:-602.80,y:-896.80,z:737.20,t:34845
x:-293.20,y:-1320.40,z:462.80,t:34849
x:1489.20,y:1208.40,z:-993.00,t:34853
x:372.60,y:1310.40,z:-462.80,t:34857
x:-1242.60,y:-171.80,z:606.60,t:34862
x:-516.00,y:-2131.20,z:665.20,t:34866
x:676.20,y:-101.60,z:-104.80,t:34870
x:444.60,y:1174.80,z:-396.20,t:34874
x:326.40,y:857.40,z:-503.20,t:34878
x:103.40,y:633.60,z:-399.00,t:34882
x:130.60,y:-670.60,z:270.80,t:34886
x:963.20,y:-761.40,z:502.20,t:34890
x:83.00,y:102.40,z:398.20,t:34893
x:-916.80,y:266.00,z:-245.00,t:34897
x:-913.00,y:210.40,z:-1106.80,t:34902
x:99.60,y:-297.40,z:-129.00,t:34906
x:1181.80,y:-215.80,z:721.00,t:34910
x:243.20,y:160.20,z:470.60,t:34914
x:-808.40,y:-154.80,z:-41.20,t:34918
x:-461.60,y:-65.20,z:-776.00,t:34922
x:306.00,y:39.80,z:-162.00,t:34925
x:-48.60,y:233.40,z:498.40,t:34929
x:-91.60,y:-698.20,z:340.20,t:34933
x:790.80,y:482.60,z:-545.40,t:34937
x:1064.80,y:1361.60,z:-766.40,t:34941
x:-242.60,y:337.80,z:147.60,t:34946
x:-1387.20,y:-1401.80,z:599.00,t:34950
x:-34.60,y:-1267.40,z:434.60,t:34954
x:1017.20,y:1457.00,z:-775.20,t:34958
x:-38.20,y:811.60,z:-250.40,t:34962
x:-60.00,y:-8.20,z:-13.40,t:34965
x:-294.80,y:-38.60,z:90.00,t:34969
x:-38.00,y:-738.80,z:447.20,t:34973
x:802.20,y:-783.40,z:621.40,t:34977
x:-103.20,y:287.60,z:179.40,t:34981
x:-1128.00,y:380.40,z:-864.80,t:34985
x:-699.80,y:282.40,z:-910.20,t:34990
x:384.00,y:-245.40,z:149.80,t:34994
x:1082.40,y:177.80,z:768.60,t:34998
x:-172.00,y:413.40,z:234.20,t:35001
x:-1213.20,y:-85.60,z:-527.60,t:35005
x:-144.20,y:-297.40,z:-491.60,t:35009
x:626.80,y:94.00,z:308.00,t:35013
x:127.40,y:277.40,z:450.40,t:35017
x:-115.60,y:-430.80,z:158.40,t:35021
x:956.60,y:800.60,z:-694.80,t:35025
x:234.60,y:1210.20,z:-420.40,t:35030
x:-1236.60,y:296.20,z:277.80,t:35034
x:-1164.00,y:-2331.40,z:659.40,t:35038
x:855.80,y:-542.60,z:25.20,t:35042
x:765.60,y:1986.80,z:-794.40,t:35046
x:-140.80,y:1074.00,z:-407.40,t:35050
x:-204.80,y:-387.20,z:576.60,t:35053
x:-516.00,y:-893.40,z:287.40,t:35057
x:12.40,y:-1172.20,z:539.00,t:35061
x:-49.40,y:-357.80,z:453.40,t:35065
x:-755.40,y:543.80,z:-498.20,t:35069
x:-782.20,y:344.00,z:-1029.60,t:35074
