-x:-444.60,y:-1368.20,z:642.40,t:114855
x:209.40,y:569.60,z:-152.20,t:114860
x:40.40,y:287.20,z:-128.80,t:114864
x:-471.00,y:93.20,z:237.00,t:114868
x:477.40,y:-215.00,z:-307.80,t:114872
x:-367.40,y:-58.40,z:300.20,t:114875
x:38.60,y:750.00,z:-550.80,t:114879
x:269.20,y:-515.20,z:286.60,t:114883
x:-312.20,y:-173.40,z:101.00,t:114887
x:102.20,y:1009.40,z:-360.20,t:114891
x:-353.40,y:-235.80,z:227.40,t:114895
x:465.80,y:864.00,z:-341.80,t:114899
x:-6.80,y:-1029.20,z:-75.00,t:114904
x:-469.40,y:-166.60,z:845.80,t:114908
x:568.80,y:1331.60,z:-699.80,t:114912
x:-73.60,y:-1072.80,z:-171.60,t:114916
x:-300.80,y:-225.80,z:1011.80,t:114920
x:111.80,y:1046.20,z:-583.20,t:114924
x:-323.80,y:-843.60,z:172.60,t:114928
x:-69.80,y:193.40,z:165.60,t:114932
x:-72.80,y:543.60,z:-292.40,t:114936
x:-489.20,y:167.80,z:118.00,t:114940
x:747.20,y:-168.20,z:-439.80,t:114944
x:-204.60,y:-476.20,z:339.00,t:114948
x:-407.20,y:687.20,z:-199.80,t:114952
x:565.80,y:-297.40,z:6.40,t:114956
x:-170.80,y:-600.80,z:222.80,t:114960
x:53.20,y:998.00,z:-172.20,t:114964
x:186.80,y:-43.60,z:-260.80,t:114968
x:-583.00,y:-717.40,z:548.60,t:114972
x:346.20,y:1055.40,z:-96.00,t:114976
x:-33.60,y:-804.60,z:-395.60,t:114980
x:-517.20,y:-831.80,z:1010.60,t:114984
x:480.80,y:1697.20,z:-532.20,t:114989
x:-416.40,y:-567.40,z:979.40,t:114993
x:20.00,y:1496.80,z:-797.00,t:114997
x:-217.60,y:-426.60,z:-198.00,t:115001
x:33.40,y:-112.00,z:391.20,t:115004
x:115.40,y:172.40,z:-449.00,t:115008
x:-531.60,y:323.20,z:337.40,t:115012
x:469.20,y:-52.20,z:-303.00,t:115016
x:-210.40,y:-855.00,z:409.40,t:115020
x:-223.60,y:594.00,z:-148.60,t:115024
x:256.20,y:104.60,z:-271.20,t:115028
x:-36.60,y:-671.20,z:306.00,t:115033
x:16.80,y:575.40,z:-71.80,t:115037
x:90.80,y:149.80,z:-401.60,t:115041
x:-471.60,y:-835.20,z:371.80,t:115045
x:65.60,y:1345.00,z:96.00,t:115048
x:691.80,y:-20.60,z:-735.00,t:115052
x:-453.60,y:-1255.60,z:930.80,t:115056
x:40.00,y:1367.60,z:-152.80,t:115060
x:195.60,y:-53.00,z:-820.80,t:115064
x:-237.60,y:-443.40,z:758.20,t:115068
x:345.80,y:852.80,z:-222.40,t:115073
x:-148.60,y:26.40,z:-106.40,t:115077
x:118.60,y:-183.00,z:120.60,t:115081
x:389.40,y:-558.20,z:-31.40,t:115085
