x:97.00,y:197.00,z:117.00,t:23897
x:-93.40,y:157.40,z:187.00,t:23901
x:76.80,y:-162.40,z:41.80,t:23905
x:393.20,y:-532.00,z:-87.60,t:23909
x:835.60,y:-485.20,z:-222.00,t:23912
x:453.20,y:-67.80,z:-490.00,t:23916
x:-40.80,y:44.20,z:-492.20,t:23920
x:-534.20,y:170.00,z:-346.40,t:23924
x:-848.00,y:724.20,z:-105.20,t:23928
x:-616.00,y:1007.00,z:-225.60,t:23932
x:375.60,y:409.00,z:-59.00,t:23937
x:731.40,y:-457.00,z:503.60,t:23941
x:904.20,y:-765.20,z:695.60,t:23944
x:594.20,y:-591.40,z:699.40,t:23948
x:123.80,y:-163.60,z:375.60,t:23952
x:-140.80,y:280.20,z:-58.80,t:23956
x:309.40,y:-282.60,z:550.60,t:23960
x:-481.20,y:102.80,z:-599.40,t:23964
x:-295.80,y:6.40,z:-444.00,t:23968
x:-369.60,y:72.00,z:-484.20,t:23971
x:-209.40,y:431.40,z:-907.40,t:23975
x:137.40,y:277.00,z:-730.40,t:23980
x:35.80,y:115.40,z:-304.80,t:23984
x:-359.80,y:243.20,z:113.40,t:23988
x:-455.40,y:502.60,z:300.80,t:23992
x:-535.60,y:684.00,z:577.20,t:23996
x:-234.40,y:672.20,z:343.60,t:24000
x:53.20,y:548.40,z:59.80,t:24003
x:677.00,y:-108.80,z:15.00,t:24007
x:840.20,y:-759.80,z:480.60,t:24011
x:303.60,y:-944.20,z:561.40,t:24015
x:-315.20,y:-403.60,z:118.80,t:24019
x:-643.60,y:304.40,z:-336.80,t:24024
x:-603.80,y:741.40,z:-647.20,t:24028
x:-225.00,y:681.00,z:-669.40,t:24032
x:120.20,y:294.40,z:-260.00,t:24036
x:226.20,y:-128.80,z:125.60,t:24039
x:243.20,y:-135.40,z:357.40,t:24043
x:262.20,y:-313.80,z:460.20,t:24047
x:61.20,y:-468.60,z:588.00,t:24051
x:7.00,y:-276.60,z:471.20,t:24055
x:-12.40,y:-0.20,z:92.20,t:24058
x:-342.60,y:411.80,z:230.40,t:24062
x:-156.40,y:418.80,z:-21.00,t:24067
x:142.80,y:115.40,z:-262.40,t:24071
x:611.00,y:-218.00,z:-251.80,t:24075
x:663.80,y:-614.40,z:89.80,t:24079
x:390.80,y:-966.00,z:158.40,t:24083
x:-228.40,y:-722.60,z:58.20,t:24087
x:-657.80,y:153.80,z:-247.60,t:24090
x:-655.60,y:814.20,z:-551.60,t:24094
x:-266.40,y:824.20,z:-710.80,t:24098
x:311.00,y:406.00,z:-398.00,t:24102
x:493.60,y:-466.00,z:217.20,t:24107
x:548.00,y:-869.40,z:678.80,t:24111
x:354.00,y:-742.60,z:740.80,t:24115
x:132.20,y:-154.00,z:552.40,t:24119
x:-6.20,y:85.80,z:70.60,t:24122
x:-360.00,y:94.60,z:-282.60,t:24126
x:-256.40,y:273.80,z:-514.20,t:24130
x:70.60,y:-1.40,z:-666.40,t:24134
x:235.00,y:-238.80,z:-507.40,t:24138
x:-134.60,y:-269.40,z:-219.20,t:24142
x:-464.00,y:2.40,z:55.00,t:24145
x:-606.80,y:338.20,z:305.40,t:24150
x:-533.60,y:649.00,z:362.00,t:24154
x:-321.00,y:786.60,z:106.80,t:24158
x:-683.80,y:505.60,z:-19.80,t:24162
x:-390.60,y:967.00,z:-260.00,t:24166
x:144.60,y:726.00,z:-297.00,t:24170
x:707.80,y:-172.00,z:277.80,t:24173
x:596.20,y:-945.80,z:764.80,t:24177
x:199.80,y:-940.80,z:763.40,t:24181
x:-197.20,y:-335.00,z:348.40,t:24185
x:-467.00,y:230.60,z:-156.80,t:24189
x:-601.40,y:380.20,z:-505.80,t:24194
x:-327.40,y:86.60,z:-715.20,t:24198
x:-305.80,y:-310.40,z:-456.80,t:24202
x:-78.20,y:-13.60,z:-223.60,t:24206
x:-26.20,y:206.00,z:115.80,t:24209
x:-60.80,y:257.40,z:410.20,t:24213
x:-168.20,y:371.20,z:595.20,t:24217
x:-204.40,y:231.00,z:167.20,t:24221
x:-143.80,y:45.60,z:-53.20,t:24225
x:198.60,y:-164.60,z:-180.80,t:24229
x:701.80,y:-396.60,z:-114.00,t:24233
x:729.40,y:-823.00,z:198.60,t:24237
x:10.00,y:-778.80,z:191.80,t:24241
x:-633.80,y:44.60,z:-229.40,t:24245
x:-772.60,y:723.40,z:-618.40,t:24249
x:-552.60,y:855.60,z:-658.80,t:24253
x:-147.60,y:430.80,z:-584.00,t:24257
x:181.20,y:-176.60,z:28.60,t:24261
x:434.80,y:-508.20,z:441.60,t:24265
x:306.40,y:-458.80,z:704.60,t:24268
x:282.20,y:-221.60,z:418.60,t:24272
x:174.20,y:32.80,z:180.20,t:24276
x:-150.60,y:120.00,z:-58.20,t:24281
x:-226.40,y:184.00,z:-290.00,t:24285
x:191.80,y:101.20,z:-546.20,t:24289
x:409.80,y:-330.20,z:-510.60,t:24293
x:59.60,y:-223.60,z:-445.80,t:24297
x:-331.60,y:193.20,z:-315.40,t:24300
x:-623.20,y:373.40,z:-5.60,t:24304
x:68.80,y:-443.40,z:-186.40,t:24308
x:-442.00,y:-332.60,z:-204.60,t:24312
x:-703.00,y:270.60,z:-253.00,t:24316
x:-578.20,y:885.60,z:-381.40,t:24321
x:82.80,y:757.00,z:-404.60,t:24325
x:676.20,y:-18.60,z:5.40,t:24328
x:763.60,y:-650.40,z:621.20,t:24332
x:390.80,y:-766.40,z:765.80,t:24336
x:72.00,y:-326.20,z:533.20,t:24340
x:-174.80,y:-20.60,z:32.20,t:24344
x:-350.60,y:62.40,z:-102.00,t:24348
x:-471.60,y:19.00,z:-511.60,t:24351
x:-280.40,y:228.80,z:-584.00,t:24355
x:108.80,y:316.00,z:-672.20,t:24359
x:48.60,y:13.20,z:-74.00,t:24364
x:-195.60,y:27.20,z:291.00,t:24368
x:-461.00,y:369.00,z:596.80,t:24372
x:-502.60,y:649.60,z:509.00,t:24375
x:-308.00,y:711.60,z:284.60,t:24379
x:-604.60,y:270.60,z:243.40,t:24383
x:-607.40,y:621.40,z:236.40,t:24387
x:-182.80,y:744.00,z:-29.20,t:24391
x:542.00,y:331.20,z:-19.00,t:24395
x:775.60,y:-521.60,z:571.40,t:24399
x:546.00,y:-843.80,z:731.20,t:24403
x:90.20,y:-448.60,z:498.40,t:24407
x:-367.40,y:182.80,z:-86.20,t:24411
x:-495.60,y:545.80,z:-523.40,t:24415
x:-641.80,y:478.20,z:-687.20,t:24419
x:-384.60,y:120.20,z:-602.00,t:24423
x:-26.00,y:192.20,z:-415.20,t:24427
x:5.00,y:114.60,z:49.80,t:24431
x:118.80,y:166.00,z:269.20,t:24434
x:-260.20,y:-95.60,z:602.40,t:24438
x:-193.00,y:-60.20,z:357.80,t:24442
x:-200.00,y:-187.60,z:232.00,t:24446
x:13.00,y:-406.20,z:-29.00,t:24451
x:430.60,y:-650.60,z:-44.80,t:24455
x:753.00,y:-703.20,z:33.60,t:24458
x:461.40,y:-711.00,z:108.60,t:24462
x:-206.80,y:-548.00,z:-92.80,t:24466
x:569.40,y:-757.80,z:399.60,t:24470
x:-212.20,y:-396.40,z:110.00,t:24474
x:-778.80,y:226.40,z:-305.80,t:24478
x:-849.20,y:752.80,z:-680.20,t:24482
x:-468.20,y:845.00,z:-773.80,t:24486
x:-99.60,y:395.80,z:-540.80,t:24489
x:170.20,y:-26.80,z:-30.20,t:24494
x:180.00,y:-167.40,z:444.20,t:24498
x:210.80,y:-95.20,z:397.00,t:24502
x:245.00,y:-268.20,z:546.00,t:24506
x:21.80,y:-367.00,z:476.40,t:24510
x:-43.00,y:-121.40,z:316.20,t:24514
x:182.40,y:-109.60,z:-41.80,t:24517
x:529.80,y:-435.20,z:-79.20,t:24521
x:699.60,y:-474.60,z:-165.60,t:24525
x:249.40,y:-436.40,z:-142.00,t:24529
x:-133.40,y:-371.40,z:-324.40,t:24534
x:-623.00,y:48.00,z:-196.00,t:24538
x:-751.60,y:656.80,z:-225.80,t:24542
x:-320.60,y:1053.80,z:-417.20,t:24546
x:258.80,y:674.00,z:-236.20,t:24550
x:789.80,y:-141.60,z:214.80,t:24553
x:760.40,y:-784.80,z:655.40,t:24557
x:302.60,y:-687.20,z:793.40,t:24561
x:40.20,y:-181.80,z:425.00,t:24565
x:-476.20,y:82.60,z:-67.80,t:24569
x:-506.40,y:189.40,z:-503.60,t:24573
x:-382.00,y:281.20,z:-546.80,t:24578
x:-128.80,y:190.20,z:-695.40,t:24582
x:229.00,y:103.00,z:-370.60,t:24585
x:-26.20,y:-7.20,z:113.00,t:24589
x:-259.20,y:222.80,z:422.80,t:24593
x:-467.00,y:668.20,z:488.40,t:24597
x:-526.40,y:798.80,z:264.60,t:24601
x:-169.80,y:636.60,z:25.20,t:24605
x:178.40,y:436.80,z:-221.20,t:24609
x:-285.80,y:651.20,z:202.00,t:24612
x:207.00,y:700.20,z:-159.40,t:24616
x:809.80,y:-167.00,z:343.20,t:24621
