-x:-432.80,y:-267.40,z:106.00,t:46100
x:72.20,y:-949.20,z:319.40,t:46104
x:776.80,y:-295.80,z:627.00,t:46108
x:700.60,y:137.60,z:598.60,t:46111
x:-333.60,y:-25.60,z:106.20,t:46115
x:-738.20,y:296.80,z:-840.40,t:46119
x:-354.40,y:987.00,z:-1489.00,t:46124
x:56.20,y:1055.60,z:-500.00,t:46128
x:234.20,y:137.40,z:692.20,t:46132
x:-256.80,y:-717.80,z:843.40,t:46136
x:-262.60,y:-1247.60,z:554.60,t:46140
x:336.60,y:-258.40,z:-63.60,t:46144
x:1279.80,y:1226.00,z:-843.40,t:46148
x:758.40,y:1157.80,z:-464.00,t:46152
x:-280.80,y:628.60,z:267.40,t:46156
x:-954.20,y:-584.20,z:386.60,t:46159
x:-764.60,y:-1370.80,z:60.20,t:46163
x:-328.00,y:-1214.00,z:161.60,t:46168
x:188.00,y:-753.20,z:254.20,t:46172
x:343.60,y:307.00,z:138.80,t:46176
x:-143.40,y:1436.80,z:-644.60,t:46180
x:76.40,y:716.20,z:-80.60,t:46184
x:-478.00,y:396.40,z:-673.40,t:46188
x:-265.40,y:-55.40,z:101.80,t:46192
x:56.40,y:-563.80,z:894.20,t:46195
x:768.40,y:-863.40,z:975.40,t:46199
x:365.60,y:-660.40,z:485.40,t:46203
x:-273.40,y:-486.00,z:-60.40,t:46208
x:-173.80,y:457.40,z:-545.00,t:46212
x:-115.80,y:859.80,z:-775.80,t:46216
x:-330.40,y:546.40,z:-101.40,t:46220
x:-755.20,y:-728.20,z:577.00,t:46224
x:-778.60,y:-1265.00,z:525.80,t:46228
x:32.40,y:-67.40,z:6.40,t:46231
x:1010.00,y:1403.80,z:-708.20,t:46235
x:566.60,y:1150.00,z:-344.60,t:46239
x:469.00,y:570.00,z:93.80,t:46243
x:-413.40,y:359.60,z:93.60,t:46247
x:-956.40,y:-567.00,z:110.00,t:46252
x:-400.00,y:-1313.40,z:452.20,t:46256
x:470.40,y:-1372.00,z:433.60,t:46260
x:694.40,y:-618.40,z:587.60,t:46264
x:358.20,y:-202.20,z:343.40,t:46268
x:-408.80,y:366.60,z:-229.00,t:46271
x:-570.00,y:747.20,z:-1153.20,t:46275
x:-316.60,y:755.00,z:-946.00,t:46279
x:-27.20,y:616.20,z:226.40,t:46283
x:111.00,y:-92.00,z:734.40,t:46287
x:8.00,y:-945.20,z:564.60,t:46291
x:107.20,y:-754.20,z:137.80,t:46296
x:1010.60,y:784.40,z:-549.20,t:46300
x:896.40,y:1292.20,z:-509.60,t:46304
x:100.40,y:680.60,z:118.40,t:46307
x:-981.40,y:-527.40,z:417.20,t:46311
x:-945.00,y:-1698.60,z:261.00,t:46315
x:-208.80,y:-1084.60,z:310.40,t:46319
x:307.60,y:-15.60,z:-86.20,t:46323
x:659.80,y:707.40,z:-133.60,t:46327
x:481.80,y:1130.00,z:-198.60,t:46331
x:-200.40,y:1067.40,z:-532.60,t:46336
x:-787.40,y:294.80,z:-679.20,t:46340
x:-321.80,y:-526.40,z:-520.20,t:46344
x:366.00,y:-246.40,z:286.20,t:46348
x:748.40,y:-286.20,z:927.20,t:46352
x:415.00,y:-510.80,z:751.40,t:46355
x:-255.80,y:-274.40,z:226.80,t:46359
x:-344.20,y:438.60,z:-934.00,t:46363
x:-239.00,y:1116.80,z:-1200.80,t:46367
x:-17.60,y:789.00,z:-318.40,t:46371
x:-858.80,y:-301.80,z:758.80,t:46375
x:-1122.40,y:-2160.00,z:1071.80,t:46380
x:-1327.60,y:-1440.40,z:661.80,t:46384
x:-665.20,y:-1895.20,z:520.20,t:46388
x:701.60,y:-158.80,z:-49.00,t:46392
x:847.00,y:1223.20,z:-523.40,t:46396
x:591.80,y:1065.40,z:-360.40,t:46400
x:362.20,y:1444.00,z:-448.00,t:46404
x:31.60,y:915.60,z:-556.60,t:46408
x:-176.60,y:-73.20,z:182.40,t:46412
x:295.60,y:-1152.20,z:541.20,t:46416
x:540.80,y:-1216.00,z:763.20,t:46420
x:515.80,y:-529.40,z:532.80,t:46424
x:-13.20,y:-375.00,z:271.80,t:46428
x:-402.00,y:71.20,z:-378.20,t:46432
x:-466.40,y:663.60,z:-1099.00,t:46436
x:-140.60,y:917.60,z:-647.00,t:46440
x:60.80,y:533.20,z:430.20,t:46444
x:-194.20,y:-465.20,z:801.00,t:46448
x:-69.20,y:-1450.20,z:606.80,t:46452
x:278.00,y:-168.80,z:-91.80,t:46455
x:1150.80,y:1224.20,z:-704.20,t:46459
x:475.60,y:867.20,z:-90.00,t:46464
x:-180.60,y:-35.00,z:380.20,t:46468
x:-769.00,y:-839.40,z:197.60,t:46472
x:-800.60,y:-1033.00,z:-37.20,t:46476
x:-374.20,y:-913.80,z:134.00,t:46480
x:367.20,y:-482.20,z:354.00,t:46484
x:821.80,y:320.80,z:298.40,t:46488
x:84.20,y:989.40,z:-309.00,t:46491
x:-671.80,y:1083.20,z:-1046.00,t:46496
x:-637.20,y:766.60,z:-1024.60,t:46499
x:-464.00,y:444.60,z:-488.00,t:46503
x:15.80,y:-230.40,z:820.40,t:46508
x:567.80,y:-637.40,z:860.60,t:46512
x:217.80,y:-714.20,z:624.20,t:46516
x:-250.20,y:-611.00,z:46.60,t:46520
x:363.60,y:421.00,z:-638.00,t:46524
x:304.00,y:539.20,z:-516.60,t:46528
x:-424.20,y:391.20,z:19.00,t:46531
x:-1236.20,y:-949.80,z:580.20,t:46535
x:-1017.20,y:-2638.00,z:792.20,t:46539
x:314.60,y:-1105.80,z:300.80,t:46543
x:778.20,y:1042.80,z:-473.20,t:46547
x:532.00,y:1282.00,z:-643.00,t:46552
x:664.20,y:1467.80,z:-526.20,t:46556
x:204.60,y:844.80,z:-268.80,t:46560
x:-583.00,y:26.20,z:94.40,t:46564
x:-112.80,y:-995.20,z:314.60,t:46568
x:621.00,y:-1259.60,z:572.40,t:46572
x:615.40,y:-400.60,z:625.60,t:46576
x:144.80,y:-335.40,z:445.40,t:46580
x:-577.00,y:-263.40,z:-137.60,t:46584
x:-794.80,y:287.20,z:-1197.80,t:46588
x:-355.40,y:775.60,z:-891.60,t:46592
x:280.80,y:467.00,z:475.20,t:46596
x:365.60,y:-349.00,z:850.20,t:46600
x:-2.40,y:-979.00,z:628.20,t:46604
x:125.80,y:-772.60,z:169.20,t:46608
x:1098.00,y:1314.40,z:-791.60,t:46612
x:1162.00,y:1763.40,z:-841.60,t:46616
x:-91.60,y:752.60,z:113.20,t:46620
x:-982.20,y:-353.40,z:635.40,t:46624
x:-912.60,y:-1622.80,z:122.80,t:46628
x:-277.80,y:-1222.80,z:186.40,t:46632
x:116.80,y:-629.20,z:380.00,t:46637
x:374.60,y:70.60,z:297.80,t:46640
x:-3.80,y:1506.80,z:-383.80,t:46644
x:-413.80,y:1464.60,z:-1101.20,t:46648
x:-612.80,y:819.40,z:-1068.40,t:46652
x:-600.80,y:798.60,z:-1311.40,t:46656
x:-422.60,y:535.60,z:-860.20,t:46660
x:-108.00,y:137.80,z:92.40,t:46664
x:425.20,y:-493.20,z:1094.80,t:46668
x:473.00,y:-683.60,z:663.80,t:46672
x:-154.60,y:-278.60,z:3.60,t:46676
x:8.00,y:221.80,z:-558.40,t:46680
x:17.60,y:474.20,z:18.60,t:46684
x:-433.60,y:-533.40,z:532.20,t:46688
x:-1027.60,y:-1398.80,z:481.00,t:46692
x:-250.60,y:-774.40,z:351.80,t:46696
x:996.80,y:1102.00,z:-783.80,t:46700
x:911.60,y:1390.80,z:-414.60,t:46704
x:769.80,y:927.40,z:-280.60,t:46708
x:763.80,y:908.60,z:-182.60,t:46712
x:263.60,y:1032.00,z:-345.80,t:46716
x:-391.80,y:457.00,z:-224.80,t:46721
x:-457.80,y:-278.60,z:209.40,t:46724
x:228.20,y:-933.00,z:428.60,t:46728
x:648.00,y:-1029.40,z:818.40,t:46732
x:678.60,y:-863.20,z:486.80,t:46736
x:-151.00,y:-382.00,z:253.40,t:46740
x:-255.60,y:390.20,z:-532.20,t:46744
x:-232.20,y:764.80,z:-1260.00,t:46748
x:-1.80,y:856.20,z:-508.20,t:46752
x:-246.80,y:291.40,z:591.60,t:46756
x:-469.20,y:-558.00,z:742.60,t:46760
x:-276.60,y:-790.00,z:385.60,t:46764
x:250.40,y:442.40,z:-345.00,t:46768
x:1278.20,y:1763.40,z:-844.40,t:46772
x:419.40,y:1262.20,z:-301.80,t:46776
x:-379.00,y:70.60,z:379.60,t:46780
x:-876.40,y:-1060.20,z:279.60,t:46784
x:-633.80,y:-1143.80,z:225.60,t:46788
x:-250.00,y:-1088.00,z:300.20,t:46792
x:358.60,y:-286.40,z:350.60,t:46796
x:617.60,y:812.60,z:140.80,t:46800
x:25.20,y:984.60,z:-248.60,t:46804
x:-801.20,y:312.00,z:-905.00,t:46809
x:-541.00,y:-28.80,z:-825.40,t:46812
x:-46.80,y:94.40,z:53.00,t:46816
x:631.80,y:-422.00,z:837.80,t:46820
x:704.40,y:-872.60,z:903.00,t:46824
x:36.40,y:-577.60,z:495.80,t:46828
x:-262.60,y:309.20,z:-593.20,t:46832
x:53.40,y:1265.20,z:-1097.60,t:46836
x:49.20,y:1205.00,z:-887.20,t:46840
x:-385.20,y:21.40,z:239.00,t:46843
x:-1074.40,y:-1309.00,z:654.20,t:46848
x:-692.20,y:-1763.40,z:455.00,t:46852
x:633.00,y:75.60,z:-20.00,t:46856
x:946.40,y:1502.00,z:-761.80,t:46860
x:521.80,y:1356.00,z:-687.20,t:46864
x:477.00,y:1438.20,z:-390.80,t:46868
x:87.80,y:638.40,z:-217.60,t:46872
x:-297.00,y:-97.40,z:192.00,t:46876
x:170.80,y:-1140.80,z:684.40,t:46880
x:548.40,y:-1107.20,z:749.20,t:46884
x:661.20,y:-412.40,z:617.60,t:46887
x:-284.20,y:-211.40,z:220.60,t:46892
x:-479.00,y:41.20,z:-631.80,t:46896
x:-360.80,y:640.80,z:-1135.00,t:46900
x:-109.00,y:784.20,z:-493.40,t:46904
x:18.80,y:344.60,z:682.60,t:46908
x:-46.40,y:-286.40,z:898.80,t:46912
x:-116.80,y:-831.80,z:313.20,t:46916
x:222.40,y:-303.20,z:-234.80,t:46920
x:1181.20,y:1210.60,z:-784.60,t:46924
x:637.20,y:857.40,z:-183.20,t:46928
x:-214.00,y:21.60,z:362.40,t:46931
x:-987.00,y:-840.00,z:256.40,t:46936
x:-663.40,y:-1017.40,z:-66.60,t:46940
x:-227.60,y:-649.40,z:163.80,t:46944
x:397.80,y:-285.40,z:408.80,t:46948
x:733.40,y:750.20,z:40.00,t:46952
x:94.80,y:1321.40,z:-508.80,t:46956
x:-563.00,y:1036.60,z:-1041.00,t:46960
x:-594.20,y:424.60,z:-676.60,t:46964
x:-278.20,y:170.00,z:50.80,t:46967
x:458.60,y:-628.20,z:884.80,t:46971
x:680.60,y:-885.00,z:720.20,t:46976
x:290.00,y:-809.20,z:216.80,t:46980
x:-175.60,y:0.20,z:-186.80,t:46984
x:-2.00,y:673.80,z:-651.80,t:46988
x:89.00,y:536.20,z:-580.60,t:46992
x:-516.60,y:-887.40,z:846.20,t:46995
x:-302.20,y:-846.40,z:342.60,t:46999
x:669.60,y:740.80,z:-600.20,t:47003
x:1096.00,y:1864.20,z:-836.80,t:47007
x:1091.60,y:1642.00,z:-829.60,t:47011
x:517.40,y:1234.20,z:-467.60,t:47015
x:242.80,y:554.80,z:147.00,t:47020
x:-404.60,y:86.80,z:367.60,t:47024
x:-861.00,y:-385.40,z:-102.20,t:47028
x:-391.80,y:-1120.80,z:359.00,t:47032
x:512.40,y:-922.00,z:251.00,t:47036
x:765.20,y:-238.80,z:605.40,t:47040
x:-29.00,y:234.80,z:415.00,t:47043
x:-719.40,y:51.00,z:-372.80,t:47047
x:-627.00,y:256.60,z:-1179.60,t:47051
x:-201.60,y:615.20,z:-586.00,t:47055
x:511.00,y:6.00,z:693.00,t:47059
x:495.60,y:-847.80,z:1024.40,t:47064
x:176.20,y:-1218.20,z:711.80,t:47068
x:145.60,y:-844.00,z:94.40,t:47072
x:967.20,y:1258.60,z:-781.20,t:47076
x:553.80,y:1783.20,z:-976.60,t:47080
x:-356.60,y:911.20,z:62.20,t:47083
x:-1220.20,y:-803.40,z:809.60,t:47087
x:-1068.40,y:-2138.80,z:461.80,t:47091
x:93.40,y:-901.80,z:179.00,t:47095
x:585.40,y:193.60,z:-24.40,t:47099
x:648.60,y:1046.00,z:-196.20,t:47104
x:269.80,y:1581.00,z:-493.60,t:47108
x:-96.80,y:1511.40,z:-1161.80,t:47112
x:-363.60,y:649.20,z:-450.60,t:47116
x:108.40,y:-440.60,z:315.20,t:47120
x:130.00,y:-959.20,z:944.80,t:47124
x:847.40,y:-770.00,z:864.20,t:47128
x:118.60,y:-419.80,z:278.40,t:47132
x:-347.80,y:-295.80,z:29.80,t:47135
x:-161.20,y:386.80,z:-699.60,t:47139
x:-129.00,y:714.20,z:-825.60,t:47143
x:11.00,y:600.20,z:234.00,t:47148
x:-494.00,y:-380.20,z:740.40,t:47152
x:-446.20,y:-1492.80,z:799.00,t:47156
x:225.60,y:-436.60,z:122.60,t:47160
x:1242.60,y:1192.40,z:-748.80,t:47164
x:627.60,y:1271.40,z:-372.20,t:47168
x:-38.40,y:499.20,z:269.20,t:47172
x:-559.80,y:-339.20,z:314.20,t:47176
x:-864.20,y:-994.60,z:75.40,t:47179
x:-569.40,y:-1231.00,z:129.80,t:47183
x:124.00,y:-1093.60,z:336.40,t:47187
x:693.40,y:-80.80,z:459.20,t:47192
x:61.40,y:828.80,z:-147.60,t:47196
x:-639.20,y:1051.20,z:-983.40,t:47200
x:-632.20,y:894.40,z:-1296.00,t:47204
x:-526.80,y:469.80,z:-510.00,t:47208
x:6.80,y:-147.60,z:793.60,t:47212
x:423.80,y:-609.40,z:785.00,t:47216
x:301.20,y:-965.60,z:490.00,t:47219
x:32.60,y:-789.40,z:177.00,t:47223
x:524.60,y:320.40,z:-448.20,t:47227
x:528.60,y:1003.60,z:-572.80,t:47232
x:-168.60,y:404.80,z:121.40,t:47236
x:-966.80,y:-672.00,z:420.60,t:47240
x:-1012.60,y:-2044.20,z:494.60,t:47244
x:1.40,y:-842.80,z:121.00,t:47248
x:495.80,y:598.60,z:-254.20,t:47252
x:690.60,y:1046.20,z:-344.00,t:47256
