-x:-303.00,y:692.20,z:-465.80,t:103093
x:-236.40,y:449.40,z:-468.00,t:103097
x:-242.80,y:342.00,z:-228.00,t:103101
x:-221.20,y:84.80,z:135.40,t:103105
x:-65.20,y:-145.20,z:374.40,t:103109
x:-57.40,y:-577.20,z:496.00,t:103113
x:-102.60,y:-1114.20,z:470.80,t:103117
x:-16.20,y:-1452.00,z:596.60,t:103121
x:-21.00,y:-1370.60,z:426.20,t:103124
x:15.60,y:-1454.20,z:371.00,t:103129
x:-93.60,y:-1108.00,z:139.80,t:103133
x:265.20,y:-1026.60,z:199.20,t:103137
x:23.20,y:-444.40,z:201.80,t:103141
x:49.20,y:29.40,z:-109.60,t:103145
x:249.80,y:117.80,z:-216.80,t:103149
x:163.60,y:-23.40,z:-137.20,t:103153
x:179.60,y:-539.00,z:22.20,t:103157
x:94.80,y:-444.00,z:-63.80,t:103161
x:-119.40,y:-642.80,z:12.20,t:103164
x:-154.60,y:-550.00,z:-161.80,t:103169
x:-317.60,y:-606.60,z:-173.20,t:103173
x:-368.00,y:-321.40,z:-365.40,t:103177
x:-514.00,y:-213.20,z:-140.60,t:103181
x:-630.20,y:-266.60,z:-139.20,t:103185
x:-618.20,y:-309.80,z:-12.00,t:103189
x:-330.60,y:-602.60,z:304.40,t:103193
x:-414.20,y:198.20,z:-391.40,t:103197
x:-479.20,y:14.60,z:-21.80,t:103201
x:-290.40,y:-1592.60,z:489.20,t:103205
x:-584.20,y:-708.20,z:599.20,t:103209
x:-554.40,y:-665.40,z:677.80,t:103214
x:-534.80,y:-722.40,z:664.20,t:103218
x:-534.60,y:-925.00,z:654.20,t:103222
x:-512.80,y:-842.20,z:385.40,t:103226
x:-566.60,y:-876.00,z:480.00,t:103230
x:-359.60,y:-802.40,z:402.60,t:103233
x:-259.60,y:-592.80,z:307.60,t:103237
x:-181.00,y:-761.00,z:542.20,t:103241
x:-50.20,y:-913.40,z:176.80,t:103245
x:-139.40,y:-1088.20,z:417.40,t:103249
x:129.80,y:-791.00,z:126.60,t:103254
x:82.20,y:-617.20,z:246.40,t:103258
x:-12.20,y:-344.40,z:-45.60,t:103262
x:-248.40,y:58.00,z:-346.00,t:103266
x:-492.40,y:306.80,z:-544.80,t:103270
x:-624.00,y:257.60,z:-579.20,t:103274
x:-578.00,y:262.80,z:-622.00,t:103278
x:-411.80,y:200.60,z:-281.20,t:103282
x:-345.60,y:272.40,z:103.20,t:103285
x:-418.20,y:-71.00,z:399.80,t:103289
x:-369.20,y:13.80,z:466.00,t:103293
x:-450.00,y:225.60,z:445.40,t:103298
x:-589.20,y:-86.40,z:569.20,t:103302
x:-486.60,y:-274.60,z:559.40,t:103306
x:-459.40,y:-102.20,z:506.60,t:103310
x:-553.20,y:-228.60,z:586.20,t:103314
x:-287.40,y:-477.60,z:652.60,t:103318
x:-274.80,y:-574.40,z:569.60,t:103322
x:-246.20,y:-816.00,z:466.80,t:103326
x:55.20,y:762.40,z:329.20,t:103330
x:94.00,y:-991.20,z:233.80,t:103333
x:111.80,y:-857.40,z:294.40,t:103337
x:-35.80,y:-694.00,z:119.20,t:103342
x:8.80,y:-467.60,z:1.00,t:103346
x:-153.60,y:-12.00,z:-164.80,t:103350
x:-299.20,y:253.40,z:-410.80,t:103354
x:-429.20,y:481.00,z:-610.60,t:103358
x:-386.20,y:430.20,z:-581.20,t:103362
x:-356.40,y:510.80,z:-497.80,t:103366
x:-294.00,y:519.60,z:-213.00,t:103370
x:-238.20,y:290.80,z:-1.60,t:103373
x:-139.20,y:269.40,z:252.40,t:103377
x:-317.60,y:-29.00,z:390.60,t:103382
x:-349.80,y:175.40,z:348.20,t:103386
x:-395.40,y:348.00,z:344.60,t:103390
x:-470.80,y:456.20,z:225.00,t:103394
x:28.00,y:1520.00,z:-1034.40,t:103398
x:56.80,y:1506.20,z:-820.00,t:103402
x:-19.40,y:1560.60,z:-764.20,t:103406
x:33.80,y:1329.60,z:-551.80,t:103410
x:76.60,y:1041.60,z:-142.40,t:103414
x:111.40,y:877.00,z:-25.80,t:103418
x:-64.20,y:533.40,z:223.40,t:103422
x:12.20,y:312.40,z:381.40,t:103426
x:176.80,y:128.20,z:395.80,t:103430
x:481.80,y:17.40,z:322.80,t:103434
x:791.00,y:-73.40,z:457.60,t:103438
x:737.60,y:-148.60,z:360.00,t:103442
x:673.60,y:100.60,z:299.80,t:103446
x:581.00,y:569.40,z:101.80,t:103450
x:327.60,y:953.40,z:-226.40,t:103454
x:222.60,y:1390.80,z:-573.00,t:103458
x:105.80,y:1602.20,z:-803.60,t:103462
x:152.00,y:1493.40,z:-1036.60,t:103467
x:238.00,y:1324.60,z:-1117.20,t:103471
