x:502.00,y:296.80,z:-395.60,t:217239
x:32.20,y:566.60,z:-244.80,t:217243
x:-60.20,y:-446.40,z:69.40,t:217247
x:-569.60,y:-286.20,z:280.20,t:217251
x:526.80,y:462.60,z:-129.00,t:217255
x:64.00,y:532.40,z:-214.40,t:217260
x:181.40,y:-512.60,z:215.80,t:217264
x:-83.20,y:333.80,z:32.20,t:217267
x:538.60,y:786.20,z:-540.20,t:217271
x:-199.40,y:767.40,z:-368.20,t:217275
x:322.80,y:-354.60,z:190.00,t:217279
x:-444.00,y:704.20,z:-138.80,t:217283
x:338.60,y:148.20,z:-108.00,t:217287
x:-526.20,y:57.80,z:-0.20,t:217291
x:821.00,y:50.80,z:-229.00,t:217295
x:-218.00,y:-217.80,z:214.40,t:217299
x:615.00,y:234.40,z:-174.60,t:217304
x:-673.40,y:-564.00,z:434.00,t:217308
x:652.80,y:457.00,z:-287.80,t:217312
x:-682.40,y:-578.40,z:391.40,t:217315
x:530.60,y:444.60,z:-317.40,t:217319
x:-938.60,y:-298.00,z:579.40,t:217323
x:690.00,y:1005.80,z:-854.40,t:217327
x:-760.80,y:-922.00,z:630.80,t:217331
x:569.20,y:639.20,z:-119.00,t:217335
x:-672.00,y:-320.80,z:-130.80,t:217339
x:-166.80,y:362.40,z:-238.60,t:217344
x:47.20,y:-663.00,z:-162.40,t:217348
x:-101.20,y:361.60,z:355.00,t:217352
x:406.60,y:-151.40,z:-248.60,t:217356
x:-494.00,y:456.40,z:513.00,t:217360
x:247.80,y:747.20,z:-376.20,t:217364
x:-540.20,y:-22.00,z:203.80,t:217368
x:784.20,y:-163.00,z:-219.20,t:217372
x:-743.00,y:-506.60,z:198.00,t:217376
x:827.40,y:28.20,z:-354.40,t:217379
x:-953.80,y:-737.40,z:480.20,t:217383
x:1309.60,y:159.00,z:-137.20,t:217388
x:586.60,y:1082.40,z:-408.00,t:217392
x:-158.80,y:-386.00,z:67.60,t:217396
x:-65.60,y:777.00,z:-384.20,t:217400
x:260.60,y:-574.40,z:184.80,t:217404
x:-423.80,y:268.00,z:-189.40,t:217408
x:456.20,y:-303.40,z:163.20,t:217412
x:-501.00,y:-85.80,z:126.00,t:217416
x:637.20,y:235.00,z:-178.20,t:217420
x:-612.20,y:-319.20,z:343.40,t:217424
x:801.00,y:419.80,z:-374.00,t:217428
x:-441.20,y:-357.00,z:272.20,t:217433
x:691.00,y:387.40,z:-326.80,t:217437
x:-865.40,y:-483.40,z:321.80,t:217441
x:758.20,y:698.40,z:-629.40,t:217445
x:-755.60,y:-585.80,z:533.60,t:217448
x:812.20,y:539.60,z:-663.40,t:217452
x:-478.60,y:-640.80,z:445.60,t:217456
x:466.60,y:571.40,z:-418.80,t:217460
x:-226.20,y:-515.60,z:380.20,t:217464
x:70.40,y:375.20,z:-295.80,t:217468
x:93.00,y:-691.80,z:231.00,t:217473
x:9.80,y:146.80,z:46.40,t:217477
x:225.40,y:-289.00,z:44.80,t:217481
x:-351.60,y:314.40,z:102.40,t:217485
x:255.00,y:-136.20,z:-118.60,t:217489
x:-269.00,y:122.20,z:171.00,t:217492
x:351.20,y:-9.40,z:-114.80,t:217496
x:-495.00,y:137.60,z:191.60,t:217500
x:352.60,y:72.40,z:-134.00,t:217504
x:-502.00,y:-23.60,z:288.20,t:217508
x:434.00,y:62.60,z:-176.40,t:217512
x:-508.20,y:-95.00,z:247.60,t:217517
x:532.60,y:205.00,z:-217.20,t:217521
x:-454.80,y:-90.20,z:198.20,t:217525
x:541.00,y:296.60,z:-240.40,t:217529
x:-677.80,y:-380.80,z:322.80,t:217532
x:426.40,y:460.40,z:-429.60,t:217536
x:-692.80,y:-349.80,z:418.60,t:217540
x:939.20,y:984.60,z:-509.80,t:217544
x:-324.00,y:-559.60,z:326.40,t:217548
x:122.40,y:281.60,z:-361.80,t:217552
x:-370.60,y:-432.80,z:125.20,t:217556
x:54.60,y:797.20,z:-359.60,t:217561
x:-392.20,y:-771.60,z:267.00,t:217565
x:359.20,y:196.00,z:-250.20,t:217569
x:-610.40,y:211.20,z:196.20,t:217573
x:658.20,y:244.40,z:-370.40,t:217577
x:-667.80,y:-350.80,z:340.00,t:217581
x:395.00,y:566.20,z:-396.40,t:217585
x:-549.60,y:-210.20,z:307.60,t:217589
x:465.00,y:543.40,z:-431.20,t:217593
x:-564.80,y:-444.20,z:254.40,t:217597
x:445.20,y:674.20,z:-490.00,t:217601
x:-383.80,y:-538.80,z:313.40,t:217605
x:455.20,y:475.40,z:-291.60,t:217609
x:-251.20,y:-807.60,z:255.00,t:217613
x:313.60,y:331.60,z:-210.80,t:217617
x:-106.20,y:-704.40,z:228.40,t:217621
x:256.00,y:558.20,z:-55.80,t:217625
x:109.60,y:-489.00,z:226.20,t:217629
x:147.80,y:311.00,z:0.20,t:217633
x:108.80,y:-496.60,z:494.80,t:217637
x:-263.40,y:239.80,z:-28.40,t:217641
x:353.00,y:105.00,z:-195.60,t:217646
x:-705.40,y:-296.00,z:183.80,t:217649
x:611.60,y:245.40,z:-495.00,t:217653
x:-742.20,y:-617.20,z:393.40,t:217657
x:999.80,y:-57.60,z:-479.80,t:217661
x:-694.40,y:-618.20,z:685.00,t:217665
x:490.80,y:965.00,z:-479.80,t:217669
x:-221.20,y:-522.40,z:435.00,t:217673
x:373.00,y:266.40,z:-87.60,t:217677
x:-68.20,y:-624.80,z:71.40,t:217681
x:-199.80,y:170.40,z:-62.80,t:217686
x:364.20,y:-4.80,z:-143.40,t:217690
x:-580.60,y:-327.00,z:239.80,t:217693
x:351.40,y:444.00,z:-238.60,t:217697
x:-528.60,y:-364.20,z:436.60,t:217701
x:626.80,y:501.80,z:-301.40,t:217705
x:-855.00,y:-288.80,z:537.00,t:217709
x:429.80,y:572.80,z:-399.80,t:217713
x:-532.60,y:-807.20,z:355.40,t:217717
x:299.60,y:-731.20,z:188.00,t:217721
x:-322.60,y:76.80,z:-39.40,t:217725
x:151.80,y:404.80,z:-405.40,t:217730
x:-645.00,y:-27.20,z:56.40,t:217734
x:-197.40,y:96.60,z:32.80,t:217737
x:364.40,y:-334.20,z:160.80,t:217741
x:-592.80,y:228.60,z:-45.20,t:217745
x:759.20,y:271.80,z:-52.40,t:217749
x:-653.40,y:-526.80,z:335.80,t:217753
x:456.80,y:471.20,z:-285.20,t:217757
x:-546.20,y:-610.80,z:202.00,t:217761
x:409.80,y:385.60,z:-184.60,t:217765
x:-232.20,y:319.80,z:180.40,t:217769
x:80.20,y:-193.20,z:-89.80,t:217774
x:-51.00,y:-645.80,z:212.80,t:217778
x:105.20,y:258.20,z:-59.40,t:217781
x:360.00,y:-291.40,z:94.40,t:217785
x:-318.00,y:-83.20,z:219.40,t:217789
x:434.20,y:-12.00,z:-99.40,t:217793
x:-426.20,y:-224.40,z:287.20,t:217797
x:586.80,y:247.40,z:-172.20,t:217801
x:-731.00,y:-366.20,z:250.60,t:217805
x:487.00,y:532.40,z:-243.60,t:217809
x:330.00,y:596.00,z:-312.60,t:217814
x:-139.80,y:-530.20,z:182.40,t:217818
x:230.60,y:254.40,z:-117.20,t:217822
x:220.20,y:-519.60,z:152.00,t:217826
x:-84.40,y:329.80,z:-43.20,t:217829
x:192.20,y:-146.40,z:-76.80,t:217833
x:-365.20,y:184.60,z:82.20,t:217837
x:408.80,y:-78.20,z:-51.00,t:217841
x:-41.80,y:-299.40,z:41.40,t:217845
x:-236.00,y:560.00,z:-79.40,t:217849
x:112.80,y:-381.40,z:10.60,t:217853
x:-389.40,y:326.00,z:-28.40,t:217857
x:530.40,y:85.60,z:-118.20,t:217861
x:-448.40,y:290.00,z:69.20,t:217865
x:636.40,y:-123.20,z:-98.80,t:217869
x:-789.80,y:-516.00,z:137.00,t:217873
x:584.00,y:309.20,z:-259.00,t:217877
x:-618.60,y:-356.20,z:211.40,t:217881
x:529.00,y:628.80,z:-251.80,t:217885
x:-544.60,y:-419.80,z:267.20,t:217889
x:527.60,y:597.00,z:-183.60,t:217893
x:-215.40,y:-502.20,z:167.00,t:217897
x:366.00,y:-61.20,z:-58.20,t:217901
x:72.20,y:-479.40,z:83.20,t:217905
x:-137.60,y:232.00,z:-59.00,t:217909
x:199.60,y:-53.60,z:-30.40,t:217913
x:-404.60,y:269.20,z:8.20,t:217917
x:319.60,y:-9.20,z:-74.00,t:217920
x:-375.40,y:82.20,z:51.60,t:217924
x:514.00,y:142.80,z:-167.40,t:217928
x:-645.00,y:-438.60,z:236.40,t:217932
x:711.80,y:399.80,z:-265.00,t:217936
x:-683.40,y:-547.40,z:247.80,t:217940
x:509.60,y:650.80,z:-416.40,t:217945
x:-462.40,y:-762.20,z:393.80,t:217949
x:605.40,y:441.80,z:-150.20,t:217953
x:-213.00,y:-563.80,z:384.80,t:217957
x:58.40,y:536.80,z:-282.80,t:217961
x:-193.80,y:-328.00,z:122.60,t:217965
x:-613.00,y:220.80,z:-60.20,t:217969
x:359.40,y:42.60,z:-261.40,t:217972
x:-650.40,y:-71.80,z:363.80,t:217976
x:665.20,y:389.20,z:-479.60,t:217980
x:-793.80,y:-382.20,z:782.40,t:217985
x:835.80,y:376.80,z:-498.80,t:217989
x:-553.20,y:-651.20,z:516.20,t:217993
x:621.20,y:331.20,z:-462.80,t:217997
x:-569.40,y:-697.40,z:499.20,t:218001
x:-143.60,y:-304.60,z:-183.00,t:218005
x:-570.40,y:76.80,z:235.20,t:218009
x:493.60,y:176.00,z:-157.80,t:218013
yy:336.80,z:-5.00,t:221202
x:330.20,y:581.20,z:-523.80,t:221206
x:-384.00,y:136.00,z:191.00,t:221210
x:328.00,y:-175.00,z:-96.80,t:221214
x:-382.40,y:280.20,z:139.80,t:221218
x:482.20,y:-244.20,z:-117.80,t:221222
x:-371.80,y:149.40,z:250.20,t:221227
x:562.40,y:-54.40,z:-170.20,t:221231
x:-658.60,y:-70.80,z:336.20,t:221234
x:645.40,y:-12.80,z:-185.20,t:221238
x:-644.00,y:-29.20,z:407.60,t:221242
x:690.80,y:103.40,z:-498.20,t:221246
x:-677.00,y:-190.20,z:563.00,t:221250
x:879.40,y:421.40,z:-466.20,t:221254
x:-909.80,y:-379.60,z:661.60,t:221258
x:687.60,y:610.40,z:-758.00,t:221262
x:-805.80,y:-440.00,z:595.40,t:221266
x:912.20,y:535.00,z:-671.20,t:221271
x:-876.60,y:-328.60,z:739.60,t:221275
x:958.40,y:424.20,z:-676.20,t:221279
x:-843.20,y:-873.60,z:847.00,t:221283
x:737.80,y:896.80,z:-679.00,t:221287
x:-831.00,y:-362.20,z:555.00,t:221291
x:478.00,y:549.20,z:-494.60,t:221295
x:-723.40,y:-615.00,z:228.80,t:221298
x:425.80,y:348.40,z:-156.00,t:221302
x:-468.20,y:-679.20,z:170.00,t:221306
x:-245.40,y:496.80,z:105.60,t:221310
x:140.80,y:-165.20,z:-286.00,t:221315
x:-215.40,y:84.00,z:375.60,t:221319
x:652.80,y:98.20,z:-373.60,t:221323
x:-775.60,y:-166.80,z:636.40,t:221327
x:1127.00,y:423.60,z:-464.80,t:221331
x:783.40,y:1179.60,z:-752.80,t:221335
x:-781.80,y:-496.00,z:170.00,t:221339
x:230.60,y:588.60,z:-334.60,t:221343
x:182.40,y:-291.00,z:-389.20,t:221347
x:-382.80,y:147.80,z:292.40,t:221351
x:463.60,y:492.40,z:-327.40,t:221356
x:-575.80,y:-63.20,z:478.40,t:221360
x:448.20,y:453.40,z:-210.60,t:221363
x:-687.60,y:-364.40,z:255.80,t:221367
x:597.00,y:454.40,z:-403.40,t:221371
x:-326.80,y:-561.40,z:220.60,t:221375
x:529.00,y:668.40,z:-254.60,t:221379
x:-544.40,y:-894.40,z:311.00,t:221383
x:293.20,y:760.60,z:-363.60,t:221387
x:-58.60,y:-625.20,z:333.20,t:221391
x:-105.20,y:810.20,z:-409.80,t:221395
x:238.40,y:-119.00,z:119.00,t:221400
x:-635.20,y:207.00,z:-163.00,t:221404
x:646.60,y:191.00,z:-72.40,t:221408
x:-746.20,y:-325.20,z:258.00,t:221412
x:599.60,y:588.00,z:-334.80,t:221416
x:-453.20,y:-423.80,z:174.80,t:221420
x:535.80,y:512.20,z:-271.20,t:221424
x:-458.60,y:-493.20,z:185.60,t:221428
x:111.20,y:-158.80,z:-94.20,t:221431
x:-528.20,y:126.80,z:158.00,t:221435
x:466.40,y:-33.20,z:-36.20,t:221440
x:33.80,y:-390.20,z:266.80,t:221444
x:-521.80,y:349.20,z:-68.80,t:221448
x:350.20,y:-73.00,z:-97.40,t:221452
x:-500.40,y:118.00,z:235.00,t:221456
x:642.00,y:68.60,z:-211.60,t:221460
x:-783.60,y:-327.00,z:504.80,t:221463
x:521.40,y:352.20,z:-398.80,t:221467
x:-667.60,y:-518.20,z:468.00,t:221471
x:-155.20,y:-640.20,z:294.60,t:221475
x:48.60,y:440.20,z:-229.40,t:221479
x:-145.60,y:-319.40,z:83.40,t:221484
x:-121.20,y:588.60,z:-67.00,t:221488
x:112.00,y:-481.20,z:15.20,t:221492
x:-281.00,y:-490.60,z:201.20,t:221496
x:363.80,y:-3.20,z:-66.20,t:221500
x:41.40,y:-351.00,z:105.40,t:221503
x:44.60,y:408.40,z:-76.40,t:221507
x:196.00,y:-460.80,z:110.20,t:221511
x:-272.00,y:144.40,z:6.20,t:221515
x:472.60,y:-481.00,z:177.20,t:221519
x:-118.60,y:68.40,z:-29.60,t:221523
x:313.00,y:-364.60,z:104.40,t:221528
x:-553.60,y:5.40,z:143.40,t:221532
x:481.80,y:149.40,z:-177.80,t:221535
x:-504.00,y:28.00,z:81.20,t:221539
x:687.40,y:447.00,z:23.40,t:221543
x:-699.00,y:-537.60,z:253.00,t:221547
x:440.40,y:575.20,z:-431.20,t:221551
x:-667.00,y:-393.40,z:164.00,t:221555
x:525.80,y:327.40,z:-256.00,t:221559
x:-255.60,y:-637.40,z:284.00,t:221563
x:316.20,y:407.20,z:-185.80,t:221568
x:-31.40,y:-390.60,z:164.80,t:221572
x:-68.60,y:334.20,z:1.60,t:221575
x:-79.20,y:-197.40,z:163.00,t:221579
x:-265.40,y:280.80,z:-12.80,t:221583
x:437.20,y:42.60,z:-143.80,t:221587
x:-514.00,y:29.80,z:273.80,t:221591
x:412.60,y:190.80,z:-208.00,t:221595
x:-503.20,y:-337.20,z:271.00,t:221599
x:527.60,y:333.60,z:-264.80,t:221603
x:-738.20,y:-280.00,z:420.00,t:221607
x:154.00,y:622.00,z:-473.40,t:221612
x:-603.80,y:-552.40,z:279.80,t:221616
x:512.80,y:380.80,z:-282.60,t:221619
x:-287.20,y:-536.40,z:358.60,t:221623
x:299.20,y:547.60,z:-264.20,t:221627
x:-222.40,y:-570.20,z:269.60,t:221631
x:315.80,y:161.00,z:-127.00,t:221635
x:-683.40,y:-9.80,z:17.60,t:221639
x:-329.60,y:198.40,z:-314.60,t:221643
x:164.80,y:-431.60,z:-162.20,t:221647
x:820.20,y:591.60,z:-654.60,t:221651
