-x:-95.80,y:-908.80,z:387.00,t:16047
x:-562.80,y:-86.20,z:-169.60,t:16050
x:-793.20,y:593.80,z:-518.80,t:16054
x:-537.20,y:938.60,z:-704.00,t:16058
x:-113.20,y:695.60,z:-736.20,t:16062
x:368.60,y:-4.60,z:-109.80,t:16066
x:319.80,y:-437.20,z:431.80,t:16070
x:157.80,y:-348.20,z:615.80,t:16074
x:298.40,y:-301.80,z:418.20,t:16078
x:4.00,y:-263.80,z:408.40,t:16081
x:-129.40,y:-27.00,z:280.60,t:16086
x:178.80,y:118.40,z:-120.00,t:16090
x:450.60,y:-188.20,z:-239.00,t:16094
x:581.60,y:-495.40,z:-125.20,t:16098
x:329.60,y:-637.80,z:-69.80,t:16102
x:-55.20,y:-625.00,z:-81.60,t:16106
x:-440.00,y:-216.40,z:-149.20,t:16110
x:-693.60,y:534.80,z:-213.60,t:16113
x:-483.80,y:862.00,z:-303.60,t:16117
x:121.00,y:895.00,z:-342.20,t:16121
x:676.80,y:14.80,z:185.40,t:16125
x:777.20,y:-716.00,z:555.40,t:16130
x:560.20,y:-655.40,z:789.00,t:16134
x:-39.00,y:-193.40,z:440.80,t:16138
x:-366.80,y:389.00,z:-240.20,t:16142
x:-401.80,y:428.40,z:-753.80,t:16145
x:-417.60,y:40.80,z:-620.20,t:16149
x:-227.60,y:25.40,z:-499.20,t:16153
x:-33.40,y:103.00,z:-408.60,t:16157
x:79.20,y:45.00,z:151.20,t:16161
x:356.40,y:-177.80,z:-596.80,t:16165
x:198.80,y:-54.00,z:-400.80,t:16168
x:-270.80,y:334.60,z:-170.80,t:16173
x:-664.60,y:713.80,z:38.80,t:16177
x:-687.00,y:886.80,z:269.80,t:16181
x:-361.80,y:885.20,z:237.20,t:16185
x:102.80,y:523.40,z:18.20,t:16189
x:702.00,y:-238.80,z:240.60,t:16193
x:722.40,y:-941.00,z:725.80,t:16197
x:454.00,y:-596.80,z:430.80,t:16200
x:-121.40,y:-53.60,z:44.40,t:16204
x:-547.60,y:514.60,z:-312.00,t:16208
x:-607.60,y:690.20,z:-664.80,t:16212
x:-238.00,y:469.00,z:-704.00,t:16217
x:-117.40,y:81.60,z:-174.60,t:16221
x:-43.40,y:-34.40,z:66.40,t:16224
x:145.00,y:-20.80,z:276.20,t:16228
x:178.20,y:-293.20,z:448.40,t:16232
x:-143.20,y:-319.40,z:530.60,t:16236
x:-307.60,y:12.80,z:288.40,t:16240
x:-85.20,y:-57.80,z:-36.20,t:16244
x:-454.40,y:608.80,z:519.60,t:16247
x:-287.00,y:392.40,z:293.80,t:16251
x:41.80,y:260.00,z:-83.40,t:16256
x:439.00,y:-116.80,z:-168.80,t:16260
x:775.40,y:-572.80,z:115.40,t:16264
x:470.00,y:-927.80,z:339.00,t:16268
x:-275.00,y:-667.00,z:142.20,t:16272
x:-751.80,y:224.20,z:-391.20,t:16276
x:-815.40,y:864.00,z:-656.80,t:16280
x:-328.20,y:898.00,z:-730.00,t:16283
x:331.00,y:254.00,z:-408.60,t:16287
x:461.00,y:-323.60,z:291.80,t:16291
x:338.60,y:-479.80,z:663.20,t:16295
x:170.40,y:-280.00,z:499.40,t:16300
x:191.80,y:-167.80,z:294.60,t:16304
x:-82.80,y:-22.60,z:318.60,t:16308
x:-34.60,y:86.00,z:39.20,t:16311
x:331.80,y:3.00,z:-285.00,t:16315
x:572.40,y:-377.60,z:-247.80,t:16319
x:463.00,y:-650.40,z:-91.80,t:16323
x:82.80,y:-619.60,z:-112.40,t:16327
x:-246.80,y:-315.20,z:-171.20,t:16331
x:-598.40,y:176.80,z:-18.80,t:16334
x:-713.40,y:659.00,z:-24.80,t:16338
x:-519.20,y:61.60,z:-341.20,t:16343
x:-765.00,y:873.00,z:-462.00,t:16347
x:-150.40,y:768.00,z:-616.00,t:16351
x:220.60,y:346.60,z:-248.80,t:16355
x:388.40,y:-436.80,z:329.20,t:16359
x:340.60,y:-610.00,z:662.80,t:16363
x:415.00,y:-613.80,z:638.60,t:16366
x:168.40,y:-226.60,z:504.00,t:16370
x:-46.60,y:-68.60,z:144.80,t:16374
x:-385.60,y:-134.20,z:-256.00,t:16378
x:-374.40,y:89.60,z:-602.60,t:16382
x:45.80,y:-37.20,z:-698.80,t:16387
x:269.00,y:-59.00,z:-484.00,t:16391
x:-182.40,y:164.00,z:-241.80,t:16394
x:-545.40,y:427.40,z:-119.40,t:16398
x:-607.40,y:628.00,z:229.80,t:16402
x:-432.20,y:824.00,z:302.60,t:16406
x:-249.60,y:803.00,z:198.60,t:16410
x:284.80,y:491.20,z:-43.60,t:16414
x:819.20,y:-203.80,z:344.40,t:16418
