-x:-410.40,y:-674.20,z:123.20,t:237762
x:570.20,y:126.80,z:-308.00,t:237766
x:-345.00,y:75.80,z:514.40,t:237770
x:585.00,y:162.80,z:-231.80,t:237774
x:-907.40,y:109.00,z:720.80,t:237778
x:811.60,y:436.60,z:-546.60,t:237783
x:-675.20,y:-376.80,z:404.80,t:237787
x:487.40,y:118.20,z:-714.80,t:237791
x:-768.80,y:-817.20,z:662.60,t:237795
x:631.60,y:659.00,z:-441.20,t:237799
x:-266.40,y:-287.20,z:392.60,t:237803
x:512.40,y:364.60,z:-224.00,t:237807
x:-267.20,y:-518.40,z:301.40,t:237811
x:219.00,y:621.60,z:-494.20,t:237814
x:-568.20,y:-530.00,z:490.60,t:237818
x:361.60,y:566.60,z:-445.20,t:237822
x:-355.20,y:-598.60,z:385.20,t:237827
x:273.20,y:420.00,z:-158.80,t:237831
x:-361.00,y:-623.60,z:115.60,t:237835
x:447.20,y:899.20,z:-443.40,t:237839
x:-50.60,y:-842.40,z:386.20,t:237843
x:217.00,y:808.00,z:-475.60,t:237847
x:-45.40,y:-731.60,z:316.60,t:237851
x:6.80,y:840.00,z:-401.40,t:237855
x:71.40,y:-630.20,z:188.20,t:237859
x:-13.00,y:544.40,z:-184.00,t:237862
x:157.00,y:-446.40,z:112.40,t:237867
x:-409.40,y:229.40,z:154.40,t:237871
x:199.00,y:-343.00,z:-75.60,t:237875
x:-190.00,y:384.20,z:98.20,t:237879
x:295.80,y:-446.00,z:4.80,t:237883
x:-321.60,y:18.20,z:177.60,t:237887
x:402.80,y:-191.40,z:-29.60,t:237891
x:-95.20,y:115.20,z:120.20,t:237895
x:448.40,y:-223.00,z:-112.80,t:237898
x:-391.40,y:-61.80,z:348.80,t:237902
x:296.00,y:116.80,z:-270.20,t:237906
x:-431.40,y:98.00,z:274.20,t:237911
x:558.20,y:-143.60,z:-198.60,t:237915
x:-570.20,y:-100.80,z:315.60,t:237919
x:409.60,y:213.20,z:-283.40,t:237923
x:-433.80,y:182.40,z:207.20,t:237927
x:602.00,y:-61.80,z:-257.40,t:237931
