-x:-51.60,y:614.00,z:-309.60,t:207672
x:181.80,y:-216.80,z:127.40,t:207676
x:-158.40,y:387.60,z:-61.60,t:207680
x:244.00,y:-392.00,z:-16.40,t:207684
x:-268.20,y:61.40,z:218.80,t:207688
x:267.40,y:10.00,z:-81.40,t:207692
x:-311.20,y:0.60,z:244.60,t:207695
x:273.20,y:-409.80,z:-228.20,t:207699
x:-381.60,y:-89.80,z:441.60,t:207704
x:397.20,y:142.80,z:-250.80,t:207708
x:-524.40,y:47.40,z:201.60,t:207712
x:701.60,y:-24.80,z:-276.40,t:207716
x:-355.40,y:-483.00,z:380.00,t:207720
x:317.80,y:58.00,z:-371.00,t:207724
x:-493.60,y:-315.40,z:414.20,t:207728
x:255.60,y:399.60,z:-517.60,t:207732
x:-629.80,y:-170.20,z:328.40,t:207736
x:559.40,y:486.00,z:-466.60,t:207739
x:-370.40,y:-378.80,z:365.00,t:207744
x:348.20,y:351.40,z:-283.40,t:207748
x:-375.60,y:-476.60,z:293.60,t:207752
x:124.00,y:431.60,z:-524.60,t:207756
x:-488.00,y:-543.40,z:393.80,t:207760
x:469.60,y:385.00,z:-235.60,t:207764
x:-458.00,y:-459.40,z:340.60,t:207768
x:249.40,y:495.80,z:-167.40,t:207772
x:-159.00,y:-389.40,z:272.60,t:207776
x:68.40,y:-149.00,z:-115.20,t:207780
x:-319.20,y:260.80,z:162.00,t:207784
x:329.60,y:-357.40,z:-63.60,t:207789
x:-238.00,y:208.20,z:60.60,t:207793
x:62.20,y:451.60,z:-117.60,t:207796
x:171.00,y:-333.60,z:202.40,t:207800
x:237.00,y:109.00,z:-448.00,t:207804
x:-410.40,y:47.40,z:313.20,t:207808
x:537.00,y:-230.40,z:-133.40,t:207812
x:-403.40,y:30.40,z:300.60,t:207816
x:421.60,y:158.20,z:-329.60,t:207820
x:-374.00,y:-12.40,z:247.60,t:207824
x:600.80,y:5.60,z:-294.80,t:207828
x:30.40,y:-211.00,z:-145.20,t:207833
x:-343.80,y:376.40,z:30.00,t:207836
x:445.80,y:-333.60,z:-67.20,t:207840
x:-206.60,y:362.60,z:282.80,t:207844
x:212.60,y:64.20,z:-299.60,t:207848
x:-316.40,y:38.40,z:56.00,t:207852
x:482.00,y:-287.00,z:-103.60,t:207856
x:-428.40,y:-67.20,z:440.80,t:207860
x:347.40,y:17.40,z:-455.60,t:207864
x:-464.20,y:-150.60,z:369.40,t:207868
x:573.80,y:-11.80,z:-311.80,t:207872
x:-409.60,y:-81.20,z:347.80,t:207876
x:370.40,y:254.80,z:-489.80,t:207880
x:-445.00,y:22.20,z:290.40,t:207884
x:595.60,y:294.40,z:-306.60,t:207888
x:-523.60,y:-128.00,z:357.80,t:207892
x:538.80,y:154.00,z:-404.60,t:207896
x:379.40,y:337.40,z:-389.20,t:207900
x:-340.20,y:-352.20,z:442.80,t:207904
x:269.40,y:496.40,z:-290.00,t:207908
x:-366.00,y:-419.80,z:172.80,t:207912
x:670.40,y:371.40,z:-378.20,t:207917
x:-213.40,y:-442.60,z:380.00,t:207921
x:209.60,y:832.20,z:-305.40,t:207925
