-x:250.20,y:1617.60,z:-234.20,t:131474
x:355.00,y:888.00,z:-198.60,t:131971

x:-237.80,y:-398.80,z:-212.60,t:131975

x:36.60,y:-111.20,z:132.20,t:131979

x:272.20,y:-84.20,z:-87.60,t:131983

x:-724.60,y:184.80,z:244.00,t:131987

x:440.60,y:91.20,z:-516.60,t:131991

x:-482.20,y:-249.00,z:339.00,t:131995

x:139.40,y:718.80,z:-149.20,t:131999

x:186.20,y:-181.80,z:43.40,t:132003

x:-65.20,y:154.60,z:22.40,t:132006

x:-37.60,y:725.20,z:-222.40,t:132011

x:3.40,y:-1336.80,z:-8.80,t:132015

x:45.00,y:431.60,z:549.60,t:132019

x:-449.20,y:1071.20,z:-1021.00,t:132023

x:-264.20,y:-1551.60,z:289.60,t:132027

x:580.80,y:1283.40,z:355.00,t:132031

x:145.40,y:56.40,z:-709.20,t:132035

x:-139.40,y:-1049.80,z:840.00,t:132039

x:395.80,y:748.20,z:-190.80,t:132043

x:-447.80,y:-550.60,z:38.80,t:132047

x:231.20,y:160.40,z:-2.20,t:132051

x:235.80,y:-2.20,z:-194.20,t:132055

x:-505.40,y:237.80,z:290.80,t:132059

x:495.00,y:-212.80,z:-378.60,t:132063

x:-291.20,y:-278.00,z:293.80,t:132067

x:0.40,y:564.80,z:-134.20,t:132071

x:-21.60,y:-259.00,z:-151.20,t:132075

x:-215.00,y:-64.40,z:149.80,t:132079

x:402.00,y:774.00,z:-197.00,t:132083

x:-211.00,y:-1192.60,z:17.00,t:132087

x:-138.40,y:226.60,z:734.80,t:132091

x:813.20,y:417.20,z:-550.80,t:132096

x:-108.80,y:-1552.80,z:437.00,t:132100

x:180.20,y:788.20,z:314.60,t:132104

x:-89.00,y:-333.00,z:-536.40,t:132107

x:-273.00,y:-804.40,z:830.20,t:132111

x:259.40,y:851.20,z:-276.20,t:132115

x:-527.80,y:-150.60,z:1.80,t:132119

x:274.60,y:154.00,z:-70.80,t:132123

x:119.20,y:-328.40,z:74.20,t:132127

x:-332.00,y:287.00,z:263.20,t:132131

x:301.20,y:-294.00,z:-284.60,t:132135

x:-249.00,y:-453.60,z:358.60,t:132140

x:61.20,y:627.20,z:-74.80,t:132144

x:-168.40,y:-176.80,z:-266.20,t:132147

x:-498.00,y:21.60,z:208.00,t:132151

x:676.00,y:788.40,z:-361.00,t:132155

x:-431.80,y:-1464.20,z:-6.00,t:132159

x:-336.00,y:-153.80,z:1081.80,t:132163

x:794.00,y:659.20,z:-526.40,t:132167

x:-385.00,y:-1313.60,z:504.20,t:132171

x:-110.00,y:-77.00,z:-368.00,t:132175

x:-393.00,y:-870.40,z:452.40,t:132179

x:409.60,y:899.20,z:-123.80,t:132184

x:-615.40,y:-279.60,z:126.60,t:132188

x:154.60,y:244.40,z:-44.20,t:132192

x:200.40,y:-169.20,z:-154.00,t:132196

x:-478.40,y:400.40,z:305.00,t:132200

x:378.20,y:-203.40,z:-320.60,t:132204

x:-187.40,y:-295.40,z:197.40,t:132207

x:-3.40,y:402.60,z:60.60,t:132211

x:-77.20,y:-277.60,z:-286.00,t:132215

x:-335.80,y:-367.00,z:373.00,t:132219

x:469.60,y:735.80,z:-323.00,t:132224

x:-117.20,y:-1248.40,z:-2.40,t:132228

x:-258.80,y:-161.40,z:863.80,t:132232

