-x:112.80,y:60.40,z:-9.00,t:111532
x:61.20,y:66.80,z:34.40,t:111536
x:-109.60,y:3.60,z:16.80,t:111540
x:-88.00,y:-66.20,z:15.00,t:111544
x:99.20,y:52.20,z:-48.00,t:111547
x:70.00,y:1.20,z:43.80,t:111551
x:-114.80,y:-35.00,z:13.20,t:111555
x:-47.20,y:-62.00,z:-8.20,t:111559
x:69.00,y:56.60,z:-43.60,t:111562
x:116.40,y:-23.20,z:23.80,t:111566
x:-94.60,y:12.20,z:-5.80,t:111570
x:-88.00,y:-33.00,z:23.00,t:111575
x:92.40,y:85.40,z:-29.80,t:111578
x:75.00,y:-19.80,z:15.60,t:111582
x:-121.60,y:-75.40,z:15.60,t:111586
x:-77.00,y:-73.00,z:50.00,t:111590
x:62.20,y:48.40,z:-76.20,t:111593
x:85.20,y:-19.80,z:19.80,t:111597
x:-93.80,y:-39.80,z:4.00,t:111601
x:-50.40,y:-101.00,z:38.60,t:111605
x:63.20,y:67.00,z:-26.20,t:111608
x:82.80,y:0.80,z:12.20,t:111612
x:-61.60,y:-48.40,z:-3.20,t:111617
x:-54.60,y:-108.60,z:40.20,t:111621
x:45.40,y:89.20,z:-23.40,t:111624
x:33.60,y:17.00,z:-12.00,t:111628
x:-66.00,y:-131.20,z:20.60,t:111632
x:-12.00,y:-9.20,z:10.20,t:111636
x:60.40,y:68.00,z:5.20,t:111639
x:30.40,y:19.80,z:-10.00,t:111643
x:-95.80,y:-104.60,z:-11.40,t:111647
x:-36.00,y:-105.20,z:56.20,t:111651
x:66.80,y:39.80,z:15.60,t:111654
x:2.40,y:91.20,z:-41.40,t:111659
x:-72.80,y:-76.80,z:1.00,t:111663
x:-28.00,y:-122.20,z:41.20,t:111667
x:79.00,y:102.80,z:27.60,t:111670
x:-9.00,y:140.40,z:-45.20,t:111674
x:-94.40,y:-186.20,z:-16.60,t:111678
x:-10.00,y:-122.20,z:23.40,t:111682
x:107.40,y:70.20,z:71.80,t:111686
x:-30.80,y:58.00,z:-6.40,t:111689
x:-99.60,y:-158.40,z:16.60,t:111693
x:1.40,y:-149.00,z:25.40,t:111697
x:107.80,y:53.60,z:55.00,t:111702
x:-9.60,y:160.20,z:-3.40,t:111705
x:-107.00,y:-147.40,z:-28.00,t:111709
x:4.20,y:-83.40,z:1.00,t:111713
x:129.40,y:25.80,z:38.60,t:111717
x:46.80,y:76.80,z:26.00,t:111720
x:-132.20,y:-80.20,z:13.20,t:111724
x:-29.20,y:-54.60,z:-7.20,t:111728
x:121.20,y:1.80,z:2.40,t:111732
x:7.20,y:49.80,z:30.80,t:111735
x:-146.80,y:-103.80,z:-1.00,t:111739
x:-38.80,y:-44.00,z:6.40,t:111744
x:108.00,y:38.40,z:-4.80,t:111747
x:35.80,y:53.40,z:30.40,t:111751
x:-117.00,y:-105.60,z:-23.20,t:111755
x:-20.60,y:12.00,z:-21.00,t:111759
x:122.20,y:79.40,z:34.40,t:111763
x:-1.20,y:75.80,z:18.20,t:111766
x:-116.40,y:-106.20,z:-7.40,t:111770
x:-28.20,y:-3.40,z:8.60,t:111774
x:110.40,y:61.20,z:0.40,t:111778
x:14.40,y:81.00,z:12.80,t:111781
x:-105.00,y:-123.20,z:3.20,t:111785
x:2.00,y:8.20,z:-24.20,t:111790
x:75.80,y:77.60,z:-10.00,t:111793
x:20.00,y:63.40,z:7.00,t:111797
x:-107.80,y:-118.40,z:9.80,t:111801
x:-10.20,y:22.00,z:-2.60,t:111805
x:74.40,y:100.20,z:-23.60,t:111808
x:-8.20,y:91.40,z:-17.00,t:111812
x:-67.20,y:-133.60,z:23.40,t:111816
x:-9.60,y:6.60,z:-5.40,t:111820
x:68.80,y:106.00,z:-3.60,t:111823
x:-10.80,y:82.60,z:-5.60,t:111827
x:-72.40,y:-131.20,z:11.00,t:111832
x:12.80,y:82.80,z:-53.20,t:111836
x:44.80,y:88.00,z:18.60,t:111839
x:0.20,y:97.60,z:-7.00,t:111843
x:-69.60,y:-160.00,z:-20.80,t:111847
x:-3.80,y:13.20,z:-29.60,t:111850
x:87.60,y:93.60,z:34.80,t:111854
x:-7.80,y:112.80,z:-5.40,t:111858
x:-92.80,y:-151.00,z:-5.00,t:111862
x:16.00,y:-106.20,z:-25.00,t:111865
x:112.80,y:53.40,z:59.00,t:111869
x:-34.20,y:166.00,z:2.20,t:111874
x:-96.40,y:-159.00,z:-14.80,t:111878
x:10.80,y:-72.40,z:-52.20,t:111882
x:98.80,y:28.00,z:84.20,t:111885
x:-42.00,y:165.80,z:-9.80,t:111889
x:-110.00,y:-146.20,z:-19.20,t:111893
x:23.60,y:-83.60,z:-16.60,t:111897
x:125.00,y:41.80,z:58.20,t:111901
x:-37.00,y:173.40,z:-11.60,t:111904
x:-131.20,y:-93.00,z:-39.80,t:111908
x:24.60,y:-23.00,z:-22.00,t:111912
x:135.60,y:-15.80,z:52.80,t:111917
x:-56.80,y:172.00,z:-16.00,t:111921
x:-141.80,y:-115.00,z:-9.60,t:111924
x:8.80,y:-36.60,z:-30.20,t:111928
x:129.00,y:19.20,z:44.80,t:111932
x:-24.40,y:141.20,z:3.80,t:111936
x:-142.00,y:-95.40,z:-23.20,t:111939
