-x:625.80,y:198.60,z:49.00,t:89142
x:-432.60,y:289.60,z:-212.00,t:89146
x:38.00,y:-82.60,z:306.20,t:89150
x:-138.40,y:443.40,z:-152.80,t:89154
x:73.20,y:-416.60,z:-73.20,t:89157
x:213.20,y:85.60,z:212.00,t:89161
x:-350.00,y:-5.20,z:-549.00,t:89165
x:187.60,y:-141.80,z:561.00,t:89169
x:-405.00,y:324.20,z:-235.80,t:89174
x:297.60,y:-741.80,z:232.00,t:89178
x:350.60,y:388.20,z:-128.80,t:89182
x:-405.20,y:-177.00,z:-252.20,t:89185
x:487.40,y:221.20,z:322.40,t:89189
x:-335.80,y:199.20,z:-318.00,t:89193
x:589.40,y:-71.80,z:206.00,t:89197
x:-230.40,y:76.60,z:248.60,t:89201
x:-151.80,y:-370.20,z:-155.00,t:89205
x:246.60,y:269.80,z:58.80,t:89209
x:-350.20,y:149.40,z:-330.40,t:89213
x:556.60,y:428.40,z:-56.60,t:89217
x:-279.60,y:-100.40,z:-150.00,t:89221
x:655.40,y:71.80,z:68.80,t:89225
x:-38.80,y:127.20,z:167.40,t:89229
x:-8.80,y:-42.00,z:-256.80,t:89233
x:-102.00,y:-376.60,z:359.40,t:89237
x:-423.60,y:227.00,z:-144.00,t:89240
x:48.00,y:-281.00,z:-15.20,t:89244
x:427.60,y:-121.00,z:180.40,t:89248
x:-112.60,y:112.40,z:-367.40,t:89252
x:-114.40,y:-254.80,z:410.60,t:89256
x:-244.00,y:400.80,z:-311.00,t:89261
x:355.60,y:-505.40,z:188.00,t:89265
x:177.00,y:224.40,z:144.40,t:89269
x:-424.20,y:-276.60,z:-134.80,t:89272
x:438.60,y:82.80,z:211.20,t:89276
x:-210.40,y:387.20,z:-282.80,t:89280
x:153.20,y:-402.80,z:251.00,t:89284
x:279.20,y:276.60,z:100.00,t:89288
x:-411.20,y:-122.20,z:-387.80,t:89292
x:310.40,y:-18.00,z:525.40,t:89296
x:-726.80,y:227.20,z:-540.60,t:89300
x:646.00,y:-462.60,z:421.40,t:89305
x:-215.60,y:359.80,z:-57.20,t:89308
x:-49.80,y:-801.40,z:-58.20,t:89312
x:390.00,y:-28.60,z:94.80,t:89316
x:-337.60,y:-464.40,z:-165.60,t:89320
x:287.60,y:92.80,z:122.00,t:89324
x:-587.60,y:-39.60,z:-397.00,t:89327
x:456.20,y:32.00,z:224.20,t:89331
x:-246.40,y:-156.00,z:225.40,t:89335
x:230.00,y:-402.20,z:-22.60,t:89339
x:-174.20,y:40.60,z:227.60,t:89344
x:-208.60,y:-135.40,z:-45.40,t:89348
x:241.00,y:321.00,z:-88.20,t:89352
x:-82.00,y:-288.80,z:100.20,t:89355
x:330.20,y:-127.00,z:-144.40,t:89359
x:230.40,y:40.80,z:173.60,t:89363
x:-74.20,y:577.60,z:-422.20,t:89367
x:259.60,y:-59.60,z:389.00,t:89371
x:-16.60,y:222.00,z:36.40,t:89375
x:-280.80,y:-186.80,z:-214.20,t:89378
x:219.40,y:-37.80,z:49.40,t:89382
x:-307.60,y:-198.20,z:-149.40,t:89387
x:298.80,y:-41.20,z:166.60,t:89391
x:-148.80,y:509.20,z:-412.80,t:89395
x:97.00,y:-283.20,z:269.60,t:89399
x:-199.80,y:276.40,z:55.00,t:89402
x:-189.80,y:-649.00,z:-196.40,t:89406
x:482.20,y:170.60,z:125.20,t:89410
x:-503.20,y:238.00,z:-330.40,t:89414
x:339.60,y:-137.80,z:390.60,t:89418
x:-126.00,y:438.60,z:23.60,t:89422
x:-142.40,y:-289.20,z:-156.00,t:89426
x:329.80,y:249.20,z:246.60,t:89431
x:-585.00,y:16.80,z:-475.60,t:89435
x:350.00,y:166.00,z:431.80,t:89438
x:-526.20,y:366.40,z:-160.80,t:89442
x:268.80,y:-429.60,z:-34.40,t:89446
x:100.80,y:102.80,z:124.80,t:89450
x:-531.40,y:-141.20,z:-337.60,t:89454
x:489.40,y:263.20,z:272.00,t:89458
x:-199.40,y:-19.20,z:-216.00,t:89462
x:540.60,y:41.80,z:66.00,t:89465
x:-324.40,y:4.20,z:383.80,t:89469
x:-130.80,y:-243.20,z:-224.20,t:89474
x:41.40,y:135.60,z:191.00,t:89478
x:-562.40,y:142.60,z:-318.60,t:89482
x:228.60,y:-218.20,z:-165.80,t:89486
x:275.60,y:-136.40,z:239.00,t:89490
x:100.00,y:377.00,z:-357.60,t:89494
x:-173.40,y:-145.60,z:400.00,t:89497
x:-402.80,y:230.00,z:-131.20,t:89501
x:113.80,y:-332.20,z:64.40,t:89505
x:-429.60,y:225.60,z:46.60,t:89509
x:170.00,y:-565.20,z:87.00,t:89513
x:597.60,y:173.00,z:46.20,t:89518
x:-342.40,y:389.80,z:-345.20,t:89522
x:-55.00,y:-33.40,z:309.00,t:89525
x:-231.20,y:408.00,z:-177.40,t:89529
x:72.60,y:-491.40,z:-46.80,t:89533
x:225.60,y:124.40,z:175.80,t:89537
