-x:-99.60,y:183.00,z:-30.80,t:53838
x:284.20,y:443.40,z:-247.60,t:53842
x:132.20,y:20.80,z:5.80,t:53846
x:-237.20,y:-412.20,z:229.20,t:53850
x:225.60,y:-555.20,z:471.80,t:53854
x:-286.20,y:-371.20,z:187.80,t:53858
x:133.20,y:-251.20,z:178.60,t:53862
x:-207.20,y:-251.60,z:142.20,t:53866
x:66.40,y:37.40,z:-71.20,t:53869
x:-125.60,y:-199.60,z:50.60,t:53873
x:-73.20,y:219.80,z:-223.20,t:53877
x:78.80,y:-152.80,z:67.40,t:53881
x:-219.60,y:273.60,z:-325.80,t:53885
x:164.20,y:-33.40,z:103.00,t:53890
x:-288.20,y:241.20,z:-339.20,t:53894
x:163.40,y:28.60,z:172.20,t:53897
x:-296.20,y:184.80,z:-393.80,t:53901
x:172.40,y:185.80,z:162.60,t:53905
x:-173.80,y:145.80,z:-371.80,t:53909
x:86.20,y:307.20,z:86.20,t:53913
x:-66.40,y:120.00,z:-304.60,t:53917
x:-34.40,y:407.60,z:19.00,t:53920
x:131.80,y:-252.40,z:52.00,t:53924
x:21.20,y:280.20,z:-118.00,t:53928
x:202.80,y:-190.80,z:87.20,t:53933
x:-49.40,y:35.40,z:2.20,t:53937
x:111.00,y:-77.20,z:65.60,t:53940
x:-196.80,y:-25.60,z:-167.00,t:53944
x:60.40,y:445.80,z:22.80,t:53948
x:-183.80,y:25.00,z:2.60,t:53952
x:340.20,y:66.00,z:133.80,t:53955
x:144.00,y:-622.00,z:131.40,t:53959
x:-307.40,y:-73.00,z:282.20,t:53963
x:57.20,y:-506.80,z:207.20,t:53967
x:-625.00,y:-230.60,z:52.00,t:53971
x:106.60,y:-47.80,z:-48.40,t:53976
x:-566.80,y:-174.60,z:-231.60,t:53980
x:2.80,y:540.20,z:-269.80,t:53983
x:-336.00,y:45.60,z:-206.40,t:53987
x:-48.60,y:885.40,z:-327.40,t:53991
x:-224.60,y:169.80,z:-70.20,t:53995
x:45.00,y:866.60,z:-325.20,t:53999
x:-118.20,y:199.40,z:-26.40,t:54002
x:366.40,y:494.80,z:-238.60,t:54006
x:93.40,y:-36.40,z:10.80,t:54010
x:-232.20,y:-406.20,z:290.00,t:54014
x:235.40,y:-620.80,z:482.60,t:54019
x:-433.00,y:-398.60,z:168.40,t:54023
x:131.80,y:-224.60,z:183.00,t:54027
x:-321.20,y:-233.00,z:8.80,t:54030
x:68.80,y:147.40,z:-136.40,t:54034
x:-182.60,y:-36.60,z:-81.20,t:54038
x:-43.20,y:418.00,z:-285.00,t:54042
x:-49.40,y:-22.60,z:-45.80,t:54046
x:-195.60,y:460.00,z:-323.00,t:54049
x:52.20,y:-5.60,z:20.40,t:54053
x:-272.20,y:385.40,z:-292.80,t:54057
x:56.80,y:-1.80,z:183.20,t:54062
x:-132.00,y:74.00,z:-213.20,t:54066
x:126.00,y:-131.20,z:235.60,t:54069
x:-84.60,y:46.80,z:-55.40,t:54073
x:109.80,y:-59.20,z:103.00,t:54077
x:-13.40,y:-43.00,z:-52.60,t:54081
x:106.00,y:53.20,z:38.60,t:54084
x:21.80,y:-241.20,z:70.20,t:54088
x:27.20,y:160.80,z:24.80,t:54092
x:120.80,y:-173.80,z:220.00,t:54096
x:-255.60,y:-96.60,z:-92.20,t:54100
x:145.20,y:-76.40,z:245.60,t:54105
x:-285.00,y:-214.80,z:-22.40,t:54108
x:127.60,y:123.80,z:91.60,t:54112
x:-122.40,y:-227.60,z:21.40,t:54116
x:209.40,y:117.60,z:-12.20,t:54120
