-x:341.00,y:259.40,z:-331.40,t:277777
x:-433.40,y:11.60,z:262.60,t:277781
x:72.60,y:-369.80,z:-336.00,t:277785
x:471.20,y:407.60,z:242.60,t:277789
x:-393.80,y:-397.20,z:173.60,t:277793
x:316.80,y:431.40,z:-519.40,t:277797
x:-273.80,y:164.20,z:188.20,t:277800
x:210.80,y:-163.40,z:-270.00,t:277805
x:420.60,y:677.40,z:-44.00,t:277809
x:-353.80,y:-608.40,z:-29.80,t:277813
x:88.00,y:340.20,z:-316.20,t:277817
x:-389.40,y:-44.20,z:403.60,t:277821
x:111.20,y:-102.20,z:-337.80,t:277825
x:28.80,y:756.60,z:61.80,t:277829
x:-584.00,y:-524.60,z:99.00,t:277833
x:511.60,y:441.00,z:-192.80,t:277837
x:-287.00,y:-25.40,z:464.20,t:277840
x:111.60,y:-515.00,z:-251.60,t:277844
x:103.60,y:556.80,z:150.00,t:277849
x:-119.00,y:-627.20,z:-23.00,t:277853
x:186.40,y:496.40,z:-69.20,t:277857
x:-560.20,y:-60.00,z:52.60,t:277861
x:251.00,y:-220.80,z:-421.80,t:277865
x:-40.20,y:601.60,z:266.20,t:277869
x:-215.80,y:-607.60,z:-98.60,t:277873
x:765.40,y:487.00,z:-119.40,t:277877
x:-262.00,y:-141.80,z:319.00,t:277880
x:-27.80,y:-393.40,z:-116.60,t:277884
x:-247.20,y:1138.00,z:-214.20,t:277889
x:-592.60,y:-614.20,z:53.80,t:277893
x:906.00,y:649.20,z:-246.40,t:277897
x:-424.40,y:-478.00,z:386.40,t:277901
x:188.80,y:-192.20,z:-138.40,t:277905
x:-27.20,y:775.80,z:-95.60,t:277909
x:-561.20,y:-840.20,z:66.00,t:277913
x:862.80,y:365.80,z:-97.20,t:277917
x:-157.00,y:-481.00,z:378.20,t:277921
x:99.00,y:-84.40,z:-288.20,t:277924
x:-373.60,y:303.00,z:527.00,t:277928
x:-206.40,y:-482.20,z:-203.60,t:277933
x:462.40,y:430.80,z:139.20,t:277937
x:-410.40,y:-538.40,z:512.60,t:277941
x:569.40,y:643.40,z:-915.80,t:277945
x:-48.40,y:18.80,z:564.00,t:277949
x:-289.20,y:-317.40,z:-379.20,t:277953
x:482.80,y:805.20,z:358.60,t:277957
x:-757.20,y:-1195.80,z:320.20,t:277961
x:-673.80,y:-840.40,z:257.20,t:277965
x:603.80,y:768.40,z:-949.20,t:277969
x:-282.20,y:-238.20,z:777.40,t:277974
x:199.20,y:26.00,z:-551.00,t:277978
x:15.60,y:466.00,z:533.20,t:277981
x:-206.20,y:-355.80,z:-49.20,t:277985
x:485.00,y:362.40,z:-118.40,t:277989
x:-441.80,y:-713.60,z:246.80,t:277993
x:149.20,y:-9.60,z:-377.60,t:277997
x:78.00,y:597.80,z:-197.80,t:278001
x:-216.80,y:-1036.60,z:422.40,t:278005
x:993.60,y:776.40,z:-262.40,t:278009
x:-1128.00,y:-434.00,z:351.20,t:278013
x:950.40,y:417.80,z:-296.60,t:278018
x:-749.60,y:442.80,z:-71.80,t:278022
x:182.20,y:-443.80,z:-39.60,t:278026
x:185.80,y:958.60,z:-100.40,t:278030
x:-336.00,y:-807.20,z:146.60,t:278034
x:260.60,y:644.60,z:-265.40,t:278037
x:-481.80,y:-155.80,z:379.60,t:278041
x:434.60,y:-46.20,z:-429.00,t:278045
x:149.00,y:438.80,z:389.40,t:278049
x:-281.00,y:-804.00,z:-65.20,t:278053
x:198.40,y:408.80,z:-46.80,t:278057
x:-477.60,y:-376.60,z:249.80,t:278062
x:521.20,y:58.40,z:-180.60,t:278066
x:-395.80,y:-95.00,z:388.40,t:278070
x:-209.40,y:-577.20,z:-233.40,t:278074
x:557.00,y:692.20,z:53.00,t:278078
x:-683.20,y:-595.00,z:447.40,t:278081
x:469.80,y:226.40,z:-453.20,t:278085
x:-113.20,y:127.40,z:486.80,t:278089
x:-10.80,y:-682.20,z:-150.00,t:278093
x:445.00,y:717.80,z:-123.80,t:278097
x:-686.60,y:-578.60,z:130.80,t:278102
x:371.20,y:245.40,z:-322.20,t:278106
x:-168.80,y:187.80,z:344.20,t:278110
x:-72.20,y:-320.40,z:-255.80,t:278114
x:185.60,y:725.60,z:-30.40,t:278118
x:-215.60,y:-495.80,z:154.00,t:278122
x:457.60,y:248.60,z:-128.80,t:278126
x:72.80,y:180.20,z:-161.40,t:278130
x:-19.60,y:-297.20,z:-254.40,t:278133
x:355.40,y:697.20,z:70.60,t:278137
x:-359.60,y:-643.40,z:251.60,t:278141
x:-593.80,y:-650.20,z:354.20,t:278146
x:329.40,y:123.20,z:-246.80,t:278150
x:-252.20,y:508.20,z:120.80,t:278154
x:-140.80,y:-812.80,z:84.80,t:278158
x:606.80,y:1252.60,z:-311.40,t:278162
x:-178.60,y:-694.20,z:132.40,t:278166
x:103.40,y:373.60,z:-333.40,t:278170
x:-580.60,y:-56.40,z:457.20,t:278174
x:-5.00,y:-420.00,z:-475.40,t:278178
x:294.40,y:249.80,z:366.80,t:278182
x:-67.40,y:-836.40,z:94.40,t:278185
x:417.20,y:601.80,z:-209.80,t:278190
x:-517.60,y:-239.00,z:420.20,t:278194
x:389.40,y:-318.00,z:-277.80,t:278198
x:22.00,y:132.80,z:387.40,t:278202
x:-337.60,y:-425.40,z:-144.20,t:278206
x:249.00,y:613.80,z:-118.00,t:278210
x:-390.40,y:-367.60,z:380.40,t:278214
x:311.80,y:-222.40,z:-258.20,t:278218
x:-14.80,y:604.40,z:250.40,t:278222
x:-342.20,y:-466.00,z:-181.20,t:278226
x:527.20,y:460.60,z:-160.80,t:278231
x:-522.20,y:-195.80,z:233.20,t:278235
x:402.80,y:-115.60,z:-91.40,t:278238
x:-232.80,y:279.60,z:312.40,t:278242
x:-31.00,y:-430.80,z:-173.80,t:278246
x:588.20,y:510.60,z:228.40,t:278250
x:-277.60,y:-587.40,z:337.00,t:278254
x:150.00,y:270.40,z:-440.40,t:278258
x:-355.20,y:183.00,z:244.60,t:278262
x:-12.00,y:-470.60,z:-446.00,t:278266
x:188.20,y:560.40,z:-122.20,t:278270
x:-577.80,y:-613.20,z:160.00,t:278275
x:499.80,y:594.80,z:-355.00,t:278279
x:-378.00,y:19.00,z:529.80,t:278283
x:269.20,y:-134.00,z:-351.00,t:278287
x:-10.40,y:705.80,z:178.00,t:278290
x:-509.80,y:-530.80,z:-1.40,t:278294
x:394.60,y:922.40,z:-560.00,t:278298
x:-646.20,y:-361.20,z:490.80,t:278302
x:242.00,y:64.80,z:-668.80,t:278306
x:-307.20,y:359.60,z:505.40,t:278310
x:-237.80,y:454.00,z:489.60,t:278315
x:-142.20,y:-524.00,z:-261.40,t:278319
x:401.00,y:785.60,z:28.80,t:278323
x:-312.00,y:-487.00,z:284.60,t:278327
x:432.20,y:135.00,z:-291.80,t:278331
x:-241.80,y:344.80,z:190.00,t:278335
x:-309.80,y:-591.60,z:-88.20,t:278338
x:516.40,y:860.00,z:-108.40,t:278342
x:-402.80,y:-720.60,z:234.60,t:278346
x:570.00,y:127.00,z:-280.60,t:278350
x:-358.20,y:109.00,z:114.00,t:278354
x:359.20,y:-459.60,z:-85.80,t:278359
x:627.80,y:924.80,z:-78.60,t:278363
x:-235.00,y:-555.60,z:-10.00,t:278367
x:113.20,y:523.80,z:-334.40,t:278371
x:-403.00,y:211.80,z:129.20,t:278375
x:237.40,y:-179.80,z:-373.20,t:278379
x:197.80,y:815.80,z:149.80,t:278383
x:-412.60,y:-654.40,z:15.60,t:278386
x:441.40,y:370.80,z:-292.20,t:278390
x:-488.80,y:72.60,z:344.40,t:278394
x:205.80,y:-269.00,z:-431.60,t:278398
x:80.00,y:752.60,z:246.60,t:278403
x:-106.60,y:-725.60,z:-64.00,t:278407
x:382.80,y:552.40,z:-221.20,t:278411
x:-400.20,y:-39.60,z:270.80,t:278415
x:104.80,y:-367.20,z:-402.00,t:278419
x:389.20,y:547.40,z:246.00,t:278423
x:-235.40,y:-492.00,z:-23.40,t:278427
x:166.80,y:586.40,z:-294.80,t:278431
x:-598.60,y:145.00,z:375.20,t:278434
x:45.80,y:-553.40,z:-171.40,t:278438
x:427.80,y:405.20,z:341.00,t:278443
x:-519.20,y:-794.60,z:158.80,t:278447
x:212.60,y:389.60,z:-291.80,t:278451
x:-362.80,y:50.40,z:414.40,t:278455
x:194.40,y:-251.00,z:-403.60,t:278459
x:93.60,y:842.20,z:298.40,t:278463
x:-445.80,y:-852.60,z:64.40,t:278467
x:514.20,y:500.20,z:-555.80,t:278471
x:-327.40,y:-191.80,z:488.40,t:278475
x:73.80,y:-434.00,z:-351.40,t:278479
x:117.40,y:512.80,z:287.00,t:278482
x:-201.80,y:-621.40,z:-40.80,t:278487
x:662.60,y:595.20,z:-143.20,t:278491
x:-621.80,y:-114.40,z:411.40,t:278495
x:145.00,y:-156.20,z:-248.20,t:278499
x:256.20,y:-206.40,z:-331.80,t:278503
