-x:-1097.40,y:-472.60,z:-380.80,t:26213
x:995.60,y:-261.60,z:27.80,t:26217
x:-97.60,y:824.00,z:221.00,t:26221
x:-1176.60,y:-105.40,z:-528.60,t:26225
x:1100.40,y:-503.80,z:144.80,t:26229
x:225.00,y:447.80,z:359.40,t:26233
x:-973.60,y:509.80,z:-704.80,t:26237
x:646.00,y:-570.00,z:-196.80,t:26242
x:-109.20,y:-1134.00,z:974.40,t:26246
x:85.40,y:711.40,z:-31.60,t:26249
x:258.40,y:1371.80,z:-1059.20,t:26253
x:-811.40,y:-1633.80,z:1065.00,t:26257
x:318.40,y:-634.40,z:471.00,t:26261
x:267.60,y:2565.20,z:-1484.00,t:26265
x:-1349.20,y:-2309.60,z:1412.20,t:26269
x:648.80,y:-1232.40,z:707.20,t:26273
x:604.00,y:3360.40,z:-1784.80,t:26277
x:-589.20,y:2242.80,z:-1141.80,t:26281
x:-789.20,y:-2260.40,z:1042.00,t:26286
x:833.80,y:-753.20,z:298.00,t:26290
x:-112.80,y:2168.00,z:-868.40,t:26294
x:-1275.20,y:-689.40,z:381.60,t:26298
x:929.00,y:-1391.00,z:365.40,t:26302
x:592.20,y:1394.00,z:-236.60,t:26306
x:-1359.00,y:399.80,z:-19.20,t:26310
x:44.40,y:-1343.40,z:428.20,t:26314
x:1320.80,y:614.40,z:107.60,t:26318
x:-960.40,y:742.40,z:-133.40,t:26322
x:-440.00,y:-1156.00,z:-88.20,t:26327
x:1009.60,y:23.20,z:141.40,t:26331
x:-712.00,y:742.60,z:-171.20,t:26335
x:-499.40,y:-514.20,z:-279.20,t:26339
x:897.60,y:-61.60,z:344.20,t:26342
x:-321.80,y:447.40,z:-41.80,t:26346
x:-739.80,y:-133.00,z:-503.00,t:26350
x:1034.00,y:-405.60,z:384.40,t:26354
x:-164.80,y:47.00,z:215.40,t:26358
x:-310.40,y:942.40,z:-844.40,t:26362
x:211.00,y:-432.00,z:82.60,t:26366
x:-354.40,y:-1536.20,z:762.60,t:26371
x:1013.20,y:1067.40,z:-496.20,t:26375
x:-229.20,y:1196.60,z:-465.60,t:26379
x:-875.20,y:-2175.00,z:873.20,t:26383
x:1253.20,y:1167.40,z:-559.00,t:26387
x:-267.40,y:2214.80,z:-1122.60,t:26391
x:-1076.40,y:185.40,z:576.40,t:26395
x:58.00,y:-2828.60,z:647.60,t:26398
x:1417.00,y:1522.60,z:-574.20,t:26403
x:-908.80,y:1746.80,z:-591.40,t:26406
x:-735.40,y:-2033.60,z:475.60,t:26411
x:1534.80,y:-264.20,z:44.80,t:26415
