-x:-102.40,y:-914.40,z:287.60,t:10617
x:1375.20,y:949.20,z:-795.60,t:10621
x:641.20,y:1451.20,z:-543.80,t:10626
x:-1023.40,y:47.00,z:565.00,t:10630
x:-1012.20,y:-1933.00,z:528.00,t:10634
x:430.40,y:-749.60,z:109.80,t:10638
x:578.60,y:898.40,z:-209.40,t:10642
x:23.40,y:481.40,z:-219.00,t:10646
x:-183.40,y:132.80,z:-399.20,t:10650
x:-125.40,y:-389.00,z:-17.40,t:10654
x:712.00,y:-771.40,z:322.20,t:10657
x:697.60,y:-467.40,z:795.80,t:10661
x:-560.00,y:137.80,z:184.20,t:10665
x:-720.40,y:-54.00,z:-697.00,t:10670
x:-127.20,y:41.60,z:-426.60,t:10674
x:633.80,y:-62.20,z:474.20,t:10678
x:451.80,y:196.40,z:523.00,t:10682
x:-534.20,y:-419.80,z:163.00,t:10686
x:-333.60,y:-411.20,z:-434.60,t:10689
x:213.20,y:224.40,z:-238.40,t:10693
x:-382.20,y:327.00,z:448.00,t:10697
x:-607.80,y:-1366.60,z:705.80,t:10701
x:562.40,y:-406.60,z:78.80,t:10705
x:1559.20,y:1875.40,z:-924.60,t:10710
x:-252.20,y:1027.40,z:-29.60,t:10714
x:-1429.60,y:-834.60,z:780.60,t:10718
x:-116.20,y:-1913.00,z:445.80,t:10722
x:621.40,y:233.00,z:-183.60,t:10726
x:-64.40,y:646.40,z:-50.00,t:10730
x:79.40,y:925.80,z:-619.20,t:10733
x:-209.20,y:300.60,z:-309.00,t:10737
x:553.60,y:-308.80,z:-22.80,t:10741
x:842.60,y:-453.00,z:570.80,t:10745
x:-154.20,y:56.40,z:506.40,t:10749
x:-1045.20,y:-247.60,z:-11.00,t:10754
x:-685.40,y:-218.00,z:-818.80,t:10758
x:587.80,y:-297.40,z:131.60,t:10762
x:933.40,y:30.40,z:679.80,t:10765
x:-113.20,y:-168.20,z:323.00,t:10769
x:-546.20,y:-344.60,z:-66.60,t:10773
x:-56.60,y:205.80,z:-595.60,t:10777
x:260.80,y:334.80,z:94.80,t:10781
x:-880.20,y:-678.00,z:701.00,t:10785
x:-251.00,y:-1698.60,z:457.40,t:10789
x:1726.20,y:970.60,z:-776.80,t:10793
x:488.20,y:1391.60,z:-536.00,t:10798
x:-963.20,y:-254.40,z:743.20,t:10802
x:-447.60,y:-2013.40,z:789.20,t:10806
x:412.60,y:-805.20,z:-13.00,t:10809
x:200.80,y:785.40,z:1.00,t:10813
x:-256.00,y:1158.40,z:-478.40,t:10817
x:-306.80,y:546.40,z:-649.60,t:10821
x:-166.00,y:124.00,z:-167.80,t:10825
x:922.80,y:-831.80,z:422.00,t:10829
x:733.80,y:-304.20,z:685.20,t:10833
x:-529.80,y:-91.20,z:372.60,t:10838
x:-891.60,y:-57.00,z:-795.20,t:10841
x:-121.20,y:109.20,z:-542.40,t:10845
x:922.60,y:164.40,z:469.40,t:10849
x:355.80,y:331.40,z:435.20,t:10853
x:-453.80,y:-486.80,z:169.80,t:10857
x:-72.60,y:-2.00,z:-600.00,t:10861
x:234.60,y:126.20,z:-147.00,t:10865
x:-847.60,y:134.00,z:420.20,t:10868
x:-1077.20,y:-1854.80,z:504.00,t:10872
x:654.00,y:-325.80,z:76.00,t:10876
x:1244.60,y:1947.20,z:-816.00,t:10881
x:-101.40,y:746.60,z:70.40,t:10885
