x:8.40,y:1375.00,z:-1155.40,t:73950
x:-272.20,y:1379.60,z:-878.40,t:73954
x:-299.20,y:452.40,z:-104.40,t:73958
x:-176.00,y:-326.40,z:580.00,t:73961
x:-179.00,y:-1054.40,z:691.80,t:73965
x:-426.00,y:-1228.80,z:454.00,t:73969
x:-399.60,y:-1202.80,z:219.20,t:73973
x:-150.60,y:-514.80,z:-12.00,t:73977
x:-103.40,y:-16.40,z:-131.20,t:73981
x:160.00,y:146.80,z:-25.40,t:73986
x:776.60,y:254.00,z:181.60,t:73990
x:742.80,y:412.80,z:266.80,t:73994
x:570.20,y:884.20,z:-144.20,t:73998
x:-116.00,y:1152.80,z:-704.20,t:74002
x:-393.80,y:1255.60,z:-1077.80,t:74006
x:-375.00,y:1093.00,z:-824.80,t:74010
x:-474.00,y:585.60,z:-83.80,t:74013
x:-459.40,y:-440.60,z:662.20,t:74017
x:-177.20,y:-1156.20,z:1117.80,t:74021
x:272.40,y:-1142.00,z:972.20,t:74025
x:-253.40,y:-556.60,z:1089.80,t:74030
x:323.60,y:-1219.40,z:1134.40,t:74034
x:188.80,y:-1635.80,z:1189.00,t:74038
x:87.80,y:-1674.20,z:904.80,t:74042
x:239.20,y:-711.00,z:314.00,t:74046
x:348.20,y:823.20,z:-587.00,t:74050
x:439.20,y:2305.20,z:-1294.00,t:74054
x:355.20,y:2166.60,z:-1127.80,t:74058
x:200.40,y:1045.40,z:-232.20,t:74062
x:220.40,y:331.80,z:410.40,t:74066
x:115.20,y:-112.00,z:515.80,t:74071
x:-424.40,y:-301.80,z:14.60,t:74075
x:-767.20,y:-604.00,z:-87.80,t:74079
x:-926.00,y:-780.80,z:40.00,t:74082
x:-352.00,y:-1029.60,z:203.60,t:74086
x:-74.20,y:-1429.60,z:580.20,t:74090
x:455.20,y:-1351.00,z:521.40,t:74094
x:639.40,y:-666.80,z:436.00,t:74098
x:345.40,y:120.60,z:87.20,t:74102
x:-89.80,y:889.60,z:-605.20,t:74106
x:-394.40,y:1417.40,z:-1307.60,t:74110
x:-363.20,y:1596.80,z:-1562.80,t:74115
x:-511.00,y:1049.60,z:-937.00,t:74119
x:-415.80,y:347.20,z:102.20,t:74123
x:-368.40,y:-460.00,z:794.40,t:74127
x:-415.20,y:-1262.20,z:1145.60,t:74131
x:-248.60,y:15.00,z:288.00,t:74134
x:-173.60,y:-1778.20,z:761.20,t:74138
x:-444.20,y:-1598.00,z:618.80,t:74142
x:-391.60,y:-1798.40,z:508.80,t:74146
x:-176.60,y:-985.40,z:161.80,t:74150
x:15.60,y:-1.80,z:-144.60,t:74155
x:45.60,y:165.80,z:-163.60,t:74159
x:749.20,y:734.00,z:120.60,t:74163
x:296.40,y:830.60,z:-132.40,t:74167
x:-399.20,y:497.80,z:-358.00,t:74171
x:-635.80,y:265.20,z:-529.00,t:74174
x:-374.60,y:58.40,z:-16.00,t:74178
x:-458.00,y:-251.60,z:601.20,t:74182
x:-288.40,y:-985.40,z:929.80,t:74186
x:242.00,y:-1362.80,z:842.20,t:74190
x:795.40,y:-1066.80,z:445.60,t:74194
x:653.20,y:-638.40,z:251.40,t:74199
x:259.20,y:-155.80,z:184.80,t:74203
x:82.60,y:468.60,z:-323.00,t:74207
x:114.00,y:1248.20,z:-826.40,t:74211
x:227.20,y:1940.40,z:-1184.20,t:74215
x:465.80,y:1712.20,z:-933.00,t:74219
x:411.60,y:1980.80,z:-1357.80,t:74223
x:315.00,y:1273.80,z:-440.60,t:74227
x:98.40,y:268.40,z:395.60,t:74230
x:33.80,y:-432.00,z:595.40,t:74234
x:-399.20,y:-920.80,z:546.80,t:74238
x:-636.60,y:-840.20,z:-52.80,t:74243
x:-672.40,y:-764.20,z:-69.80,t:74247
x:-567.40,y:-737.40,z:-57.80,t:74251
x:-199.20,y:-679.80,z:216.00,t:74255
x:259.40,y:-933.40,z:415.40,t:74258
x:655.80,y:-747.00,z:536.40,t:74262
x:540.40,y:-77.60,z:143.40,t:74266
x:-138.20,y:1469.60,z:-1304.80,t:74270
x:-61.60,y:1212.20,z:-913.20,t:74274
x:-357.80,y:1170.20,z:-1302.20,t:74278
x:-493.20,y:945.80,z:-1260.60,t:74283
x:-378.20,y:378.80,z:-152.20,t:74287
x:-299.00,y:-274.80,z:638.80,t:74291
x:60.80,y:-1051.60,z:1054.40,t:74295
x:-146.00,y:-1472.80,z:1062.80,t:74299
x:-116.20,y:-1950.40,z:1122.20,t:74303
x:30.00,y:-1672.60,z:661.60,t:74307
x:-0.40,y:-515.20,z:129.80,t:74311
x:96.80,y:1158.20,z:-521.80,t:74315
x:366.80,y:2026.40,z:-1199.20,t:74319
x:705.80,y:1726.20,z:-923.00,t:74323
x:535.60,y:1076.00,z:-63.20,t:74328
x:407.20,y:479.20,z:283.80,t:74331
x:2.40,y:376.20,z:55.20,t:74335
x:-438.00,y:191.00,z:-312.00,t:74339
x:-827.40,y:-41.40,z:-220.20,t:74343
x:-544.40,y:-532.60,z:198.20,t:74347
x:-78.20,y:-1029.40,z:613.40,t:74351
x:0.40,y:-1262.40,z:769.80,t:74354
x:554.80,y:-1185.40,z:684.80,t:74358
x:786.60,y:-799.40,z:590.20,t:74362
x:366.40,y:-100.40,z:155.00,t:74366
x:-43.60,y:474.60,z:-250.40,t:74371
x:-278.00,y:1136.00,z:-956.60,t:74375
x:-87.20,y:1082.60,z:-1105.00,t:74379
x:-222.80,y:929.40,z:-740.80,t:74383
x:-112.00,y:371.60,z:-64.00,t:74387
x:-282.60,y:-410.60,z:519.80,t:74391
x:-349.80,y:-852.00,z:640.60,t:74395
x:-503.80,y:-1093.00,z:461.80,t:74399
x:-499.80,y:-1408.60,z:243.80,t:74403
x:-122.80,y:-551.80,z:46.20,t:74406
x:-6.60,y:334.60,z:-167.60,t:74411
x:236.60,y:495.80,z:-424.20,t:74415
x:588.40,y:540.00,z:94.00,t:74419
x:983.80,y:668.60,z:130.80,t:74423
x:590.00,y:755.20,z:29.80,t:74427
x:-34.60,y:952.40,z:-457.60,t:74430
x:-382.00,y:1059.40,z:-878.80,t:74434
x:-316.40,y:702.20,z:-521.80,t:74438
x:-358.60,y:237.20,z:183.60,t:74442
x:-409.00,y:-526.40,z:730.40,t:74446
x:-265.40,y:-1151.20,z:1080.40,t:74450
x:260.60,y:-1214.60,z:923.20,t:74455
x:747.80,y:-1191.00,z:792.20,t:74459
x:516.00,y:-737.40,z:598.60,t:74463
x:238.00,y:-59.20,z:-88.40,t:74467
x:209.20,y:1022.40,z:-914.20,t:74471
x:423.40,y:2169.60,z:-1409.00,t:74475
x:499.20,y:1944.40,z:-1337.20,t:74479
x:427.40,y:1339.40,z:-549.20,t:74483
x:-32.20,y:256.00,z:280.40,t:74487
x:-247.80,y:-760.60,z:688.20,t:74490
x:-448.20,y:-1247.40,z:459.40,t:74494
x:-543.60,y:-1289.80,z:74.00,t:74499
x:-663.00,y:-863.60,z:-121.20,t:74503
x:-709.80,y:-441.80,z:-155.60,t:74507
x:-909.80,y:-749.80,z:-84.00,t:74511
x:654.00,y:-496.60,z:343.20,t:74515
x:716.40,y:-32.80,z:373.60,t:74519
x:344.80,y:322.20,z:22.80,t:74523
x:30.00,y:730.60,z:-507.60,t:74526
x:-296.60,y:1264.60,z:-1122.20,t:74530
x:-388.60,y:1405.20,z:-1325.20,t:74534
x:-176.60,y:1148.00,z:-1063.00,t:74540
x:-70.20,y:1456.20,z:-1487.00,t:74543
x:-329.20,y:1225.20,z:-1130.60,t:74548
x:-111.20,y:718.80,z:-304.60,t:74551
x:-188.00,y:-132.40,z:256.40,t:74555
x:-24.80,y:-367.00,z:454.20,t:74559
x:-260.20,y:-661.60,z:351.20,t:74563
x:-414.00,y:-1339.00,z:348.60,t:74567
x:-267.20,y:-793.80,z:127.60,t:74571
x:7.60,y:357.80,z:-266.60,t:74575
x:-75.20,y:707.20,z:-567.40,t:74579
x:383.40,y:666.60,z:-183.20,t:74583
x:929.20,y:826.80,z:-62.60,t:74587
x:818.80,y:806.00,z:106.00,t:74591
x:275.20,y:820.80,z:-203.20,t:74595
x:-286.00,y:860.00,z:-655.40,t:74599
x:-431.20,y:725.20,z:-720.60,t:74603
x:-432.00,y:473.80,z:-129.60,t:74607
x:-481.00,y:-363.60,z:664.00,t:74611
x:-320.20,y:-1153.60,z:925.20,t:74615
x:43.40,y:-1364.80,z:874.40,t:74619
x:525.20,y:-1259.60,z:698.80,t:74624
x:574.40,y:-789.40,z:449.20,t:74627
x:261.20,y:-223.00,z:117.20,t:74631
x:110.40,y:512.60,z:-638.80,t:74635
x:246.40,y:1433.20,z:-1031.40,t:74639
x:288.40,y:2312.80,z:-1627.80,t:74643
x:120.60,y:1782.20,z:-951.80,t:74647
x:-96.80,y:619.00,z:125.40,t:74651
x:-307.80,y:-590.60,z:921.20,t:74655
x:-136.00,y:-1372.20,z:954.00,t:74659
x:-388.20,y:-1529.40,z:359.40,t:74663
x:-655.80,y:-1109.40,z:78.00,t:74668
x:-512.60,y:-801.60,z:-24.20,t:74672
x:-95.40,y:-667.20,z:115.60,t:74676
x:449.60,y:-334.80,z:232.20,t:74679
x:767.80,y:90.20,z:279.00,t:74683
x:520.80,y:595.60,z:33.40,t:74687
x:79.80,y:1006.40,z:-359.60,t:74691
x:-245.20,y:1195.60,z:-1119.60,t:74695
x:-312.20,y:1276.00,z:-1214.40,t:74699
x:-363.20,y:905.60,z:-678.00,t:74703
x:-563.80,y:398.00,z:196.80,t:74707
x:-351.40,y:-540.80,z:816.20,t:74712
x:174.00,y:-1004.60,z:990.60,t:74716
