-x:359.40,y:53.20,z:-425.80,t:78161
x:158.80,y:70.40,z:-674.60,t:78166
x:-690.80,y:133.40,z:298.40,t:78170
x:-309.20,y:426.20,z:148.20,t:78174
x:756.20,y:17.60,z:-248.60,t:78178
x:225.20,y:-693.80,z:184.00,t:78182
x:-556.40,y:-117.00,z:170.20,t:78186
x:72.80,y:609.80,z:-499.40,t:78189
x:556.00,y:35.80,z:98.20,t:78193
x:345.00,y:366.20,z:-407.00,t:78197
x:397.60,y:-1009.40,z:488.40,t:78201
x:-368.00,y:-800.80,z:604.80,t:78205
x:-277.20,y:522.80,z:-471.80,t:78210
x:287.60,y:880.00,z:-699.20,t:78214
x:411.00,y:80.20,z:60.40,t:78217
x:-383.00,y:-1102.40,z:884.00,t:78221
x:-336.00,y:-106.60,z:172.40,t:78225
x:452.00,y:916.00,z:-1145.40,t:78229
x:14.00,y:39.20,z:-104.40,t:78233
x:-417.00,y:-390.40,z:837.40,t:78237
x:594.80,y:-136.60,z:77.20,t:78241
x:476.20,y:-409.20,z:-317.60,t:78245
x:-493.60,y:-261.60,z:43.60,t:78249
x:-438.40,y:484.60,z:145.80,t:78253
x:362.20,y:358.60,z:-186.20,t:78257
x:534.60,y:-388.60,z:277.00,t:78261
x:-400.60,y:-427.40,z:81.80,t:78265
x:-428.80,y:605.60,z:-200.80,t:78269
x:-69.20,y:693.60,z:-272.00,t:78273
x:558.20,y:-373.60,z:26.40,t:78277
x:128.00,y:-776.40,z:525.80,t:78281
x:-381.80,y:49.80,z:-35.40,t:78284
x:-70.20,y:624.60,z:-408.20,t:78288
x:267.80,y:196.80,z:-100.20,t:78292
x:-190.20,y:-785.40,z:688.60,t:78297
x:-324.80,y:-178.00,z:274.60,t:78301
x:302.80,y:462.00,z:-894.00,t:78305
x:-153.20,y:-7.60,z:-231.00,t:78309
x:-552.00,y:92.20,z:578.60,t:78312
x:447.60,y:234.60,z:-153.00,t:78316
x:610.40,y:-487.80,z:-6.80,t:78320
x:727.80,y:93.60,z:-212.20,t:78324
x:-190.40,y:-627.40,z:250.40,t:78328
x:-404.80,y:93.00,z:65.60,t:78332
x:55.40,y:616.40,z:-477.40,t:78336
x:580.60,y:-294.80,z:115.60,t:78340
x:106.20,y:-912.00,z:495.60,t:78344
x:-598.20,y:-378.40,z:115.40,t:78348
x:-263.60,y:832.60,z:-508.40,t:78352
x:214.60,y:648.00,z:-364.00,t:78356
x:357.00,y:-516.60,z:372.00,t:78360
x:-322.00,y:-829.40,z:416.20,t:78364
x:-143.40,y:614.40,z:-544.20,t:78368
x:280.40,y:928.40,z:-618.00,t:78372
x:-74.00,y:-426.80,z:541.40,t:78375
x:-206.20,y:-657.40,z:940.20,t:78380
x:655.40,y:104.60,z:-488.20,t:78384
x:-42.40,y:29.20,z:-474.40,t:78388
x:-636.20,y:276.20,z:262.40,t:78392
x:-139.00,y:473.60,z:33.20,t:78396
x:508.40,y:50.00,z:-267.40,t:78399
x:-69.60,y:-590.00,z:218.60,t:78403
x:-387.60,y:135.40,z:-35.00,t:78407
x:4.20,y:835.80,z:-312.20,t:78411
x:393.40,y:126.00,z:-114.20,t:78415
x:141.40,y:-814.20,z:609.60,t:78419
x:-435.80,y:-464.00,z:261.60,t:78424
x:-345.40,y:759.60,z:-511.40,t:78428
x:125.20,y:865.60,z:-555.60,t:78431
x:372.00,y:-620.80,z:282.00,t:78435
x:-452.00,y:-894.60,z:714.60,t:78439
x:-59.60,y:639.40,z:-517.20,t:78443
x:506.60,y:718.60,z:-1254.60,t:78447
x:-378.80,y:-406.00,z:488.80,t:78451
x:-267.60,y:-199.00,z:630.20,t:78455
x:724.60,y:37.00,z:-290.80,t:78459
x:165.80,y:-448.40,z:-232.00,t:78464
x:-576.60,y:-106.80,z:289.20,t:78467
x:-285.40,y:516.40,z:17.60,t:78471
x:-405.40,y:562.00,z:13.00,t:78475
x:347.20,y:282.40,z:-164.40,t:78479
x:593.00,y:-672.00,z:341.40,t:78483
x:-324.00,y:-705.80,z:246.20,t:78487
x:-337.40,y:539.00,z:-130.20,t:78491
x:-57.60,y:932.80,z:-456.80,t:78495
x:607.40,y:-126.20,z:17.80,t:78498
x:-127.60,y:-1021.00,z:646.40,t:78502
x:-311.00,y:-295.40,z:-108.80,t:78507
x:4.60,y:1127.80,z:-615.20,t:78511
x:233.60,y:360.60,z:-257.80,t:78515
x:-345.00,y:-871.40,z:877.80,t:78519
x:-136.60,y:-35.60,z:109.40,t:78523
x:439.00,y:411.40,z:-794.00,t:78527
x:-323.60,y:5.40,z:-84.60,t:78530
