-x:-11.80,y:-1040.40,z:90.00,t:38987
x:886.60,y:472.40,z:218.20,t:38991
x:-714.40,y:358.20,z:-27.40,t:38995
x:-222.00,y:-328.60,z:-198.00,t:39000
x:1184.80,y:-74.60,z:431.80,t:39004
x:-638.60,y:170.80,z:141.20,t:39008
x:-360.00,y:-10.00,z:-320.80,t:39012
x:971.60,y:-39.60,z:448.60,t:39015
x:-397.80,y:16.00,z:207.80,t:39019
x:-781.80,y:95.20,z:-635.20,t:39023
x:498.20,y:-422.00,z:190.00,t:39027
x:-76.80,y:-849.00,z:538.40,t:39031
x:734.40,y:1453.60,z:-689.60,t:39035
x:-156.00,y:441.80,z:-119.80,t:39040
x:-712.40,y:-1733.00,z:616.20,t:39044
x:1627.80,y:1352.00,z:-582.40,t:39048
x:-549.00,y:1420.80,z:-592.60,t:39052
x:-923.60,y:-3038.60,z:932.40,t:39056
x:989.20,y:785.40,z:18.00,t:39059
x:-543.60,y:2401.00,z:-1414.60,t:39063
x:-1191.80,y:-2137.20,z:803.60,t:39068
x:610.40,y:-629.20,z:156.20,t:39071
x:339.60,y:2056.60,z:-627.60,t:39075
x:-848.80,y:1555.00,z:-472.00,t:39079
x:-827.00,y:-1609.20,z:85.60,t:39084
x:1477.80,y:-348.80,z:157.40,t:39088
x:-533.60,y:1276.20,z:-100.80,t:39092
x:-1324.20,y:-500.40,z:-389.80,t:39096
x:1133.80,y:-1153.20,z:256.40,t:39100
x:306.60,y:799.60,z:172.60,t:39104
x:-1173.60,y:221.40,z:-356.60,t:39108
x:758.20,y:-482.40,z:-89.00,t:39112
x:477.20,y:651.80,z:291.80,t:39116
x:-868.00,y:383.40,z:-446.00,t:39120
x:276.80,y:-340.40,z:-153.80,t:39124
x:379.20,y:185.80,z:468.20,t:39129
x:-732.00,y:-129.00,z:-43.00,t:39132
x:60.60,y:-113.80,z:-238.00,t:39136
x:640.80,y:294.80,z:373.60,t:39140
x:-294.20,y:76.20,z:247.80,t:39144
x:-204.20,y:229.80,z:-683.00,t:39148
x:-103.20,y:-583.60,z:342.00,t:39152
x:-546.80,y:-1391.00,z:420.20,t:39156
x:1032.40,y:2047.00,z:-1105.20,t:39160
x:-529.20,y:-145.40,z:452.60,t:39164
x:-432.60,y:-2349.00,z:628.80,t:39169
x:1365.40,y:2499.40,z:-1175.20,t:39173
x:-734.40,y:360.00,z:32.60,t:39177
x:138.60,y:-3029.80,z:714.00,t:39181
x:830.80,y:1591.40,z:-430.20,t:39184
x:-850.60,y:1547.20,z:-792.40,t:39188
x:-520.60,y:-2421.40,z:758.00,t:39192
x:189.60,y:-1996.00,z:260.00,t:39196
x:1506.40,y:1179.20,z:-255.80,t:39200
x:-943.40,y:941.20,z:-137.80,t:39204
x:-185.80,y:-1064.80,z:55.00,t:39208
x:1593.60,y:98.80,z:205.80,t:39213
x:-711.00,y:974.80,z:-36.40,t:39217
x:-1004.40,y:-404.40,z:-300.80,t:39221
x:1218.20,y:-422.60,z:107.60,t:39225
x:71.40,y:753.00,z:48.40,t:39229
x:-945.20,y:-124.00,z:-314.00,t:39233
x:1354.00,y:-368.40,z:-19.80,t:39237
x:54.40,y:442.60,z:332.60,t:39240
x:-1064.80,y:105.20,z:-568.40,t:39244
x:842.20,y:-576.40,z:142.20,t:39248
x:237.80,y:-111.20,z:462.00,t:39252
x:-59.20,y:991.00,z:-615.40,t:39257
x:149.00,y:192.00,z:-364.40,t:39261
x:-388.00,y:-1280.40,z:986.00,t:39265
x:584.20,y:386.60,z:-45.20,t:39269
x:-2.60,y:1799.40,z:-1077.00,t:39273
x:-1127.00,y:-2207.60,z:1088.60,t:39277
x:821.40,y:269.80,z:-10.20,t:39280
x:67.40,y:2605.40,z:-1572.00,t:39284
x:-1352.80,y:-2361.00,z:1411.20,t:39289
x:657.40,y:-1243.40,z:498.00,t:39293
x:842.60,y:2828.80,z:-1171.60,t:39298
x:-1218.40,y:-546.60,z:675.60,t:39302
x:385.80,y:-1821.00,z:462.80,t:39306
x:1420.00,y:1439.00,z:-366.60,t:39310
x:-216.00,y:1532.00,z:-328.40,t:39314
x:-1594.20,y:-698.60,z:78.00,t:39317
x:1200.80,y:-1209.20,z:294.00,t:39321
x:595.60,y:1206.20,z:9.20,t:39325
x:-1469.80,y:107.00,z:149.00,t:39329
x:482.40,y:-1148.80,z:288.80,t:39333
x:982.00,y:511.60,z:338.20,t:39337
x:-1038.60,y:455.60,z:-53.60,t:39342
x:-131.80,y:-436.00,z:-172.20,t:39346
x:1014.00,y:147.00,z:308.60,t:39350
x:-778.60,y:89.60,z:160.60,t:39354
x:-480.00,y:-148.60,z:-421.00,t:39358
x:1018.40,y:237.60,z:287.60,t:39362
x:-520.60,y:27.60,z:200.60,t:39365
x:-468.60,y:-30.80,z:-591.00,t:39369
x:806.40,y:137.80,z:69.80,t:39373
x:-230.80,y:347.80,z:261.40,t:39377
x:-460.60,y:246.00,z:-612.80,t:39382
x:484.60,y:-567.40,z:110.80,t:39386
x:-572.00,y:-1579.40,z:749.60,t:39390
x:775.40,y:1308.00,z:-187.40,t:39394
x:3.40,y:1070.40,z:-563.00,t:39398
x:-878.00,y:-2269.80,z:1027.40,t:39402
x:1313.20,y:755.00,z:-150.40,t:39406
x:-223.00,y:2056.00,z:-1113.40,t:39410
x:-937.20,y:-2592.40,z:1160.40,t:39414
