x:64.00,y:-4.00,z:-117.00,t:4793
x:-33.00,y:40.00,z:47.00,t:4797
x:-9.00,y:-37.00,z:69.00,t:4802
x:-51.00,y:-48.00,z:-109.00,t:4806
x:-68.00,y:32.00,z:-24.00,t:4811
x:61.00,y:1.00,z:77.00,t:4815
x:32.00,y:-22.00,z:5.00,t:4820
x:-68.00,y:51.00,z:34.00,t:4825
x:20.00,y:-30.00,z:35.00,t:4830
x:26.00,y:-72.00,z:35.00,t:4834
x:-83.00,y:110.00,z:45.00,t:4839
x:9.00,y:19.00,z:-33.00,t:4843
x:30.00,y:-82.00,z:-8.00,t:4848
x:22.00,y:49.00,z:-12.00,t:4852
x:6.00,y:8.00,z:-53.00,t:4856
x:-49.00,y:-70.00,z:-4.00,t:4861
x:-2.00,y:27.00,z:-125.00,t:4866
x:83.00,y:-25.00,z:-2.00,t:4871
x:14.00,y:87.00,z:126.00,t:4875
x:23.00,y:-6.00,z:11.00,t:4880
x:14.00,y:28.00,z:-52.00,t:4884
x:-22.00,y:113.00,z:67.00,t:4889
x:-37.00,y:42.00,z:103.00,t:4893
x:-16.00,y:90.00,z:-72.00,t:4898
x:-79.00,y:88.00,z:23.00,t:4902
x:-11.00,y:-48.00,z:54.00,t:4908
x:-30.00,y:89.00,z:-95.00,t:4912
x:-35.00,y:171.00,z:1.00,t:4917
x:24.00,y:-41.00,z:18.00,t:4921
x:26.00,y:-54.00,z:37.00,t:4926
x:7.00,y:55.00,z:0.00,t:4930
x:10.00,y:3.00,z:-26.00,t:4935
x:-48.00,y:-46.00,z:-28.00,t:4939
x:35.00,y:8.00,z:-90.00,t:4943
x:62.00,y:-30.00,z:-32.00,t:4948
x:14.00,y:42.00,z:-75.00,t:4953
x:63.00,y:21.00,z:-70.00,t:4958
x:1.00,y:-56.00,z:-22.00,t:4962
x:-66.00,y:-4.00,z:99.00,t:4967
x:17.00,y:-56.00,z:12.00,t:4971
x:57.00,y:-65.00,z:-40.00,t:4976
x:-80.00,y:18.00,z:16.00,t:4980
x:-49.00,y:-108.00,z:39.00,t:4985
x:74.00,y:-68.00,z:-129.00,t:4989
x:-12.00,y:24.00,z:-28.00,t:4995
x:42.00,y:-40.00,z:-12.00,t:4999
x:31.00,y:-50.00,z:13.00,t:5004
x:-71.00,y:91.00,z:71.00,t:5008
x:47.00,y:60.00,z:-15.00,t:5013
x:32.00,y:-102.00,z:47.00,t:5017
x:33.00,y:95.00,z:36.00,t:5022
x:24.00,y:-28.00,z:-16.00,t:5026
x:-71.00,y:-138.00,z:17.00,t:5031
x:9.00,y:14.00,z:-156.00,t:5036
x:103.00,y:-149.00,z:-46.00,t:5041
x:-31.00,y:-54.00,z:34.00,t:5046
x:-35.00,y:-33.00,z:-25.00,t:5050
x:-5.00,y:67.00,z:-77.00,t:5054
x:50.00,y:43.00,z:-51.00,t:5059
x:66.00,y:-72.00,z:39.00,t:5063
x:15.00,y:27.00,z:-9.00,t:5068
x:-19.00,y:169.00,z:-37.00,t:5072
x:59.00,y:-152.00,z:72.00,t:5078
x:-48.00,y:-13.00,z:9.00,t:5082
x:-24.00,y:-6.00,z:-4.00,t:5087
x:77.00,y:-102.00,z:44.00,t:5091
x:-42.00,y:46.00,z:-69.00,t:5096
x:25.00,y:-13.00,z:-90.00,t:5100
x:25.00,y:-115.00,z:-22.00,t:5105
x:39.00,y:101.00,z:-43.00,t:5109
x:10.00,y:138.00,z:-105.00,t:5114
x:11.00,y:82.00,z:-66.00,t:5120
x:15.00,y:43.00,z:-40.00,t:5124
x:-38.00,y:50.00,z:-8.00,t:5128
x:55.00,y:76.00,z:9.00,t:5133
x:59.00,y:-84.00,z:61.00,t:5137
x:-36.00,y:27.00,z:24.00,t:5142
x:-82.00,y:-51.00,z:36.00,t:5146
x:72.00,y:-123.00,z:-11.00,t:5151
x:-22.00,y:-57.00,z:-87.00,t:5155
x:-61.00,y:7.00,z:-13.00,t:5160
x:-36.00,y:-140.00,z:41.00,t:5165
x:41.00,y:-127.00,z:3.00,t:5170
x:-57.00,y:50.00,z:-59.00,t:5174
x:52.00,y:-71.00,z:-4.00,t:5179
x:88.00,y:-35.00,z:54.00,t:5183
x:-5.00,y:88.00,z:27.00,t:5188
x:-13.00,y:27.00,z:7.00,t:5192
x:60.00,y:-42.00,z:-32.00,t:5197
x:33.00,y:70.00,z:-79.00,t:5201
x:25.00,y:18.00,z:-42.00,t:5207
x:-38.00,y:-83.00,z:31.00,t:5211
x:-46.00,y:167.00,z:-48.00,t:5216
x:-49.00,y:-33.00,z:-59.00,t:5220
x:7.00,y:27.00,z:60.00,t:5225
x:13.00,y:-3.00,z:12.00,t:5229
x:16.00,y:-38.00,z:70.00,t:5234
x:34.00,y:57.00,z:84.00,t:5238
x:71.00,y:-83.00,z:57.00,t:5242
x:15.00,y:-74.00,z:-109.00,t:5248
x:-109.00,y:39.00,z:15.00,t:5253
x:-14.00,y:-58.00,z:40.00,t:5257
x:-14.00,y:-50.00,z:-119.00,t:5262
x:-113.00,y:-2.00,z:-91.00,t:5266
x:82.00,y:-144.00,z:129.00,t:5271
x:105.00,y:-114.00,z:10.00,t:5275
x:4.00,y:158.00,z:9.00,t:5280
x:55.00,y:98.00,z:30.00,t:5284
x:78.00,y:-89.00,z:-30.00,t:5289
x:-17.00,y:21.00,z:-62.00,t:5294
x:-13.00,y:-85.00,z:50.00,t:5299
x:-33.00,y:-9.00,z:31.00,t:5303
x:52.00,y:-15.00,z:-112.00,t:5308
x:69.00,y:-66.00,z:20.00,t:5312
x:0.00,y:4.00,z:81.00,t:5317
x:10.00,y:-53.00,z:35.00,t:5321
x:-9.00,y:27.00,z:-19.00,t:5325
x:-103.00,y:13.00,z:2.00,t:5330
x:7.00,y:-47.00,z:-41.00,t:5335
x:90.00,y:-49.00,z:-24.00,t:5340
x:-85.00,y:39.00,z:-2.00,t:5344
