x:78.60,y:127.80,z:62.40,t:97819
x:25.80,y:45.80,z:15.00,t:97823
x:-71.40,y:-82.80,z:-38.00,t:97827
x:-62.00,y:-84.00,z:-14.00,t:97831
x:18.00,y:46.80,z:-5.80,t:97835
x:87.40,y:74.60,z:60.60,t:97839
x:57.40,y:43.00,z:27.60,t:97843
x:-47.80,y:-49.60,z:-45.40,t:97846
x:-73.40,y:-113.80,z:7.60,t:97850
x:19.60,y:-39.20,z:44.40,t:97854
x:58.40,y:119.80,z:43.80,t:97857
x:38.20,y:83.60,z:15.20,t:97861
x:-36.00,y:-36.40,z:-42.20,t:97865
x:-36.20,y:-112.20,z:-15.00,t:97869
x:17.00,y:-43.00,z:67.00,t:97872
x:10.40,y:103.60,z:22.20,t:97876
x:-0.60,y:87.20,z:-20.00,t:97881
x:-36.60,y:-57.40,z:-58.20,t:97884
x:16.20,y:-70.40,z:-33.60,t:97888
x:49.20,y:-15.00,z:79.60,t:97892
x:10.00,y:71.00,z:57.00,t:97896
x:-53.40,y:48.00,z:-6.60,t:97899
x:-70.00,y:-61.40,z:-45.60,t:97903
x:24.60,y:-58.00,z:-45.40,t:97907
x:69.80,y:17.80,z:30.80,t:97910
x:52.80,y:106.60,z:77.00,t:97914
x:-44.80,y:56.40,z:21.60,t:97918
x:-91.60,y:-43.40,z:-56.80,t:97922
x:-7.00,y:-112.00,z:-33.20,t:97926
x:53.80,y:8.80,z:-2.80,t:97930
x:79.00,y:73.80,z:83.00,t:97933
x:3.60,y:63.20,z:68.40,t:97937
x:-101.20,y:-16.40,z:-51.00,t:97941
x:-47.60,y:-151.00,z:-50.20,t:97945
x:19.00,y:-45.40,z:-44.00,t:97948
x:93.40,y:114.60,z:62.20,t:97952
x:41.20,y:104.20,z:45.00,t:97956
x:-71.40,y:-9.00,z:-21.60,t:97960
x:-75.20,y:-174.60,z:-29.00,t:97964
x:-16.40,y:-69.40,z:-23.40,t:97968
x:72.20,y:104.00,z:68.00,t:97972
x:72.20,y:96.80,z:38.60,t:97975
x:-19.60,y:33.20,z:-8.60,t:97979
x:-61.40,y:-142.40,z:-12.60,t:97983
x:-47.80,y:-85.80,z:-51.00,t:97987
x:59.00,y:61.60,z:59.00,t:97990
x:81.20,y:115.80,z:35.60,t:97994
x:2.20,y:66.80,z:-14.20,t:97998
x:-62.40,y:-132.80,z:-21.80,t:98001
x:-70.40,y:-106.40,z:-17.00,t:98006
x:21.60,y:27.00,z:58.80,t:98010
x:58.80,y:143.40,z:27.00,t:98014
x:24.60,y:45.00,z:-9.60,t:98017
x:-39.20,y:-59.60,z:-38.40,t:98021
x:-58.00,y:-122.20,z:-11.40,t:98025
x:9.40,y:-2.80,z:53.20,t:98028
x:27.80,y:116.60,z:5.60,t:98032
x:11.20,y:31.40,z:-14.80,t:98036
x:-33.20,y:-16.00,z:-42.00,t:98040
x:-5.00,y:-88.60,z:25.60,t:98043
x:6.60,y:-2.20,z:49.00,t:98048
x:17.40,y:51.00,z:42.40,t:98051
x:-9.60,y:55.80,z:-7.40,t:98055
x:-40.60,y:-52.00,z:-65.00,t:98059
x:20.20,y:-77.40,z:-28.60,t:98062
x:36.60,y:-40.60,z:21.00,t:98066
x:25.00,y:89.40,z:53.20,t:98070
x:-42.60,y:77.80,z:-1.80,t:98074
x:-57.40,y:-40.20,z:-64.00,t:98077
x:0.20,y:-64.60,z:-24.00,t:98081
x:33.80,y:-59.20,z:2.20,t:98085
x:71.80,y:73.80,z:72.60,t:98088
x:-19.80,y:61.40,z:52.20,t:98093
x:-86.20,y:14.80,z:-53.80,t:98097
x:-44.20,y:-123.00,z:-60.00,t:98100
x:11.20,y:-68.20,z:-25.20,t:98104
x:74.80,y:87.20,z:61.80,t:98108
x:23.40,y:117.80,z:49.60,t:98112
x:-79.00,y:23.20,z:-32.60,t:98115
x:-51.20,y:-160.60,z:-31.00,t:98119
x:-5.20,y:-56.80,z:-12.40,t:98123
x:56.80,y:14.60,z:23.20,t:98126
x:60.40,y:142.00,z:53.00,t:98130
x:-27.40,y:24.80,z:1.60,t:98135
x:-86.60,y:-113.60,z:-36.60,t:98139
x:-39.20,y:-116.80,z:-29.80,t:98142
x:11.60,y:7.80,z:-19.00,t:98146
x:85.80,y:176.00,z:60.80,t:98150
x:22.60,y:68.20,z:20.20,t:98153
x:-84.40,y:-61.80,z:-58.20,t:98157
x:-51.80,y:-102.20,z:-8.40,t:98161
x:-11.40,y:-55.00,z:-27.80,t:98165
x:90.60,y:124.40,z:33.80,t:98168
x:70.20,y:89.80,z:52.20,t:98172
x:-49.20,y:-32.80,z:-44.60,t:98177
x:-61.00,y:-171.60,z:0.00,t:98180
x:-54.80,y:-118.20,z:-19.60,t:98184
x:57.60,y:95.20,z:58.80,t:98188
x:64.40,y:91.20,z:36.40,t:98192
