-x:29.20,y:-348.00,z:47.40,t:21432
x:97.00,y:155.80,z:-81.00,t:21436
x:162.00,y:-374.20,z:87.20,t:21440
x:-43.40,y:116.00,z:4.60,t:21443
x:65.60,y:-190.00,z:105.60,t:21447
x:-202.00,y:-0.80,z:-87.40,t:21451
x:208.60,y:128.60,z:-31.40,t:21455
x:101.20,y:-258.20,z:56.20,t:21459
x:301.00,y:58.20,z:27.60,t:21463
x:175.80,y:-491.40,z:85.80,t:21467
x:-243.00,y:-36.60,z:230.20,t:21471
x:118.60,y:-479.60,z:231.60,t:21475
x:-557.00,y:-129.80,z:15.20,t:21479
x:103.00,y:5.80,z:22.00,t:21482
x:-569.00,y:-147.20,z:-285.00,t:21486
x:-5.40,y:516.80,z:-207.60,t:21490
x:-376.40,y:-20.80,z:-205.20,t:21494
x:626.80,y:394.60,z:-172.80,t:21498
x:171.00,y:-334.00,z:40.20,t:21502
x:579.80,y:50.00,z:33.20,t:21506
x:303.40,y:-627.80,z:164.00,t:21510
x:34.20,y:-164.20,z:283.00,t:21514
x:316.40,y:-781.40,z:471.00,t:21518
x:-406.60,y:-284.00,z:248.40,t:21522
x:203.60,y:-454.60,z:420.00,t:21526
x:-560.40,y:-298.40,z:3.80,t:21530
x:135.80,y:-8.40,z:84.80,t:21533
x:-411.40,y:-163.40,z:-156.80,t:21537
x:20.20,y:457.20,z:-233.80,t:21541
x:-276.00,y:63.80,z:-168.60,t:21545
x:-98.80,y:721.80,z:-343.00,t:21550
x:-168.40,y:161.80,z:-125.80,t:21554
x:-150.20,y:718.40,z:-325.80,t:21558
x:-61.40,y:144.80,z:-74.00,t:21561
x:-153.80,y:500.80,z:-272.60,t:21565
x:48.00,y:67.20,z:86.60,t:21569
x:-123.40,y:-116.20,z:5.20,t:21573
x:294.80,y:-239.60,z:271.80,t:21577
x:-112.40,y:-183.80,z:45.80,t:21580
x:152.60,y:-83.00,z:160.20,t:21584
x:-34.80,y:-262.60,z:85.80,t:21588
x:110.40,y:-58.20,z:143.80,t:21593
x:15.40,y:-271.20,z:87.00,t:21597
x:50.80,y:-53.20,z:126.60,t:21600
x:43.80,y:-411.80,z:89.20,t:21604
x:-196.00,y:188.20,z:-311.60,t:21608
x:111.00,y:132.20,z:191.20,t:21612
x:-136.80,y:71.00,z:-266.40,t:21616
x:-3.20,y:337.20,z:124.80,t:21620
x:-40.00,y:25.40,z:-151.60,t:21623
x:15.60,y:355.60,z:-62.40,t:21627
x:107.60,y:-83.20,z:-30.20,t:21632
x:-70.40,y:196.00,z:-28.40,t:21636
x:161.80,y:-233.20,z:39.20,t:21639
x:-346.20,y:37.40,z:84.40,t:21643
x:-13.80,y:324.80,z:-54.00,t:21647
x:-256.40,y:154.20,z:-119.80,t:21651
x:114.20,y:444.80,z:-88.20,t:21655
x:-89.40,y:66.60,z:57.80,t:21658
x:529.40,y:222.40,z:-73.20,t:21662
x:131.80,y:-339.80,z:53.20,t:21666
x:553.80,y:-17.20,z:119.40,t:21670
x:215.60,y:-730.00,z:162.40,t:21675
x:-14.40,y:-109.00,z:308.40,t:21679
x:138.20,y:-715.40,z:332.60,t:21683
x:-516.00,y:-178.60,z:218.60,t:21686
x:108.20,y:-331.40,z:245.40,t:21690
x:-661.40,y:-195.00,z:-112.40,t:21694
x:64.20,y:187.00,z:-99.20,t:21698
x:-492.00,y:-104.00,z:-244.20,t:21702
x:-35.00,y:621.40,z:-341.60,t:21706
x:-259.80,y:42.60,z:-106.60,t:21710
x:-119.20,y:831.80,z:-387.60,t:21713
x:-176.80,y:201.00,z:-17.40,t:21718
x:330.20,y:-103.80,z:46.00,t:21722
x:375.20,y:-541.80,z:344.00,t:21726
x:-28.00,y:-367.40,z:215.40,t:21730
