-x:-584.40,y:-998.00,z:340.80,t:226568
x:383.80,y:574.80,z:-337.00,t:226572
x:237.00,y:-750.20,z:240.20,t:226576
x:-30.40,y:255.20,z:110.00,t:226580
x:190.20,y:-284.40,z:-85.20,t:226584
x:-618.60,y:-33.60,z:268.00,t:226588
x:634.40,y:-79.80,z:-62.80,t:226592
x:-898.00,y:-262.80,z:391.20,t:226596
x:773.40,y:602.80,z:-609.40,t:226600
x:-797.20,y:-733.80,z:671.80,t:226605
x:823.00,y:463.60,z:-527.00,t:226609
x:-456.60,y:-750.80,z:577.40,t:226613
x:377.40,y:444.80,z:-441.00,t:226616
x:84.40,y:-567.20,z:345.00,t:226620
x:160.40,y:416.20,z:-238.00,t:226624
x:185.60,y:-288.60,z:-68.80,t:226628
x:-541.20,y:-32.80,z:164.60,t:226632
x:469.80,y:222.00,z:-217.40,t:226636
x:-521.80,y:-15.40,z:228.00,t:226640
x:388.80,y:377.20,z:-247.00,t:226644
x:433.00,y:514.60,z:-308.60,t:226649
x:-157.00,y:-486.40,z:175.40,t:226653
x:360.20,y:646.60,z:-427.20,t:226657
x:-236.60,y:-549.40,z:298.80,t:226661
x:47.80,y:654.80,z:-113.40,t:226664
x:2.00,y:-494.00,z:241.00,t:226668
x:-257.20,y:430.60,z:-195.40,t:226672
x:153.80,y:-359.80,z:152.00,t:226676
x:-628.60,y:632.00,z:-200.40,t:226680
x:541.60,y:262.40,z:-138.80,t:226684
x:-786.40,y:-14.40,z:185.00,t:226689
x:366.20,y:204.60,z:-191.00,t:226693
x:-680.00,y:-432.60,z:284.20,t:226697
x:596.60,y:830.80,z:-385.40,t:226701
x:-478.80,y:-669.20,z:310.80,t:226705
x:314.80,y:415.20,z:-269.00,t:226709
x:-131.40,y:-416.80,z:115.80,t:226713
x:447.00,y:599.60,z:-288.80,t:226717
x:26.60,y:-638.60,z:71.40,t:226720
x:-81.00,y:243.60,z:95.00,t:226724
x:369.40,y:-318.00,z:34.80,t:226728
x:-284.20,y:40.60,z:-72.40,t:226733
x:476.00,y:-138.00,z:11.20,t:226737
x:-540.40,y:-320.60,z:254.80,t:226741
x:525.00,y:246.20,z:-167.60,t:226745
x:-590.80,y:-212.40,z:374.60,t:226749
x:554.00,y:375.40,z:-241.80,t:226752
x:-652.20,y:-533.40,z:402.40,t:226756
x:357.80,y:633.00,z:-387.80,t:226760
x:-402.60,y:-283.80,z:139.80,t:226764
x:403.00,y:807.60,z:-355.80,t:226768
x:-302.40,y:-532.60,z:164.60,t:226772
x:379.40,y:704.00,z:-422.80,t:226777
x:-387.00,y:-513.20,z:297.80,t:226781
x:110.20,y:691.80,z:-300.40,t:226785
x:-244.60,y:-723.00,z:267.40,t:226789
x:163.80,y:693.00,z:-438.40,t:226793
x:214.80,y:-561.00,z:379.80,t:226797
x:-473.00,y:-41.40,z:115.80,t:226801
x:660.60,y:47.80,z:-166.00,t:226805
x:-612.40,y:-361.60,z:589.40,t:226809
x:598.60,y:350.20,z:-50.00,t:226812
x:-957.00,y:-228.00,z:398.80,t:226817
x:771.00,y:585.20,z:-829.40,t:226821
x:-842.80,y:-1064.20,z:548.40,t:226825
x:196.40,y:-239.80,z:-271.80,t:226829
x:-14.40,y:2.40,z:183.20,t:226833
x:169.00,y:412.00,z:-127.80,t:226837
x:178.00,y:-75.00,z:274.00,t:226841
x:1.40,y:274.00,z:38.00,t:226845
x:563.60,y:-301.40,z:-139.40,t:226849
x:-715.60,y:-101.40,z:567.20,t:226852
x:556.20,y:350.60,z:-773.00,t:226856
x:-750.20,y:-491.80,z:427.80,t:226861
x:-63.00,y:-481.20,z:88.40,t:226865
x:-315.20,y:-386.80,z:201.20,t:226869
x:225.60,y:485.00,z:-312.00,t:226873
x:-71.40,y:-657.60,z:379.00,t:226877
x:544.60,y:433.80,z:-369.20,t:226881
x:-540.00,y:413.00,z:223.20,t:226885
x:621.80,y:-68.40,z:-76.80,t:226889
x:95.20,y:-403.60,z:34.40,t:226892
x:-411.00,y:430.80,z:-183.60,t:226896
x:494.00,y:-219.60,z:18.00,t:226900
x:-688.20,y:59.80,z:2.00,t:226905
x:687.80,y:387.00,z:-113.40,t:226909
x:-792.40,y:-485.80,z:239.00,t:226913
x:915.00,y:487.60,z:-319.40,t:226917
x:-361.60,y:-754.80,z:446.60,t:226921
x:404.00,y:518.20,z:-422.60,t:226925
x:22.00,y:-598.20,z:-4.40,t:226928
x:128.80,y:425.60,z:-114.60,t:226932
x:-236.80,y:-410.00,z:191.20,t:226936
x:-241.60,y:470.40,z:34.00,t:226940
x:241.60,y:-309.40,z:-107.20,t:226945
x:-371.80,y:26.60,z:234.40,t:226949
x:487.00,y:-152.00,z:-28.80,t:226953
x:-520.00,y:-88.00,z:239.80,t:226957
x:576.00,y:480.20,z:-301.60,t:226961
x:-715.00,y:-291.00,z:366.00,t:226965
x:777.20,y:209.60,z:-318.20,t:226969
x:-676.40,y:-524.00,z:453.00,t:226973
x:707.00,y:633.00,z:-499.40,t:226976
x:66.60,y:629.40,z:-311.80,t:226980
x:450.20,y:446.40,z:-355.80,t:226984
x:-150.20,y:327.20,z:-6.00,t:226989
x:243.80,y:398.80,z:-191.00,t:226993
x:-408.40,y:380.60,z:129.00,t:226997
x:395.80,y:120.60,z:-203.40,t:227001
x:-446.20,y:-122.00,z:165.60,t:227005
x:519.40,y:-8.60,z:-119.60,t:227009
x:-602.80,y:-109.40,z:250.40,t:227013
x:412.60,y:364.20,z:-248.60,t:227017
x:-626.00,y:-278.00,z:312.20,t:227021
x:597.20,y:439.20,z:-192.00,t:227024
x:-641.80,y:-377.40,z:407.00,t:227028
x:436.60,y:465.40,z:-193.80,t:227033
x:-500.20,y:-619.60,z:186.60,t:227037
x:307.80,y:509.60,z:-259.00,t:227041
x:-472.40,y:-567.40,z:175.00,t:227045
x:-13.00,y:444.60,z:-71.00,t:227049
x:159.20,y:-306.20,z:28.40,t:227053
x:-44.00,y:205.60,z:10.40,t:227057
x:318.80,y:-52.00,z:-7.20,t:227060
x:-466.80,y:-48.80,z:215.80,t:227064
x:447.00,y:89.40,z:-61.60,t:227068
x:-470.20,y:-545.20,z:266.00,t:227073
x:547.60,y:440.60,z:-178.00,t:227077
x:-643.60,y:-521.20,z:317.40,t:227081
x:589.20,y:546.40,z:-274.80,t:227085
x:-421.40,y:-707.80,z:249.00,t:227089
x:461.00,y:422.60,z:-157.00,t:227093
x:-114.40,y:-442.20,z:203.20,t:227097
x:250.80,y:481.80,z:-207.00,t:227101
x:123.60,y:-371.40,z:182.20,t:227105
x:-178.20,y:177.40,z:-37.00,t:227109
x:382.40,y:-117.00,z:-57.20,t:227112
x:-490.60,y:-44.80,z:178.40,t:227117
x:600.80,y:105.00,z:-164.20,t:227121
x:-672.00,y:-179.00,z:259.80,t:227125
x:755.80,y:513.80,z:-187.40,t:227129
x:-886.40,y:-209.20,z:325.80,t:227133
x:826.40,y:579.80,z:-692.20,t:227137
x:-846.00,y:-713.80,z:544.00,t:227141
x:390.80,y:402.20,z:-750.40,t:227145
x:-421.20,y:-565.00,z:179.00,t:227149
x:36.40,y:139.40,z:-66.20,t:227153
x:386.60,y:-10.00,z:25.80,t:227156
x:-394.80,y:304.20,z:404.00,t:227161
x:703.80,y:336.60,z:-416.40,t:227165
x:-716.60,y:-240.40,z:529.00,t:227169
x:620.20,y:689.40,z:-660.00,t:227173
x:-626.80,y:-691.80,z:427.00,t:227177
x:410.00,y:663.40,z:-595.40,t:227181
x:-264.60,y:-348.40,z:7.40,t:227185
x:-104.00,y:539.60,z:-213.40,t:227189
x:33.60,y:-46.40,z:40.40,t:227193
x:-14.00,y:513.20,z:-164.80,t:227196
x:333.00,y:-417.80,z:190.60,t:227201
x:-322.40,y:331.20,z:111.00,t:227205
x:669.60,y:138.40,z:-183.60,t:227209
x:-605.60,y:-306.00,z:178.80,t:227213
x:447.20,y:340.20,z:-311.40,t:227217
x:-699.80,y:-536.80,z:238.40,t:227221
x:242.40,y:803.40,z:-327.40,t:227225
x:-727.80,y:-757.40,z:398.60,t:227229
x:420.40,y:798.40,z:-555.20,t:227233
x:-347.80,y:156.60,z:-109.40,t:227237
x:573.00,y:-212.40,z:59.00,t:227241
x:-586.40,y:-530.40,z:410.80,t:227246
x:687.80,y:58.80,z:-177.00,t:227250
x:-638.20,y:-656.60,z:315.00,t:227254
x:594.80,y:517.20,z:-270.40,t:227258
x:-481.80,y:-558.20,z:314.40,t:227261
x:409.40,y:547.60,z:-161.20,t:227265
x:-79.00,y:-670.60,z:132.40,t:227269
