-x:292.60,y:619.80,z:-518.60,t:90290
x:452.20,y:211.40,z:-594.00,t:90294
x:-665.60,y:-849.60,z:674.80,t:90298
x:141.80,y:-122.20,z:308.00,t:90302
x:461.00,y:203.00,z:-564.00,t:90306
x:-561.60,y:209.40,z:-40.20,t:90309
x:-359.80,y:387.40,z:93.60,t:90313
x:650.60,y:-32.20,z:-141.40,t:90317
x:-37.60,y:-665.60,z:238.60,t:90321
x:-315.00,y:138.40,z:63.20,t:90326
x:22.00,y:615.40,z:-366.60,t:90330
x:448.20,y:-319.20,z:148.20,t:90333
x:-288.80,y:-686.80,z:410.80,t:90337
x:-75.80,y:556.60,z:-181.60,t:90341
x:205.00,y:725.40,z:-526.40,t:90345
x:218.60,y:-512.20,z:303.00,t:90349
x:-582.80,y:-918.40,z:466.00,t:90353
x:-59.80,y:525.80,z:-305.20,t:90357
x:515.80,y:660.80,z:-679.00,t:90361
x:33.40,y:-680.40,z:579.80,t:90364
x:-584.60,y:-544.00,z:899.80,t:90369
x:461.20,y:806.60,z:-743.20,t:90373
x:115.40,y:161.00,z:-534.40,t:90377
x:-750.60,y:-268.60,z:663.60,t:90381
x:583.80,y:-25.00,z:-36.40,t:90385
x:358.20,y:-352.40,z:-158.00,t:90389
x:-638.40,y:92.60,z:36.00,t:90392
x:-310.20,y:415.60,z:116.40,t:90396
x:619.00,y:-208.80,z:-52.00,t:90400
x:368.40,y:326.20,z:-242.60,t:90404
x:85.60,y:-534.60,z:253.40,t:90408
x:-416.00,y:-400.20,z:182.60,t:90413
x:-166.00,y:767.40,z:-423.60,t:90417
x:324.00,y:-66.20,z:-150.40,t:90421
x:16.00,y:-850.00,z:471.80,t:90424
x:-294.00,y:68.00,z:91.40,t:90428
x:226.80,y:824.00,z:-649.20,t:90432
x:-162.60,y:-222.40,z:-135.40,t:90436
x:-602.20,y:-743.40,z:733.00,t:90440
x:211.20,y:422.20,z:-204.80,t:90444
x:464.00,y:789.80,z:-798.40,t:90448
x:-394.20,y:-462.40,z:326.40,t:90452
x:-186.60,y:-339.40,z:680.60,t:90456
x:715.40,y:60.60,z:-372.80,t:90460
x:-348.20,y:80.80,z:-205.20,t:90464
x:-492.40,y:368.20,z:221.60,t:90468
x:484.40,y:229.60,z:-83.20,t:90472
x:324.80,y:-636.80,z:96.60,t:90476
x:-303.20,y:-182.40,z:77.80,t:90480
x:59.40,y:699.60,z:-242.00,t:90483
x:304.80,y:60.60,z:-205.80,t:90487
x:-66.00,y:-784.60,z:275.40,t:90491
x:-350.00,y:-52.40,z:83.80,t:90496
x:-320.20,y:-446.80,z:145.40,t:90500
x:48.60,y:848.00,z:-256.60,t:90504
x:340.40,y:456.20,z:-299.60,t:90507
x:36.80,y:-744.20,z:431.00,t:90511
x:-421.00,y:-250.40,z:464.00,t:90515
x:277.20,y:907.20,z:-724.80,t:90519
x:410.00,y:-38.00,z:-355.20,t:90523
x:-657.60,y:-927.00,z:1081.80,t:90527
x:295.60,y:261.80,z:3.00,t:90531
x:306.40,y:277.00,z:-698.60,t:90535
x:-590.60,y:13.00,z:242.80,t:90539
x:-138.60,y:114.60,z:239.60,t:90543
x:797.80,y:-187.00,z:-232.80,t:90547
x:-370.40,y:-528.80,z:114.00,t:90551
x:-304.40,y:449.80,z:-79.40,t:90555
x:116.20,y:355.00,z:-199.40,t:90559
x:408.60,y:-557.20,z:215.60,t:90563
x:-383.60,y:-472.60,z:155.60,t:90567
x:-124.00,y:804.00,z:-275.80,t:90570
x:185.80,y:674.40,z:-363.20,t:90574
x:79.20,y:-877.00,z:383.00,t:90578
x:-395.00,y:-596.80,z:316.40,t:90583
x:138.00,y:1121.40,z:-539.20,t:90587
x:428.00,y:376.20,z:-525.20,t:90591
x:-306.40,y:-764.60,z:712.60,t:90595
x:-466.00,y:131.40,z:330.20,t:90599
x:578.80,y:781.40,z:-924.20,t:90603
x:96.80,y:-157.60,z:-176.80,t:90606
x:-710.00,y:-544.00,z:1008.20,t:90610
x:657.40,y:72.20,z:-167.20,t:90614
x:59.20,y:-152.40,z:-332.80,t:90618
x:-520.80,y:223.00,z:193.60,t:90622
x:47.40,y:375.80,z:22.40,t:90627
x:655.20,y:-384.80,z:72.60,t:90631
x:-286.00,y:-570.60,z:237.60,t:90635
x:-217.40,y:589.80,z:-102.80,t:90638
x:116.20,y:585.80,z:-366.80,t:90642
x:540.40,y:-411.00,z:225.60,t:90646
x:-390.20,y:-715.80,z:405.80,t:90650
x:-116.00,y:372.40,z:-193.00,t:90654
x:188.20,y:507.20,z:-372.80,t:90658
x:119.80,y:-782.80,z:288.80,t:90662
x:-542.80,y:-742.60,z:593.20,t:90667
x:191.60,y:570.20,z:-532.80,t:90671
x:350.20,y:29.00,z:-349.60,t:90674
x:-561.20,y:-987.80,z:891.60,t:90678
x:47.60,y:77.40,z:299.80,t:90682
x:-56.00,y:-218.40,z:532.40,t:90686
