x:1030.20,y:-313.80,z:347.20,t:19485
x:721.40,y:429.60,z:546.40,t:19489
x:-690.80,y:389.60,z:-65.40,t:19493
x:-1106.00,y:32.20,z:-1019.60,t:19497
x:191.20,y:-136.80,z:-54.40,t:19502
x:816.80,y:214.20,z:558.00,t:19506
x:69.40,y:-200.60,z:439.20,t:19509
x:-116.40,y:-75.20,z:6.40,t:19513
x:427.40,y:804.40,z:-752.00,t:19517
x:-959.20,y:-254.20,z:536.00,t:19521
x:-1513.80,y:-539.60,z:662.40,t:19525
x:-658.40,y:-1777.00,z:529.00,t:19529
x:1105.40,y:1065.40,z:-697.40,t:19533
x:435.20,y:1558.40,z:-592.00,t:19537
x:-496.80,y:261.00,z:132.00,t:19542
x:-393.20,y:-1074.40,z:638.60,t:19546
x:-148.40,y:-843.60,z:79.00,t:19550
x:180.40,y:-256.40,z:385.80,t:19553
x:-338.80,y:593.60,z:0.60,t:19557
x:-845.40,y:706.20,z:-836.80,t:19561
x:-284.60,y:61.00,z:-303.80,t:19565
x:662.60,y:-520.60,z:265.20,t:19569
x:894.80,y:-296.00,z:696.40,t:19573
x:0.20,y:-81.40,z:448.80,t:19576
x:-535.00,y:-58.20,z:-830.40,t:19580
x:655.20,y:-183.00,z:190.60,t:19585
x:652.00,y:386.40,z:629.80,t:19589
x:-339.00,y:-145.80,z:236.00,t:19593
x:-361.80,y:-496.40,z:-172.60,t:19597
x:32.60,y:-110.60,z:-295.00,t:19601
x:-20.80,y:187.80,z:263.40,t:19605
x:-719.80,y:-1130.00,z:661.00,t:19609
x:244.20,y:-860.20,z:323.60,t:19612
x:1547.00,y:1558.40,z:-857.40,t:19616
x:88.60,y:887.60,z:-153.40,t:19620
x:-998.00,y:-716.60,z:591.40,t:19624
x:-296.00,y:-1873.40,z:669.60,t:19629
x:363.80,y:-117.80,z:-170.20,t:19633
x:113.60,y:410.60,z:84.60,t:19637
x:32.20,y:584.60,z:-403.00,t:19641
x:-336.20,y:357.00,z:-537.00,t:19645
x:145.00,y:-197.00,z:-48.80,t:19648
x:1039.80,y:-575.00,z:515.00,t:19652
x:424.60,y:-273.60,z:607.40,t:19656
x:-617.40,y:-146.00,z:404.80,t:19660
x:-841.00,y:-375.00,z:-541.80,t:19664
x:178.60,y:-551.20,z:-236.40,t:19668
x:869.60,y:157.20,z:578.00,t:19673
x:85.80,y:282.40,z:300.40,t:19677
x:-828.20,y:-294.60,z:-44.60,t:19681
x:-109.00,y:0.20,z:-709.60,t:19684
x:420.80,y:69.20,z:-40.20,t:19688
x:-592.20,y:-216.00,z:626.20,t:19692
x:-508.80,y:-1316.40,z:574.20,t:19696
x:991.00,y:452.20,z:-398.80,t:19700
x:1101.60,y:1271.20,z:-516.80,t:19704
x:-440.40,y:-41.00,z:395.20,t:19708
x:-1028.80,y:-1608.40,z:699.60,t:19713
x:254.80,y:-1048.20,z:171.00,t:19717
x:616.80,y:782.00,z:-304.80,t:19721
x:-26.20,y:842.20,z:-356.00,t:19724
x:26.60,y:730.00,z:-616.80,t:19728
x:64.80,y:-96.00,z:-185.80,t:19732
x:605.00,y:-658.60,z:218.40,t:19736
x:501.40,y:-519.40,z:536.40,t:19740
x:-232.80,y:235.80,z:552.20,t:19744
x:-1075.40,y:-148.60,z:-389.80,t:19748
x:-467.20,y:-287.40,z:-665.80,t:19752
x:807.40,y:-205.20,z:412.20,t:19757
