-x:-158.40,y:446.60,z:388.00,t:298628
x:-297.00,y:-541.60,z:-41.80,t:298632
x:337.80,y:153.40,z:-305.20,t:298636
x:-276.20,y:50.60,z:386.60,t:298640
x:-259.80,y:-392.80,z:-134.60,t:298644
x:612.40,y:591.40,z:-423.20,t:298648
x:-140.60,y:-84.20,z:443.40,t:298652
x:-154.60,y:-861.80,z:-53.20,t:298656
x:49.20,y:445.80,z:-20.40,t:298660
x:-496.60,y:-41.60,z:512.60,t:298663
x:441.00,y:-200.00,z:-315.20,t:298668
x:416.20,y:264.00,z:106.60,t:298672
x:-537.60,y:-545.80,z:501.40,t:298676
x:-15.60,y:28.80,z:-629.60,t:298680
x:22.40,y:728.00,z:60.80,t:298684
x:-251.20,y:-529.40,z:186.40,t:298688
x:695.60,y:-137.00,z:-151.00,t:298692
x:-93.00,y:273.80,z:393.40,t:298696
x:-277.40,y:-324.20,z:-267.80,t:298700
x:528.60,y:409.00,z:-326.40,t:298704
x:-85.80,y:90.20,z:268.20,t:298707
x:-21.60,y:-780.60,z:-69.20,t:298712
x:197.40,y:495.40,z:61.80,t:298716
x:-590.40,y:-53.60,z:117.20,t:298720
x:304.60,y:366.80,z:111.20,t:298724
x:292.20,y:555.00,z:99.20,t:298728
x:350.60,y:-46.40,z:-401.80,t:298732
x:288.40,y:600.00,z:122.40,t:298736
x:336.00,y:509.20,z:97.00,t:298739
x:581.00,y:16.40,z:-732.00,t:298743
x:-152.00,y:298.60,z:852.60,t:298747
x:-374.80,y:-398.20,z:-514.40,t:298752
x:-386.00,y:-442.40,z:-233.40,t:298756
x:790.40,y:333.40,z:-79.80,t:298760
x:-582.40,y:-447.80,z:639.80,t:298764
x:234.40,y:-93.00,z:-1102.20,t:298768
x:293.00,y:509.40,z:255.00,t:298772
x:-662.40,y:-552.80,z:730.00,t:298776
x:318.00,y:533.20,z:-752.00,t:298780
x:0.00,y:489.20,z:378.00,t:298783
x:-324.60,y:-515.80,z:210.60,t:298787
x:303.80,y:390.80,z:-526.60,t:298791
x:-347.20,y:49.20,z:322.80,t:298796
x:59.80,y:-757.60,z:104.00,t:298800
x:1026.40,y:1014.00,z:-261.20,t:298804
x:-1224.20,y:-447.80,z:591.20,t:298808
x:493.40,y:-618.20,z:24.60,t:298812
x:-40.40,y:830.40,z:-24.40,t:298816
x:-585.60,y:-851.60,z:232.20,t:298820
x:938.60,y:92.80,z:-427.20,t:298824
x:-713.20,y:40.40,z:322.20,t:298828
x:-13.40,y:-916.60,z:-81.80,t:298831
x:157.60,y:938.00,z:-145.80,t:298835
x:-415.80,y:-445.20,z:405.00,t:298840
x:197.20,y:-349.20,z:-319.00,t:298844
x:-132.40,y:712.00,z:267.20,t:298848
x:-417.20,y:-337.00,z:168.40,t:298852
x:296.80,y:357.60,z:-212.60,t:298856
x:-195.00,y:370.20,z:187.00,t:298860
x:-311.60,y:-816.60,z:-113.60,t:298864
x:726.80,y:240.80,z:-55.60,t:298868
x:-469.00,y:-74.00,z:509.80,t:298872
x:-13.60,y:-379.40,z:-358.00,t:298876
x:373.00,y:605.00,z:-179.20,t:298881
x:-358.00,y:-168.40,z:368.20,t:298884
x:390.60,y:-195.00,z:-351.00,t:298888
x:266.80,y:679.00,z:-149.80,t:298892
x:-653.20,y:-270.20,z:384.40,t:298896
x:366.00,y:24.60,z:-466.60,t:298900
x:75.60,y:129.80,z:243.40,t:298904
x:-409.60,y:-698.00,z:364.40,t:298908
x:239.60,y:48.60,z:-356.20,t:298912
x:-232.00,y:262.40,z:289.40,t:298916
x:-92.80,y:-516.60,z:53.60,t:298920
x:413.80,y:482.60,z:-50.60,t:298925
x:-265.20,y:-367.20,z:412.20,t:298928
x:40.40,y:-429.00,z:-248.00,t:298932
x:289.20,y:552.60,z:56.40,t:298936
x:-601.80,y:-160.00,z:151.60,t:298940
