-x:-1493.20,y:-1187.40,z:-45.80,t:53498
x:1310.20,y:-1095.60,z:180.60,t:53502
x:822.40,y:1337.60,z:175.00,t:53507
x:-1176.40,y:621.80,z:-129.20,t:53511
x:-1472.00,y:219.80,z:-447.60,t:53515
x:445.60,y:-922.40,z:114.00,t:53519
x:1063.80,y:74.00,z:428.60,t:53523
x:-721.00,y:473.20,z:79.20,t:53527
x:-417.80,y:-450.80,z:-473.20,t:53531
x:1103.60,y:-425.40,z:366.60,t:53535
x:-227.60,y:278.20,z:358.60,t:53538
x:-699.20,y:843.80,z:-781.80,t:53542
x:688.60,y:94.00,z:-416.80,t:53547
x:-479.40,y:-973.00,z:1004.60,t:53551
x:179.80,y:121.60,z:201.40,t:53555
x:471.80,y:2108.40,z:-1372.60,t:53559
x:-1454.40,y:-1120.40,z:1119.40,t:53563
x:538.00,y:-1621.40,z:733.80,t:53567
x:1007.00,y:2654.20,z:-1425.00,t:53571
x:-917.80,y:222.20,z:571.20,t:53575
x:-95.20,y:-2890.60,z:873.20,t:53579
x:721.60,y:1286.80,z:162.00,t:53583
x:-146.00,y:2338.40,z:-1401.40,t:53587
x:-1004.60,y:-1354.80,z:832.20,t:53592
x:-670.00,y:-2150.60,z:687.60,t:53596
x:1297.40,y:-868.20,z:-40.20,t:53600
x:-318.60,y:1606.80,z:-236.20,t:53604
x:-1518.60,y:-203.60,z:-356.80,t:53608
x:492.40,y:-1455.20,z:358.60,t:53612
x:1503.60,y:429.20,z:266.80,t:53616
x:-787.20,y:504.60,z:46.00,t:53620
x:-971.80,y:-349.00,z:-652.60,t:53624
x:1418.20,y:-406.40,z:444.40,t:53628
x:-40.60,y:336.60,z:305.80,t:53632
x:-1176.40,y:333.60,z:-667.20,t:53636
x:692.80,y:-722.00,z:304.60,t:53640
x:203.60,y:-94.40,z:659.40,t:53644
x:-74.20,y:711.20,z:-172.60,t:53648
x:107.80,y:545.60,z:-824.60,t:53652
x:-581.80,y:-418.80,z:736.60,t:53656
x:-238.80,y:-1277.80,z:509.80,t:53660
x:1409.00,y:1931.80,z:-1224.40,t:53664
x:-757.60,y:247.40,z:389.20,t:53668
x:-193.00,y:-2063.00,z:667.60,t:53672
x:1428.80,y:1506.20,z:-934.80,t:53677
x:-676.80,y:1582.80,z:-939.40,t:53681
x:-1095.60,y:-2141.40,z:1005.60,t:53685
x:-604.20,y:-2399.80,z:251.60,t:53689
x:1426.40,y:493.20,z:48.00,t:53693
x:-422.80,y:1808.20,z:-852.00,t:53697
x:-1724.80,y:-944.40,z:52.20,t:53700
x:1197.00,y:-1326.40,z:230.00,t:53705
x:1079.20,y:1180.40,z:206.20,t:53709
x:-1459.60,y:594.00,z:-87.40,t:53712
x:-236.80,y:-1148.20,z:-147.60,t:53716
x:1425.60,y:-380.60,z:300.00,t:53721
x:-289.00,y:990.60,z:-10.80,t:53725
x:-1346.40,y:226.60,z:-501.00,t:53729
x:734.60,y:-928.80,z:174.80,t:53733
x:476.20,y:381.60,z:406.00,t:53737
x:-794.60,y:472.80,z:-149.20,t:53741
x:195.40,y:-472.60,z:-393.60,t:53745
x:735.60,y:9.40,z:188.40,t:53749
x:-311.40,y:277.60,z:262.60,t:53752
x:-225.20,y:625.80,z:-607.60,t:53756
x:381.60,y:129.20,z:-254.60,t:53761
x:-797.80,y:-1262.40,z:960.80,t:53765
x:391.00,y:-80.80,z:193.20,t:53769
x:309.40,y:2316.20,z:-1353.80,t:53773
x:-1675.80,y:-1290.00,z:1072.20,t:53777
x:860.00,y:-1675.00,z:577.40,t:53781
x:933.40,y:2593.00,z:-1151.00,t:53785
x:-5.40,y:2674.20,z:-1663.40,t:53789
x:-1096.80,y:-1073.60,z:988.20,t:53793
x:625.00,y:-2137.80,z:275.00,t:53797
x:1174.40,y:1929.20,z:-436.20,t:53801
x:-1034.00,y:1261.60,z:-694.40,t:53806
x:-742.80,y:-1192.80,z:-141.00,t:53810
x:1547.80,y:-650.00,z:242.80,t:53814
x:93.00,y:1082.80,z:139.20,t:53818
x:-1589.00,y:176.80,z:-356.00,t:53822
x:446.60,y:-777.40,z:38.80,t:53826
x:1190.00,y:179.60,z:433.00,t:53830
x:-793.00,y:408.20,z:-81.60,t:53834
x:-605.00,y:-106.60,z:-623.40,t:53837
x:1139.80,y:-161.40,z:375.40,t:53841
x:-140.20,y:254.80,z:126.20,t:53846
x:-760.60,y:370.80,z:-596.00,t:53850
x:471.00,y:-275.00,z:85.20,t:53854
x:-358.00,y:-677.60,z:740.80,t:53858
x:224.80,y:18.20,z:50.60,t:53862
x:705.20,y:1824.80,z:-1256.40,t:53866
x:-1293.80,y:-860.20,z:913.80,t:53870
x:216.00,y:-1754.00,z:695.60,t:53874
x:1330.00,y:2116.00,z:-1080.60,t:53878
x:-143.80,y:2049.60,z:-1101.00,t:53882
x:-1228.00,y:-1267.00,z:1188.80,t:53886
x:496.60,y:-1736.20,z:307.00,t:53891
x:1268.20,y:1987.40,z:-594.80,t:53895
x:-1089.40,y:1357.40,z:-602.60,t:53899
x:-1092.60,y:-2149.00,z:168.20,t:53903
x:1621.00,y:-675.00,z:169.00,t:53907
x:10.00,y:1547.40,z:-203.20,t:53911
x:-1440.20,y:-432.00,z:66.00,t:53915
x:713.80,y:-1251.80,z:110.80,t:53919
x:1292.00,y:394.80,z:235.40,t:53923
x:536.40,y:581.20,z:279.20,t:53927
x:-1305.20,y:507.40,z:-456.20,t:53931
x:-10.20,y:-783.60,z:-72.40,t:53935
x:34.20,y:482.60,z:252.20,t:53939
x:-1035.40,y:597.20,z:-636.20,t:53943
x:414.60,y:-459.40,z:-318.40,t:53947
x:59.80,y:-283.20,z:865.80,t:53951
x:-133.80,y:185.40,z:-16.00,t:53955
x:449.20,y:1261.60,z:-1125.80,t:53959
x:-674.60,y:-326.20,z:648.00,t:53963
x:-475.60,y:-1984.80,z:752.80,t:53967
x:481.40,y:-582.80,z:440.40,t:53970
x:598.20,y:2628.20,z:-1481.80,t:53975
